Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ETK 101,Mühendislik Etiği,***,Cuma,1130/1229,MKB,0,100,IML MAK,13078,2016 - 2017 Yaz Dönemi
ETK 101,Mühendislik Etiği,***,Cuma,1130/1229,MKB,0,100,IML MAK,13077,2016 - 2017 Yaz Dönemi
ETK 101,Mühendislik Etiği,***,Cuma,1130/1229,MKB,0,100,IML MAK,13076,2016 - 2017 Yaz Dönemi
ETK 101,Mühendislik Etiği,***,Perşembe,1530/1629,UUB,0,35,MTO,11706,2016 - 2017 Yaz Dönemi
ETK 101,Mühendislik Etiği,***,Perşembe,1230/1329,EEB,0,60,EHB KOM,12236,2016 - 2017 Yaz Dönemi
ETK 101,Mühendislik Etiği,***,Pazartesi,1330/1429,MDB,0,40,JEO,12922,2016 - 2017 Yaz Dönemi
ETK 101E,Engineering Ethics,***,Cuma,1030/1129,MKB,0,60,TEK TEKE,13695,2016 - 2017 Yaz Dönemi
ETK 101E,Engineering Ethics,***,Perşembe,1430/1529,UUB,0,35,MTOE,11702,2016 - 2017 Yaz Dönemi
ETK 101E,Engineering Ethics,***,Pazartesi,1330/1429,MDB,0,40,JEO PETE,12923,2016 - 2017 Yaz Dönemi
ETK 101E,Engineering Ethics,***,Pazartesi,1230/1329,EEB,0,60,EHB EHBE KOME,12237,2016 - 2017 Yaz Dönemi
