Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
JEF 111,Jeofizik Mühendisliğine Giriş,Mustafa Emin Demirbağ,Cuma,1030/1129,MDB,18,80,JEF,12745,2016 - 2017 Yaz Dönemi
JEF 310E,Geodynamics,Tuna Eken,Salı,1330/1629,MDB,9,10,JEF JEFE JEFM,12993,2016 - 2017 Yaz Dönemi
JEF 311E,Seismology,Hüseyin Argun Kocaoğlu,Salı Perşembe,0830/1129 1530/1729,MDB MDB,19,80,JEF JEFE JEFM,12747,2016 - 2017 Yaz Dönemi
JEF 321,Elektrik Prospeksiyon,Hızır İlyas Çağlar,Pazartesi Cuma,1330/1529 1030/1229,MDB MDB,28,80,JEF JEFM,12748,2016 - 2017 Yaz Dönemi
JEF 321E,Electric Prospecting,Doğa Doğan,Pazartesi Cuma,1330/1529 1030/1229,MDB MDB,3,80,JEFE,12751,2016 - 2017 Yaz Dönemi
JEF 331E,Electromagnetic Prospecting,Tuna Eken,Pazartesi Cuma,1530/1729 0830/1029,MDB MDB,22,80,JEF JEFE,12752,2016 - 2017 Yaz Dönemi
JEF 341,Jeofizik,Caner İmren,Çarşamba,1230/1529,MDB,18,80,JEO MAD PET,12757,2016 - 2017 Yaz Dönemi
JEF 341E,Geophysics,Seda Yolsal Çevikbilen,Çarşamba,1230/1529,MDB,18,35,JEO JEOE PETE,12946,2016 - 2017 Yaz Dönemi
JEF 425E,Engineering Geophysics,Mustafa Emin Demirbağ,Çarşamba Cuma,1030/1229 1330/1529,MDB MDB,36,80,JEF JEFE,12753,2016 - 2017 Yaz Dönemi
JEF 428E,Readings in Geophysics,Tuncay Taymaz,Pazartesi,1330/1629,MDB,10,10,JEF JEFE JEFM,12986,2016 - 2017 Yaz Dönemi
JEF 430,Deniz Jeofiziği,Caner İmren,Cuma,0830/1129,MDB,10,10,JEF,12990,2016 - 2017 Yaz Dönemi
JEF 431E,Physics of the Earth,Emine Aysun Güney,Salı,1330/1629,MDB,30,80,JEF JEFE JEFM,12754,2016 - 2017 Yaz Dönemi
JEF 432E,Groundwater Exploration,"Doğa Doğan, Ayşe Kaşlılar Şişman",Perşembe,0830/1129,MDB,10,10,JEF JEFE JEFM,12988,2016 - 2017 Yaz Dönemi
JEF 440,Paleomanyetizma,Turgay İşseven,Salı,0830/1129,MDB,10,10,JEF JEFM,12991,2016 - 2017 Yaz Dönemi
JEF 451,Gravite ve Manyetik Prospeksiy,Turgay İşseven,Çarşamba Perşembe,0830/1029 1330/1529,MDB MDB,38,80,JEF JEFM,12755,2016 - 2017 Yaz Dönemi
JEF 451E,Gravity& Magnetic Prospecting,"Hüseyin Argun Kocaoğlu, Ayşe Kaşlılar Şişman",Çarşamba Perşembe,0830/1029 1330/1529,MDB MDB,7,80,JEFE,12756,2016 - 2017 Yaz Dönemi
JEF 492,Bitirme Çalışması,Hüseyin Argun Kocaoğlu,----,/,MDB,14,500,JEF,12944,2016 - 2017 Yaz Dönemi
JEF 492E,Graduation Project,Hüseyin Argun Kocaoğlu,----,/,MDB,7,500,JEF JEFE,12945,2016 - 2017 Yaz Dönemi
