Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PEM 131E,Intr.Landscape Architecture,Melih Bozkurt,Perşembe,1030/1229,MMB,0,50,PEM PEME,12782,2016 - 2017 Yaz Dönemi
PEM 212E,Landscape Design I,Meltem Erdem Kaya,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,40,PEM PEME,12783,2016 - 2017 Yaz Dönemi
PEM 223E,His.of Landscape Architec. II,Ebru Erbaş Gürler,Salı,1330/1529,MMB,0,58,PEM PEME,12784,2016 - 2017 Yaz Dönemi
PEM 231E,Plant Material II,Meliz Akyol,Salı,1330/1729,MMB,0,45,PEM PEME,12787,2016 - 2017 Yaz Dönemi
PEM 241E,Theory ofLandcape Architecture,Ebru Erbaş Gürler,Perşembe,0930/1229,MMB,0,45,PEM PEME,12785,2016 - 2017 Yaz Dönemi
PEM 243E,Landscape Construction I,"Yasin Çağatay Seçkin, Muhammed Ali Örnek",Çarşamba,0830/1229,MMB,0,45,PEME,12789,2016 - 2017 Yaz Dönemi
PEM 311E,Landscape Design II,Melih Bozkurt,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,45,PEM PEME,12791,2016 - 2017 Yaz Dönemi
PEM 311E,Landscape Design II,Ebru Erbaş Gürler,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,45,PEM PEME,12790,2016 - 2017 Yaz Dönemi
PEM 312E,Landscape Design III,Fatma Ayçim Türer Başkaya,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,40,PEM PEME,12807,2016 - 2017 Yaz Dönemi
PEM 317E,Urban Furniture and Space,Gülşen Aytaç,Pazartesi,0930/1229,MMB,0,45,EUTE ICM PEM PEME SBP SBPE,12808,2016 - 2017 Yaz Dönemi
PEM 327E,Adv.Rendering Tech.inLandscape,Fatma Pınar Yalçın,Salı,0930/1229,MMB,0,45,PEM PEME,12810,2016 - 2017 Yaz Dönemi
PEM 343E,Landscape Construction III,Yasin Çağatay Seçkin,Salı,1330/1729,MMB,0,45,PEME,12809,2016 - 2017 Yaz Dönemi
PEM 347E,Social Asspect of Landsc.Arch.,Melih Bozkurt,Salı,0930/1229,MMB,0,45,EUTE ICM MIM MIME PEME SBP SBPE,12816,2016 - 2017 Yaz Dönemi
PEM 351E,Int.to Geographical Inf.Sys.,Meliz Akyol,Pazartesi,0830/1229,MMB,0,45,PEME,12788,2016 - 2017 Yaz Dönemi
PEM 411E,Landscape Design IV,Gülşen Aytaç,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,0,30,PEM PEME,12819,2016 - 2017 Yaz Dönemi
PEM 419E,Landscape Management,Fatma Ayçim Türer Başkaya,Perşembe,1030/1229,MMB,0,45,PEME,12820,2016 - 2017 Yaz Dönemi
PEM 492,Bitirme Çalışması,"Hayriye Eşbah Tunçay, Ebru Erbaş Gürler, Gülşen Aytaç, Muhammed Ali Örnek",----,/,---,0,500,PEM,12822,2016 - 2017 Yaz Dönemi
PEM 492E,Graduation Project,"Hayriye Eşbah Tunçay, Ebru Erbaş Gürler, Gülşen Aytaç, Muhammed Ali Örnek",----,/,---,0,500,PEM PEME,12825,2016 - 2017 Yaz Dönemi
