Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SNT 103,Desen,Hülya Küpçüoğlu,Perşembe Perşembe,0930/1229 1330/1629,MMB MMB,20,20,BIO BLG CEV CHZ DEN EHB ELE ELH ELK END EUT FIZ GEM GEO GID GMI ICM IML INS ISL JDF JEF JEO KIM KMM KOM MAD MAK MAT MET MIM MTO PEM PET SBP TEK TEL UCK UZB,30263,2016 - 2017 Yaz Dönemi
SNT 103,Desen,Ferhan Gözgü Çelik,Salı Salı,0930/1229 1330/1629,MMB MMB,13,20,BIO BLG CEV CHZ DEN EHB ELE ELH ELK END EUT FIZ GEM GEO GID GMI ICM IML INS ISL JDF JEF JEO KIM KMM KOM MAD MAK MAT MET MIM MTO PEM PET SBP TEK TEL UCK UZB,30262,2016 - 2017 Yaz Dönemi
SNT 103E,Drawing,Yener Pınarbaş,Cuma Cuma,0930/1229 1330/1629,MMB MMB,20,20,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM ICME IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,30266,2016 - 2017 Yaz Dönemi
SNT 103E,Drawing,Oğuz Haşlakoğlu,Perşembe Perşembe,0930/1229 1330/1629,MMB MMB,20,20,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM ICME IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,30265,2016 - 2017 Yaz Dönemi
SNT 103E,Drawing,Başak Avcı,Çarşamba Çarşamba,0930/1229 1330/1629,MMB MMB,20,20,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM ICME IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,30264,2016 - 2017 Yaz Dönemi
SNT 104,Mitoloji ve Sanat,Yasemin Dora,Salı Salı,0930/1229 1330/1629,MED MED,17,20,BIO BLG CEV CHZ DEN EHB ELE ELH ELK END EUT FIZ GEM GEO GID GMI ICM IML INS ISL JDF JEF JEO KIM KMM KOM MAD MAK MAT MET MIM MTO PEM PET SBP TEK TEL UCK UZB,30267,2016 - 2017 Yaz Dönemi
SNT 105,Sinema Sanatı,Fatih Hacıosmanoğlu,Salı Salı,0930/1229 1330/1629,MMB MMB,9,20,BIO BLG CEV CHZ DEN EHB ELE ELH ELK END EUT FIZ GEM GEO GID GMI ICM IML INS ISL JDF JEF JEO KIM KMM KOM MAD MAK MAT MET MIM MTO PEM PET SBP TEK TEL UCK UZB,30268,2016 - 2017 Yaz Dönemi
SNT 106E,Traditional Turkish ..,Aslıhan Erkmen Birkandan,Çarşamba Çarşamba,0930/1229 1330/1629,MED MED,20,20,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM ICME IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBPE TEK TEKE TEL UCK UCKE UZB UZBE,30269,2016 - 2017 Yaz Dönemi
SNT 107,İlkçağ Anadolu Uygarlıkları,Ayşe Yivlik Neftçi,Çarşamba Çarşamba,0930/1229 1330/1629,MED MED,19,20,BIO BLG CEV CHZ DEN EHB ELE ELH ELK END EUT FIZ GEM GEO GID GMI ICM IML INS ISL JDF JEF JEO KIM KMM KOM MAD MAK MAT MET MIM MTO PEM PET SBP TEK TEL UCK UZB,30270,2016 - 2017 Yaz Dönemi
SNT 107E,Ancient Civilizat.in Anatolia,Aslıhan Erkmen Birkandan,Salı Salı,0930/1229 1330/1629,MMB MMB,20,20,BIO BIOE BLG BLGE CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM ICME IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBPE TEK TEKE TEL UCK UCKE UZB UZBE,30271,2016 - 2017 Yaz Dönemi
