Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CHZ 104,Mineraloji ve Petrografi,Şenel Özdamar,Çarşamba,1130/1529,MDB,40,40,CHZ,25368,2017 - 2018 Bahar Dönemi
CHZ 211,Parça Mekaniği,Gülay Bulut,Salı,0830/1229,MDB,18,50,CHZ,22741,2017 - 2018 Bahar Dönemi
CHZ 211E,Particle Technology,Gülay Bulut,Cuma,0830/1229,MDB,2,40,CHZ CHZE,22744,2017 - 2018 Bahar Dönemi
CHZ 224E,Surface and Colloid Chemistry,Mehmet Sabri Çelik,Pazartesi,1030/1329,MDB,26,40,CHZ CHZE,22746,2017 - 2018 Bahar Dönemi
CHZ 232,Zenginlstirme Önc.Haz. İşlml.,Ali Güney,Perşembe,1330/1729,MDB,20,40,CHZ,22747,2017 - 2018 Bahar Dönemi
CHZ 232E,Processes Prior to Concentrtn,Abdullah Ekrem Yüce,Salı,1330/1729,MDB,5,30,CHZE,22754,2017 - 2018 Bahar Dönemi
CHZ 242,Proses Mineralojisi,"Recep Fahri Esenli, Ali Haydar Gültekin, Alim Gül",Cuma,1330/1629,MDB,11,40,CHZ,22756,2017 - 2018 Bahar Dönemi
CHZ 242E,Process Mineralogy,--,Salı,0830/1129,MDB,0,0,CHZE,22758,2017 - 2018 Bahar Dönemi
CHZ 312E,Metallurgy I,Fatma Arslan,Cuma,1430/1629,MDB,32,40,CHZ CHZE,22759,2017 - 2018 Bahar Dönemi
CHZ 318,Endüstriyel Hammaddeler,Hayrünnisa Ateşok,Pazartesi,0830/1129,MEDB,25,30,CHZ,22761,2017 - 2018 Bahar Dönemi
CHZ 318E,Industrial Raw Materials,Murat Olgaç Kangal,Pazartesi,1330/1629,MDB,1,20,CHZE,22763,2017 - 2018 Bahar Dönemi
CHZ 332E,Flotation and Flocculation,"Mehmet Sabri Çelik, Gülay Bulut",Perşembe,1330/1729,MDB,35,40,CHZ CHZE MADE,22765,2017 - 2018 Bahar Dönemi
CHZ 342E,Comp. Appl. in Mineral Proces.,"Ayhan Ali Sirkeci, Kudret Tahsin Perek",Çarşamba,0830/1229,MDB,48,50,CHZ CHZE,22767,2017 - 2018 Bahar Dönemi
CHZ 352,Kömür Teknolojisi,Fırat Burat,Çarşamba,1230/1429,MDB,17,50,CHZ,22769,2017 - 2018 Bahar Dönemi
CHZ 352E,Coal Technology,Fırat Burat,Salı,1130/1329,MDB,3,40,CHZE,22773,2017 - 2018 Bahar Dönemi
CHZ 354,Susuzlandırma ve Kurutma,Murat Olgaç Kangal,Perşembe,0830/1129,UUB,3,20,CHZ,22774,2017 - 2018 Bahar Dönemi
CHZ 354E,Dewatering and Drying,Murat Olgaç Kangal,Çarşamba,1230/1529,MDB,1,20,CHZE,22775,2017 - 2018 Bahar Dönemi
CHZ 422,Cev.Haz.Tesis Yönetimi ve Ekon,Alim Gül,Pazartesi,1330/1629,MED,30,30,CHZ,22776,2017 - 2018 Bahar Dönemi
CHZ 422E,Mng.&Eco.inMineral; ..,Kudret Tahsin Perek,Salı,1330/1629,MDB,8,20,CHZE,22777,2017 - 2018 Bahar Dönemi
CHZ 432,Cevher Haz. Tesis Tasarımı,Ali Güney,Salı,0830/1229,MDB,25,25,CHZ,22778,2017 - 2018 Bahar Dönemi
CHZ 432E,Mineral Processing Plant Dsgn,Abdullah Ekrem Yüce,Pazartesi,0830/1229,MDB,6,25,CHZE,22779,2017 - 2018 Bahar Dönemi
CHZ 434,Çimento Hammad. ve Tekn.,Hayrünnisa Ateşok,Perşembe,0830/1129,MDB,28,30,CHZ,22780,2017 - 2018 Bahar Dönemi
CHZ 434E,Cement Raw Materials & Tech.,Fırat Burat,Perşembe,0830/1129,MED,5,30,CHZE,22781,2017 - 2018 Bahar Dönemi
CHZ 436,İleri Teknoloji Hammaddeleri,Neset Acarkan,Cuma,0830/1129,MDB,28,30,CHZ,22782,2017 - 2018 Bahar Dönemi
CHZ 436E,High Technology Raw Materials,Fırat Burat,Pazartesi,1330/1629,MDB,4,20,CHZE MADE,22783,2017 - 2018 Bahar Dönemi
CHZ 440E,Managment of Tailing Dams,Abdullah Ekrem Yüce,Cuma,1430/1729,MDB,5,25,CHZ CHZE MADE,22784,2017 - 2018 Bahar Dönemi
CHZ 442E,Remdtn of Indus.&Min..,Birgül Benli,Cuma,1430/1729,MDB,16,30,CHZ CHZE MADE,22785,2017 - 2018 Bahar Dönemi
CHZ 492,Bitirme Çalışması,Ayhan Ali Sirkeci,----,/,MDB,20,500,CHZ,22786,2017 - 2018 Bahar Dönemi
CHZ 492E,Graduation Thesis,Ayhan Ali Sirkeci,----,/,---,7,500,CHZ CHZE,22787,2017 - 2018 Bahar Dönemi
