Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EUT 122E,Design Theories and Method.,Şebnem Timur Öğüt,Çarşamba,1330/1529,MMB,74,75,EUT EUTE EUTM,21930,2017 - 2018 Bahar Dönemi
EUT 132E,Materials in Design,Demet Günal Ertaş,Salı,0830/1229,MMB,75,75,EUT EUTE,21931,2017 - 2018 Bahar Dönemi
EUT 220E,Industrial Design Studio I,"Hatice Hümanur Bağlı, Miray Boğa",Salı Cuma,1330/1729 1330/1729,MMB MMB,54,60,EUTE,21932,2017 - 2018 Bahar Dönemi
EUT 226E,History of Design I,Gülname Turan,Cuma,0930/1129,MMB,64,65,EUTE EUTM,21934,2017 - 2018 Bahar Dönemi
EUT 262E,Model Making II,Mehmet Erkök,Pazartesi,1330/1629,MMB,32,34,EUT EUTE,21936,2017 - 2018 Bahar Dönemi
EUT 262E,Model Making II,Mehmet Erkök,Pazartesi,0830/1129,MMB,25,34,EUT EUTE,21935,2017 - 2018 Bahar Dönemi
EUT 272E,Human Factors inProduct Design,Ekrem Cem Alppay,Salı,0930/1229,MMB,63,61,EUT EUTE EUTM,21937,2017 - 2018 Bahar Dönemi
EUT 282E,Computer Aided 3D Modeling,Ekrem Cem Alppay,Perşembe,1430/1729,MMB,34,33,EUT EUTE,21939,2017 - 2018 Bahar Dönemi
EUT 282E,Computer Aided 3D Modeling,Ekrem Cem Alppay,Perşembe,0930/1229,MMB,33,33,EUT EUTE,21938,2017 - 2018 Bahar Dönemi
EUT 319E,Industrial Design Studio II,Özge Çelikoğlu,Salı Cuma,1330/1729 1330/1729,MMB MMB,10,20,EUTE,21940,2017 - 2018 Bahar Dönemi
EUT 320E,Industrial Design Studio III,Şebnem Timur Öğüt,Salı Cuma,1330/1729 1330/1729,MMB MMB,29,60,EUTE,21941,2017 - 2018 Bahar Dönemi
EUT 324E,Semiology&Semantics; in Design,Özge Çelikoğlu,Salı,0930/1229,MMB,12,12,EUT EUTE EUTM ICM,21950,2017 - 2018 Bahar Dönemi
EUT 326E,Ceramics Design and Technology,Aynur Karakaş Karaağaç,Perşembe,1330/1629,MMB,14,12,EUT EUTE EUTM,21942,2017 - 2018 Bahar Dönemi
EUT 328E,Animation App.in Ind. Design,Elif Küçüksayraç,Salı,0930/1229,MMB,10,25,EUT EUTE EUTM,21954,2017 - 2018 Bahar Dönemi
EUT 334E,Design and Form,Deniz Leblebici Başar,Çarşamba,0930/1229,MMB,33,40,EUT EUTE EUTM ICM,21943,2017 - 2018 Bahar Dönemi
EUT 342E,Law and Legal Issues in Design,Özgür Öztürk,Pazartesi,1330/1629,MMB,51,60,EUT EUTE,21944,2017 - 2018 Bahar Dönemi
EUT 343E,Typography,"Hatice Hümanur Bağlı, Koray Gelmez",Çarşamba,0830/1229,MMB,30,30,EUT EUTE EUTM ICM,21945,2017 - 2018 Bahar Dönemi
EUT 350E,Contemporary Furniture Design,Layıka Ney Ece Arıburun Kırca,Perşembe,0830/1229,MMB,10,25,EUT EUTE EUTM ICM,21946,2017 - 2018 Bahar Dönemi
EUT 351,Atölye III,Mehmet Erkök,Perşembe,1330/1629,MMB,2,5,EUT,21947,2017 - 2018 Bahar Dönemi
EUT 352E,Project Management in Design,Begüm Sertyeşilışık,Perşembe,0830/1229,MMB,43,60,EUT EUTE,21948,2017 - 2018 Bahar Dönemi
EUT 359E,Advanced Modelmaking Techn.,Mehmet Erkök,Cuma,0830/1229,MMB,12,25,EUT EUTE EUTM,21949,2017 - 2018 Bahar Dönemi
EUT 419E,Industrial Design Studio IV,Koray Gelmez,Salı Cuma,1330/1729 1330/1729,MMB MMB,13,30,EUTE,21951,2017 - 2018 Bahar Dönemi
EUT 429E,Sustainable Product Design,Elif Küçüksayraç,Perşembe,1330/1729,MMB,20,21,EUTE,25577,2017 - 2018 Bahar Dönemi
EUT 436E,Visualization Techniques,Mehmet Erkök,Salı,0830/1229,MMB,32,28,EUT EUTE EUTM,21952,2017 - 2018 Bahar Dönemi
EUT 446E,Multimedia Design Studio,Elif Küçüksayraç,Cuma,0930/1229,MMB,16,25,EUT EUTE EUTM,21953,2017 - 2018 Bahar Dönemi
EUT 453E,Basic Princip. of Yacht Dsgn,"Şebnem Helvacıoğlu, Layıka Ney Ece Arıburun Kırca",Pazartesi,0830/1229,MMB,16,16,DEN DENE EUT EUTE EUTM GEM GEME GEMK,21955,2017 - 2018 Bahar Dönemi
EUT 456E,Fashion Accessories Design,Deniz Leblebici Başar,Salı,1330/1729,MMB,11,25,EUTE EUTM,21956,2017 - 2018 Bahar Dönemi
EUT 492,Bitirme Çalışması,Şebnem Timur Öğüt,----,/,MMB,2,500,EUT,21957,2017 - 2018 Bahar Dönemi
EUT 492E,Graduation Project,Şebnem Timur Öğüt,----,/,MMB,34,500,EUT EUTE,21958,2017 - 2018 Bahar Dönemi
