Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KMM 102E,Intr. to Comp. Prg.in Python,Reha Yavuz,Salı,0930/1229,KMB,29,30,KMM,22032,2017 - 2018 Bahar Dönemi
KMM 102E,Intr. to Comp. Prg.in Python,Reha Yavuz,Pazartesi,1330/1629,KMB,16,30,KMM,22031,2017 - 2018 Bahar Dönemi
KMM 112,Kimya Mühendisliğine Giriş,Mehmet Ferhat Yardım,Salı,1630/1729,KMB,20,80,KMM,22033,2017 - 2018 Bahar Dönemi
KMM 112E,Intro.to Chemical Eng.,--,Salı,1530/1629,KMB,0,0,KMME,22034,2017 - 2018 Bahar Dönemi
KMM 311E,Thermodynamics II,Gamze Gümüşlü Gür,Salı Cuma,1030/1229 1530/1629,KMB KMB,50,40,KMM KMME KMMM,22035,2017 - 2018 Bahar Dönemi
KMM 312E,Chemical Reaction Eng I,Ahmet Sirkecioğlu,Salı,1330/1629,KMB,54,50,KMM KMME KMMM,22038,2017 - 2018 Bahar Dönemi
KMM 312E,Chemical Reaction Eng I,"Hüsnü Atakül, Ayşe Erdem",Salı,1330/1629,KMB,31,50,KMM KMME KMMM,22037,2017 - 2018 Bahar Dönemi
KMM 321E,Heat Transfer,Fatma Elif Genceli Güner,Pazartesi,1330/1629,KMB,33,30,KMM KMME KMMM,22045,2017 - 2018 Bahar Dönemi
KMM 332,Ayırma İşlemleri,Gülhayat Saygılı,Pazartesi Çarşamba,1030/1229 1030/1229,KMB KMB,32,35,KMM KMMM,22050,2017 - 2018 Bahar Dönemi
KMM 332,Ayırma İşlemleri,Nuran Deveci Aksoy,Pazartesi Çarşamba,1030/1229 1030/1229,KMB KMB,35,35,KMM KMMM,22048,2017 - 2018 Bahar Dönemi
KMM 332E,Separation Techniques,Ahmet Tuncer Erciyes,Pazartesi Çarşamba,1030/1229 1030/1229,KMB KMB,2,20,KMM KMME,22052,2017 - 2018 Bahar Dönemi
KMM 342E,Math Modelling in Chemical Eng,Ayşe Özge Kürkçüoğlu Levitas,Çarşamba Cuma,1330/1529 1430/1529,KMB KMB,50,50,KMM KMME KMMM,21777,2017 - 2018 Bahar Dönemi
KMM 342E,Math Modelling in Chemical Eng,Mehmet Göktuğ Ahunbay,Çarşamba Cuma,1330/1529 1430/1529,KMB KMB,50,50,KMM KMME KMMM,21776,2017 - 2018 Bahar Dönemi
KMM 422E,Chemical Engineering Desing II,"Mehmet Ferhat Yardım, Ayşe Özge Kürkçüoğlu Levitas",Pazartesi Çarşamba,0830/1029 0930/1229,KMB KMB,39,50,KMM KMME,21779,2017 - 2018 Bahar Dönemi
KMM 422E,Chemical Engineering Desing II,"Hale Gürbüz, Devrim Barış Kaymak",Pazartesi Çarşamba,0830/1029 0930/1229,KMB KMB,41,50,KMM KMME,21778,2017 - 2018 Bahar Dönemi
KMM 424,Biyoteknolojik Uygulamalar,Fatoş Yüksel Güvenilir,Perşembe,1330/1629,KMB,20,20,BIO KMM,21780,2017 - 2018 Bahar Dönemi
KMM 424E,Biotechnological Applications,--,Perşembe,1330/1629,KMB,0,0,KMME,21781,2017 - 2018 Bahar Dönemi
KMM 434,"Kalite,Çevre ve Güvenlik",Ahmet Alper Aydın,Pazartesi,1330/1629,KMB,35,40,KMM KMMM,21783,2017 - 2018 Bahar Dönemi
KMM 434,"Kalite,Çevre ve Güvenlik",Hasan Can Okutan,Pazartesi,1330/1629,KMB,30,40,KMM KMMM,21782,2017 - 2018 Bahar Dönemi
KMM 434E,Quality Environment & Safety,Moiz Elnekave,Pazartesi,1330/1629,KMB,4,30,KMM KMME,21784,2017 - 2018 Bahar Dönemi
KMM 448,Yakıt Kimyası ve Teknolojisi,Filiz Karaosmanoğlu,Perşembe,1330/1629,KMB,11,15,KMM,21785,2017 - 2018 Bahar Dönemi
KMM 462,Kimya Mühendisliği Lab II,"Osman Eksik, Ayşe Arifoğlu, Cemile Yerlikaya, Nalan Erdöl Aydın, Çiğdem Oral",Cuma,0830/1229,KMB,35,35,KMM,21788,2017 - 2018 Bahar Dönemi
KMM 462,Kimya Mühendisliği Lab II,"Osman Eksik, Ayşe Arifoğlu, Cemile Yerlikaya, Nalan Erdöl Aydın, Çiğdem Oral",Salı,1330/1729,KMB,36,35,KMM,21786,2017 - 2018 Bahar Dönemi
KMM 462E,Chemical Engineering Lab. II,"Osman Eksik, Ayşe Arifoğlu, Cemile Yerlikaya, Nalan Erdöl Aydın, Çiğdem Oral",Salı,0830/1229,KMB,13,35,KMME,21799,2017 - 2018 Bahar Dönemi
KMM 466,Bor Teknolojisi,--,Perşembe,1330/1629,KMB,0,0,KMM,21800,2017 - 2018 Bahar Dönemi
KMM 468,Endüstride Enerji Tasarrufu,Serdar Yaman,Perşembe,1330/1629,KMB,15,15,KMM,21807,2017 - 2018 Bahar Dönemi
KMM 468E,Energy Conservation in Indstry,Serdar Yaman,Salı,1330/1629,KMB,3,20,KMME,21811,2017 - 2018 Bahar Dönemi
KMM 474,Yağ Teknolojisi,Melek Tüter,Perşembe,0930/1229,KMB,14,15,KMM,21812,2017 - 2018 Bahar Dönemi
KMM 477,Endüstriyel Su Hazırlama Yöntm,Hanzade Açma,Perşembe,1330/1629,KMB,8,15,KMM,21813,2017 - 2018 Bahar Dönemi
KMM 492,Bitirme Çalışması,Gülhayat Saygılı,----,/,---,60,500,KMM,21814,2017 - 2018 Bahar Dönemi
KMM 492E,Graduation Project,Gülhayat Saygılı,----,/,---,21,500,KMM KMME,21815,2017 - 2018 Bahar Dönemi
