Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SEN 101,Intr.to Industrial Engineering,İrem Uçal Sarı,Salı,1230/1529,ISB,6,40,SEN,13905,2017 - 2018 Bahar Dönemi
SEN 301,Operations Research I,Özgür Kabak,Salı,0930/1229,ISB,15,40,SEN,13897,2017 - 2018 Bahar Dönemi
SEN 303,Ergonomics,Fethi Çalışır,Çarşamba,0930/1229,ISB,15,40,SEN,13898,2017 - 2018 Bahar Dönemi
SEN 305,Engineering Economy,Cengiz Kahraman,Pazartesi,1330/1629,ISB,15,40,SEN,13899,2017 - 2018 Bahar Dönemi
SEN 315,Manufacturing Processes,Emre Çevikcan,Çarşamba,1230/1529,ISB,15,40,SEN,13907,2017 - 2018 Bahar Dönemi
SEN 317,Intr.to Inform.Processimg Syst,Başar Öztayşi,Perşembe,0930/1129,ISB,4,15,SEN,13900,2017 - 2018 Bahar Dönemi
SEN 319,Management and Organization,Sezi Çevik Onar,Salı,1330/1529,ISB,9,15,SEN,13902,2017 - 2018 Bahar Dönemi
SEN 321,Business Law,Çiçek Ersoy Kekevi,Perşembe,0930/1129,ISB,2,15,SEN,13914,2017 - 2018 Bahar Dönemi
SEN 325,Supply Chain Management,Şeyda Serdar Asan,Perşembe,1230/1429,ISB,15,15,SEN,13904,2017 - 2018 Bahar Dönemi
SEN 339,Project Management Systems,Şule Itır Satoğlu,Cuma,0930/1229,ISB,16,40,SEN,13911,2017 - 2018 Bahar Dönemi
SEN 342,Knowledge and Innovation Syst.,Seda Yanık,Cuma,1430/1729,ISB,0,40,SEN,13909,2017 - 2018 Bahar Dönemi
