Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
TER 201,Termodinamik,Emin Fuad Kent,Perşembe,0930/1229,EEB,39,40,CEV CHZ DEN GEM ISL JEO KMM KOM KON PET,25303,2017 - 2018 Bahar Dönemi
TER 201,Termodinamik,Hanzade Açma,Perşembe,0930/1229,KMB,42,49,CEV CHZ DEN GEM ISL JEO KMM KOM KON PET,21838,2017 - 2018 Bahar Dönemi
TER 201,Termodinamik,Selma Ergin,Salı,1330/1629,GDB,30,40,CEV CHZ DEN GEM ISL JEO KMM KOM KON PET,21743,2017 - 2018 Bahar Dönemi
TER 201,Termodinamik,Halil Saraçoğlu,Salı,0930/1229,GDB,54,47,CEV CHZ DEN GEM ISL JEO KMM KOM KON PET,21673,2017 - 2018 Bahar Dönemi
TER 201,Termodinamik,Ersin Sayar,Pazartesi,1330/1629,MKB,69,70,CEV CHZ DEN GEM ISL JEO KMM KMMM KOM KON PET TEK,24040,2017 - 2018 Bahar Dönemi
TER 201E,Thermodynamics,Turgut Yılmaz,Çarşamba,1230/1529,MKB,86,85,CEV CEVE CHZ CHZE DEN DENE GEM GEME GEMK ISL ISLE JEO JEOE KMM KMME KOM KOME KON KONE MAD PET PETE TEK TEKE,24038,2017 - 2018 Bahar Dönemi
TER 201E,Thermodynamics,Ayşe Erbil,Pazartesi,0930/1229,INB,39,45,CEV CEVE CHZ CHZE DEN DENE GEM GEME GEMK ISL ISLE JEO JEOE KMM KMME KOM KOME KON KONE MAD PET PETE TEKE,20631,2017 - 2018 Bahar Dönemi
TER 203,Termodinamik I,"Ayşegül Meriçboyu, Sadriye Oskay",Çarşamba,0930/1229,KMB,42,40,KMM KMMM,21835,2017 - 2018 Bahar Dönemi
TER 203,Termodinamik I,"Sadriye Oskay, Ayşegül Meriçboyu",Pazartesi,0930/1229,KMB,51,50,KMM KMMM,21831,2017 - 2018 Bahar Dönemi
TER 205,Termodinamik I,Turgut Yılmaz,Salı Çarşamba,1230/1329 0930/1129,MKB MKB,69,80,MAK MAKM,24034,2017 - 2018 Bahar Dönemi
TER 205,Termodinamik I,Lütfullah Kuddusi,Salı Çarşamba,1230/1329 0930/1129,MKB MKB,80,80,MAK MAKM,24033,2017 - 2018 Bahar Dönemi
TER 206,Termodinamik II,Yakup Erhan Böke,Salı Cuma,1530/1729 0830/0929,MKB MKB,25,75,MAK MAKM,24037,2017 - 2018 Bahar Dönemi
TER 206,Termodinamik II,Mert Gür,Salı Cuma,1530/1729 0830/0929,MKB MKB,53,70,MAK MAKM,24036,2017 - 2018 Bahar Dönemi
TER 206,Termodinamik II,Mustafa Özdemir,Salı Cuma,1530/1729 0830/0929,MKB MKB,75,75,MAK MAKM,24035,2017 - 2018 Bahar Dönemi
TER 206E,Thermodynamics II,İsmail Yalçın Uralcan,Salı Salı Cuma,0830/0929 1630/1729 0830/0929,MKB MKB MKB,1,60,MAKE MAKM,24039,2017 - 2018 Bahar Dönemi
