Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
UCK 104,Uçak Müh. ve Tasarım,Hayri Acar,Perşembe,0830/1129,UUB,62,70,UCK,21581,2017 - 2018 Bahar Dönemi
UCK 212,Termodinamik,Aytaç Arıkoğlu,Çarşamba Çarşamba,0930/1129 1230/1429,UUB UUB,64,60,UCK UCKM UZB UZBM,21577,2017 - 2018 Bahar Dönemi
UCK 212E,Thermodynamics,Ali Kodal,Çarşamba Çarşamba,0930/1129 1230/1429,UUB UUB,51,50,UCK UCKE UCKM UZB UZBE UZBM,21579,2017 - 2018 Bahar Dönemi
UCK 212E,Thermodynamics,Ali Kodal,Salı Salı,1130/1329 1430/1629,UUB UUB,62,60,UCK UCKE UCKM UZB UZBE UZBM,21578,2017 - 2018 Bahar Dönemi
UCK 226E,Struc. & Mechanical Vibrations,Özge Özdemir,Pazartesi,1130/1429,UUB,41,30,UCK UCKE UZB UZBE,21614,2017 - 2018 Bahar Dönemi
UCK 236E,Composite Materials,Hülya Cebeci,Perşembe,0830/1129,UUB,21,25,UCK UCKE UZB UZBE,21615,2017 - 2018 Bahar Dönemi
UCK 322E,Flight Mechanics,Emre Koyuncu,Cuma,1430/1729,UUB,55,60,UCK UCKE UCKM,21617,2017 - 2018 Bahar Dönemi
UCK 322E,Flight Mechanics,Hayri Acar,Pazartesi,0830/1129,UUB,69,60,UCK UCKE UCKM,21616,2017 - 2018 Bahar Dönemi
UCK 328E,Structural Design,Zahit Mecitoğlu,Cuma,0830/1129,UUB,34,30,UCK UCKE UZB UZBE,21618,2017 - 2018 Bahar Dönemi
UCK 348E,Computer Applic.in Engineering,Bülent Tutkun,Çarşamba,1130/1429,UUB,20,25,UCK UCKE UZB UZBE,21619,2017 - 2018 Bahar Dönemi
UCK 362E,Automatic Control,İsmail Bayezit,Salı,0830/1129,UUB,112,90,MAKM UCK UCKE UCKM UZB UZBE UZBM,21621,2017 - 2018 Bahar Dönemi
UCK 362E,Automatic Control,Elbrus Caferov,Pazartesi,1430/1729,UUB,97,90,MAKM UCK UCKE UCKM UZB UZBE UZBM,21620,2017 - 2018 Bahar Dönemi
UCK 372,Deneysel Mühendislik,Duygu Erdem,Cuma,0830/1129,UUB,26,24,UCK UZB,21622,2017 - 2018 Bahar Dönemi
UCK 372,Deneysel Mühendislik,Demet Balkan,Perşembe,1430/1729,UUB,31,24,UCK UZB,21624,2017 - 2018 Bahar Dönemi
UCK 372E,Experimental Engineering,Kemal Bülent Yüceil,Cuma,1430/1729,UUB,24,24,UCK UCKE UZB UZBE,21628,2017 - 2018 Bahar Dönemi
UCK 372E,Experimental Engineering,İdil Fenercioğlu Aydın,Perşembe,0830/1129,UUB,30,24,UCK UCKE UZB UZBE,21630,2017 - 2018 Bahar Dönemi
UCK 372E,Experimental Engineering,İsmail Bayezit,Salı,1430/1729,UUB,30,24,UCK UCKE UZB UZBE,21626,2017 - 2018 Bahar Dönemi
UCK 372E,Experimental Engineering,Halit Süleyman Türkmen,Pazartesi,0830/1129,UUB,28,24,UCK UCKE UZB UZBE,21625,2017 - 2018 Bahar Dönemi
UCK 421E,Jet Propulsion Principles,Onur Tunçer,Çarşamba,0830/1129,UUB,28,50,UCK UCKE,25332,2017 - 2018 Bahar Dönemi
UCK 427E,Combustion,Onur Tunçer,Cuma,1430/1729,UUB,14,25,UCK UCKE UZB UZBE,21653,2017 - 2018 Bahar Dönemi
UCK 432,Uçak Tasarımı,Hayri Acar,Pazartesi,1330/1729,UUB,24,50,UCK UCKM,21634,2017 - 2018 Bahar Dönemi
UCK 432E,Aircraft Design,Hayri Acar,Salı,1330/1729,UUB,58,60,UCK UCKE,21633,2017 - 2018 Bahar Dönemi
UCK 441E,Flight Stability and Control,Elbrus Caferov,Perşembe,1130/1429,UUB,19,25,UCK UCKE,25459,2017 - 2018 Bahar Dönemi
UCK 448,Aviyonik Sistemler,Ramazan Yeniçeri,Cuma,0930/1229,UUB,34,35,KOM UCK UCKM UZB,22796,2017 - 2018 Bahar Dönemi
UCK 471E,Aviation Maintenance Manag.,Murat Ziya Ova,Çarşamba,0830/1129,UUB,30,30,UCK UCKE UZB UZBE,21636,2017 - 2018 Bahar Dönemi
UCK 472E,Aeroelasticity,Melike Nikbay,Çarşamba,1230/1529,UUB,20,30,UCK UCKE UZB UZBE,21651,2017 - 2018 Bahar Dönemi
UCK 488,Uçak Sistemleri,Senem Sevinç,Cuma,1430/1729,UUB,29,30,UCK UZB,21638,2017 - 2018 Bahar Dönemi
UCK 492,Bitirme Çalışması,Cengiz Hacızade,----,/,UUB,30,500,UCK,21655,2017 - 2018 Bahar Dönemi
UCK 492E,Graduation Project,Cengiz Hacızade,----,/,UUB,25,500,UCK UCKE,21656,2017 - 2018 Bahar Dönemi
