Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ALM 101,Almanca I (Kredisiz),İdris Nejat Gören,Cuma,1330/1729,DIB,35,35,Tüm Lisans ve Lisansüstü Programlar,10107,2017 - 2018 Güz Dönemi
ALM 101,Almanca I (Kredisiz),İdris Nejat Gören,Perşembe,1330/1729,DIB,35,35,Tüm Lisans ve Lisansüstü Programlar,10106,2017 - 2018 Güz Dönemi
ALM 101,Almanca I (Kredisiz),Sarah Korsch,Perşembe,0830/1229,DIB,18,30,Tüm Lisans ve Lisansüstü Programlar,15417,2017 - 2018 Güz Dönemi
ALM 101,Almanca I (Kredisiz),İdris Nejat Gören,Çarşamba,1330/1729,DIB,35,35,Tüm Lisans ve Lisansüstü Programlar,10105,2017 - 2018 Güz Dönemi
ALM 101,Almanca I (Kredisiz),Sarah Korsch,Çarşamba,0830/1229,DIB,18,30,Tüm Lisans ve Lisansüstü Programlar,15414,2017 - 2018 Güz Dönemi
ALM 102,Almanca II (Kredisiz),İnanç Bakkalbaşı,Cuma,0830/1229,MED,35,35,Tüm Lisans ve Lisansüstü Programlar,10004,2017 - 2018 Güz Dönemi
ALM 102,Almanca II (Kredisiz),İnanç Bakkalbaşı,Perşembe,0830/1229,MED,35,35,Tüm Lisans ve Lisansüstü Programlar,10003,2017 - 2018 Güz Dönemi
ALM 102,Almanca II (Kredisiz),İnanç Bakkalbaşı,Salı,0830/1229,MED,34,35,Tüm Lisans ve Lisansüstü Programlar,12360,2017 - 2018 Güz Dönemi
ALM 102,Almanca II (Kredisiz),İnanç Bakkalbaşı,Pazartesi,0830/1229,MEDB,29,30,Tüm Lisans ve Lisansüstü Programlar,10001,2017 - 2018 Güz Dönemi
ALM 201,Almanca III (Kredisiz),Sarah Korsch,Cuma,0830/1229,DIB,0,30,Tüm Lisans ve Lisansüstü Programlar,15419,2017 - 2018 Güz Dönemi
ALM 201,Almanca III (Kredisiz),Vanessa Zogopoulou,Çarşamba,1330/1729,MEDB,35,35,Tüm Lisans ve Lisansüstü Programlar,10008,2017 - 2018 Güz Dönemi
ALM 201,Almanca III (Kredisiz),Sarah Korsch,Salı,1330/1729,DIB,4,30,Tüm Lisans ve Lisansüstü Programlar,15418,2017 - 2018 Güz Dönemi
ALM 202,Almanca IV (Kredisiz),Sarah Korsch,Cuma,1330/1729,DIB,10,30,Tüm Lisans ve Lisansüstü Programlar,15420,2017 - 2018 Güz Dönemi
ALM 202,Almanca IV (Kredisiz),Vanessa Zogopoulou,Çarşamba,0830/1229,MEDB,17,30,Tüm Lisans ve Lisansüstü Programlar,10005,2017 - 2018 Güz Dönemi
ALM 202,Almanca IV (Kredisiz),Vanessa Zogopoulou,Salı,1330/1729,MEDB,19,30,Tüm Lisans ve Lisansüstü Programlar,10006,2017 - 2018 Güz Dönemi
ALM 301,Almanca V (Kredisiz),Vanessa Zogopoulou,Perşembe,1330/1729,MED,20,30,Tüm Lisans ve Lisansüstü Programlar,10009,2017 - 2018 Güz Dönemi
ALM 302,Almanca VI (Kredisiz),Vanessa Zogopoulou,Cuma,1330/1729,MED,28,30,Tüm Lisans ve Lisansüstü Programlar,10055,2017 - 2018 Güz Dönemi
