Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EKO 201,Ekonomi,--,Perşembe,0930/1229,EEB,135,135,BLG CEV CHZ EHB ELE ELH ELK END EUT GEO GID IML INS JEO KMM MAD MAK MAT MET MIM MTO PET SBP TEK TEL UCK UZB,11065,2017 - 2018 Güz Dönemi
EKO 201,Ekonomi,--,Çarşamba,0930/1229,EEB,0,0,BLG CEV CHZ EHB ELE ELH ELK END EUT GEO GID IML INS JDF JEO KMM MAD MAK MAT MET MIM MTO PET SBP TEK TEL UCK UZB,15678,2017 - 2018 Güz Dönemi
EKO 201,Ekonomi,Ayşe Aylin Bayar,Çarşamba,0930/1229,MED,135,135,BLG CEV CHZ EHB ELE ELH ELK END EUT GEO GID IML INS JEO KMM MAD MAK MAT MET MIM MTO PET SBP TEK TEL UCK UZB,11064,2017 - 2018 Güz Dönemi
EKO 201,Ekonomi,Derya Karakaş,Salı,0930/1229,MED,135,135,BLG CEV CHZ EHB ELE ELH ELK END EUT GEO GID IML INS JEO KMM MAD MAK MAT MET MIM MTO PET SBP TEK TEL UCK UZB,11062,2017 - 2018 Güz Dönemi
EKO 201E,Economics,Sinan Çakır,Cuma,0830/1129,DZB,60,70,DUI DUIE GMI GMIE,13441,2017 - 2018 Güz Dönemi
EKO 201E,Economics,--,Perşembe,0930/1229,---,0,0,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE GMIK ICM IML IMLE INS INSE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,15505,2017 - 2018 Güz Dönemi
EKO 201E,Economics,Gökhan Övenç,Perşembe,0930/1229,MKB,135,135,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE GMIK ICM IML IMLE INS INSE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,11069,2017 - 2018 Güz Dönemi
EKO 201E,Economics,Sinan Ertemel,Perşembe,0930/1229,FEB,136,135,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE GMIK ICM IML IMLE INS INSE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,11068,2017 - 2018 Güz Dönemi
EKO 201E,Economics,Tolga Yuret,Çarşamba,0930/1229,MED,136,135,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE GMIK ICM IML IMLE INS INSE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,11067,2017 - 2018 Güz Dönemi
EKO 201E,Economics,Christopher Michael Hannum,Salı,0930/1229,MED,135,135,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE END ENDE EUT EUTE FIZ GEM GEME GEMK GEO GEOE GID GIDE GMIK ICM IML IMLE INS INSE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE PEM PEME PET PETE SBP SBPE TEK TEKE TEL UCK UCKE UZB UZBE,11066,2017 - 2018 Güz Dönemi
