Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GEO 104,Yersel Ölçme Don. Ve Yaz.,Hakan Yavaşoğlu,Perşembe,0830/1029,INB,0,45,GEO,20300,2017 - 2018 Güz Dönemi
GEO 104E,Terr. Surv. Equip. and Soft.,"Himmet Karaman, Turan Erden",Perşembe,1130/1329,INB,0,45,GEOE,20301,2017 - 2018 Güz Dönemi
GEO 106E,Fundamentals of Programming,Hande Demirel,Çarşamba Çarşamba,1130/1329 1330/1529,INB INB,0,45,GEO GEOE JDF,20307,2017 - 2018 Güz Dönemi
GEO 106E,Fundamentals of Programming,Ergin Tarı,Çarşamba Çarşamba,1130/1329 1330/1529,INB INB,0,45,GEO GEOE JDF,20306,2017 - 2018 Güz Dönemi
GEO 182,Geomatik Projesi 1,Şinasi Kaya,Cuma Cuma,0930/1229 1430/1729,INB INB,0,10,GEO JDF,20314,2017 - 2018 Güz Dönemi
GEO 182,Geomatik Projesi 1,Nebiye Musaoğlu,Cuma Cuma,0930/1229 1430/1729,INB INB,0,10,GEO JDF,20313,2017 - 2018 Güz Dönemi
GEO 182,Geomatik Projesi 1,Mehmet Ufuk Özerman,Cuma Cuma,0930/1229 1430/1729,INB INB,0,10,GEO JDF,20311,2017 - 2018 Güz Dönemi
GEO 182,Geomatik Projesi 1,Mustafa Yanalak,Cuma Cuma,0930/1229 1430/1729,INB INB,0,10,GEO JDF,20309,2017 - 2018 Güz Dönemi
GEO 182E,Geomatics Project I,Ahmet Özgür Doğru,Cuma Cuma,0930/1229 1430/1729,INB INB,0,10,GEOE,20321,2017 - 2018 Güz Dönemi
GEO 182E,Geomatics Project I,Filiz Bektaş Balçık,Cuma Cuma,0930/1229 1430/1729,INB INB,0,10,GEOE,20319,2017 - 2018 Güz Dönemi
GEO 182E,Geomatics Project I,Himmet Karaman,Cuma Cuma,0930/1229 1430/1729,INB INB,0,10,GEOE,20317,2017 - 2018 Güz Dönemi
