Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KIM 104,Organik Kimya,İbrahim Ersin Serhatlı,Çarşamba,1230/1529,KMB,35,35,GID KIMM KMM,10863,2017 - 2018 Güz Dönemi
KIM 104E,Organic Chemistry,Hacer Ayşen Önen,Çarşamba,1230/1529,KMB,25,35,GID GIDE KIM KIMM KMM KMME,10864,2017 - 2018 Güz Dönemi
KIM 104EL,Organic Chemistry Lab.,"Hacer Ayşen Önen, İbrahim Ersin Serhatlı",Perşembe,1330/1529,FEB,37,40,GID GIDE KMM KMME,10861,2017 - 2018 Güz Dönemi
KIM 111,Genel Kimya I,Makbule Koçak,Pazartesi Çarşamba,1030/1229 1330/1529,FEB FEB,29,30,KIM KIMM,10877,2017 - 2018 Güz Dönemi
KIM 111,Genel Kimya I,İsmail Yılmaz,Pazartesi Çarşamba,1030/1229 1330/1529,MED MED,29,30,KIM KIMM,10867,2017 - 2018 Güz Dönemi
KIM 111E,General Chemistry I,Ozan Sanlı Şentürk,Pazartesi Çarşamba,1030/1229 1330/1529,MED MED,0,0,KIM KIME KIMM,10885,2017 - 2018 Güz Dönemi
KIM 111EL,General Chemistry I Laboratory,Ozan Sanlı Şentürk,Perşembe,1530/1729,FEB,19,20,KIM KIME,10891,2017 - 2018 Güz Dönemi
KIM 111EL,General Chemistry I Laboratory,Makbule Koçak,Perşembe,1530/1729,FEB,20,20,KIM KIME,10889,2017 - 2018 Güz Dönemi
KIM 111EL,General Chemistry I Laboratory,İsmail Yılmaz,Perşembe,1530/1729,FEB,19,20,KIM KIME,10887,2017 - 2018 Güz Dönemi
KIM 112E,General Chemistry II,Zehra Bayır,Pazartesi Salı,1130/1329 1530/1729,MED MED,23,30,KIM KIME KIMM,10894,2017 - 2018 Güz Dönemi
KIM 112EL,General Chemistry II Lab,Zehra Bayır,Cuma,1330/1529,FEB,21,30,KIM KIME,10901,2017 - 2018 Güz Dönemi
KIM 113,Kimyaya Giriş ve Etik,Barış Yücel,Cuma,1030/1229,FEB,46,50,KIM,13394,2017 - 2018 Güz Dönemi
KIM 202,Fiziksel Kimya,Esma Sezer,Pazartesi,1330/1629,MED,45,45,BIO CEV CHZ DEN ELE ELH ELK GEM GID JEO KIMM KMM KYD MAD MET PET TEL,10907,2017 - 2018 Güz Dönemi
KIM 202,Fiziksel Kimya,Orhan Güney,Pazartesi,1330/1629,MED,37,45,BIO CEV CHZ DEN ELE ELH ELK GEM GID JEO KIMM KMM KYD MAD MET PET TEL,10903,2017 - 2018 Güz Dönemi
KIM 202E,Physical Chemistry,Belkız Ustamehmetoğlu,Pazartesi,1330/1629,FEB,52,52,BIOE CEVE CHZE DENE GEME GEMK GIDE JEOE KMM KMME MADE METE PETE,10914,2017 - 2018 Güz Dönemi
KIM 202EL,Physical Chemistry Lab,Belkız Ustamehmetoğlu,Cuma,1130/1329,FEB,50,50,KMM KMME PET PETE,10917,2017 - 2018 Güz Dönemi
KIM 202EL,Physical Chemistry Lab,"Orhan Güney, Esma Sezer",Cuma,0930/1129,FEB,35,50,KMM KMME PET PETE,10918,2017 - 2018 Güz Dönemi
KIM 203,Analitik Kimya,Ayşegül Gölcü,Pazartesi,1330/1629,MED,31,40,BIO CHZ DEN ELE ELH ELK GEM JEO MAD MET PET TEL,10920,2017 - 2018 Güz Dönemi
KIM 203E,Analytical Chemistry,Ferah Çalışır,Pazartesi,1330/1629,KMB,50,50,BIO BIOE CHZ CHZE DEN DENE ELE ELH ELK GEM GEME GEMK JEO JEOE MAD MADE MET METE PET PETE TEL,10923,2017 - 2018 Güz Dönemi
KIM 204,Genel Kimya II,Şennur Özçelik,Çarşamba,0830/1129,MED,22,25,CHZ DEN ELE ELH ELK GEM JEO MAD MET PET TEL,10926,2017 - 2018 Güz Dönemi
KIM 204E,General Chemistry II,Behice Şebnem Sesalan,Çarşamba,0830/1129,MED,18,30,CHZE DENE GEME GEMK GMI GMIE JEOE MADE METE PETE,10773,2017 - 2018 Güz Dönemi
KIM 205,Organik Kimya,Gönül Yapar,Çarşamba,0930/1229,FEB,28,30,BIO CEV CHZ DEN ELE ELH ELK GEM JEO KIMM KYD MAD MET PET TEL,10936,2017 - 2018 Güz Dönemi
KIM 205,Organik Kimya,İbrahim Volkan Kumbaracı,Çarşamba,0930/1229,MED,23,30,BIO CEV CHZ DEN ELE ELH ELK GEM JEO KIMM KYD MAD MET PET TEL,10932,2017 - 2018 Güz Dönemi
