Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KMP 101,Kompozisyon I,Eray Altınbüken,Salı,1330/1529,TMB,0,10,KMP,11450,2017 - 2018 Güz Dönemi
KMP 113,Klasik Armoni I,Nail Yavuzoğlu,Salı,0830/1029,TMB,0,10,KMP,11463,2017 - 2018 Güz Dönemi
KMP 115,Müzik Formları I,Ayhan Gunca,Perşembe,1030/1229,TMB,0,10,KMP,11457,2017 - 2018 Güz Dönemi
KMP 193,Armoni I,Nail Yavuzoğlu,Çarşamba,1330/1629,TMB,0,25,MUT MUZ SES,11487,2017 - 2018 Güz Dönemi
KMP 193E,Harmony I,Ozan Baysal,Perşembe Cuma,1030/1229 1630/1729,TMB TMB,0,10,MUZE,11498,2017 - 2018 Güz Dönemi
KMP 195,Form Bilgisi I,Ayhan Gunca,Salı,1030/1229,TMB,0,25,CAB MTR MUT SES,11490,2017 - 2018 Güz Dönemi
KMP 195,Form Bilgisi I,Ayhan Gunca,Pazartesi,1330/1529,TMB,0,25,CAB MTR MUT SES,11492,2017 - 2018 Güz Dönemi
KMP 197,Konturpuan-Füg I,Oğuz Usman,Perşembe,1330/1529,TMB,0,25,CAB MTR,11495,2017 - 2018 Güz Dönemi
KMP 197,Konturpuan-Füg I,Ayhan Gunca,Salı,0830/1029,TMB,0,25,CAB MTR,11493,2017 - 2018 Güz Dönemi
KMP 201,Kompozisyon III,Oğuzhan Balcı,Salı Perşembe,0830/1029 1330/1529,TMB TMB,0,10,KMP,11466,2017 - 2018 Güz Dönemi
KMP 203,Türk Müziği Literatürü I,Adil Feridun Öney,Perşembe,0830/1029,TMB,0,10,KMP,11475,2017 - 2018 Güz Dönemi
KMP 205,Kontrpuan- Füg I,Oğuz Usman,Pazartesi,1330/1529,TMB,0,10,KMP,11448,2017 - 2018 Güz Dönemi
KMP 293,Armoni I,Nail Yavuzoğlu,Perşembe,1030/1229,TMB,0,25,CAB MTR MTRM,11486,2017 - 2018 Güz Dönemi
KMP 301,Kompozisyon V,Eray Altınbüken,Pazartesi Perşembe,1330/1529 1030/1229,TMB TMB,0,10,KMP,11452,2017 - 2018 Güz Dönemi
KMP 303,Kompozisyon Çözümleme I,Eray Altınbüken,Salı,1030/1229,TMB,0,10,KMP,11465,2017 - 2018 Güz Dönemi
KMP 305,Koro Şefliği I,Oğuzhan Balcı,Salı,1330/1529,TMB,0,10,KMP,11467,2017 - 2018 Güz Dönemi
KMP 307,Prozodi,Neşe Yeşim Altınel Çoban,Perşembe,1330/1529,TMB,0,10,KMP,11472,2017 - 2018 Güz Dönemi
KMP 323,Türk Müziğinde Polifoni I,Nail Yavuzoğlu,Pazartesi,1030/1229,TMB,0,10,KMP,11464,2017 - 2018 Güz Dönemi
KMP 331,Ölçü ve Vuruş Tekniği I,Ayhan Gunca,Çarşamba,1530/1729,TMB,0,10,KMP,11459,2017 - 2018 Güz Dönemi
KMP 361,Türk MzğndeFrmBilg.ve Çzmlme I,Adil Feridun Öney,Cuma,0930/1229,TMB,0,20,MUZ,11496,2017 - 2018 Güz Dönemi
KMP 381,Çalgı Müzikleri Besteciliği,Oğuzhan Balcı,Çarşamba,1330/1529,TMB,0,15,CAB,11499,2017 - 2018 Güz Dönemi
KMP 401,Kompozisyon VII,Oğuzhan Balcı,Pazartesi Çarşamba,1330/1529 1030/1229,TMB TMB,0,10,KMP,11471,2017 - 2018 Güz Dönemi
KMP 403,Kompozisyon Çözümleme III,Eray Altınbüken,Pazartesi,1030/1229,TMB,0,10,KMP,11489,2017 - 2018 Güz Dönemi
KMP 405,Modern Armoni,Nail Yavuzoğlu,Pazartesi,0830/1029,TMB,0,10,KMP,11482,2017 - 2018 Güz Dönemi
KMP 411,Orkestrasyon II,Ayhan Gunca,Perşembe,1330/1529,TMB,0,10,KMP,11462,2017 - 2018 Güz Dönemi
KMP 423,Türk Müziğinde Polifoni III,Nail Yavuzoğlu,Çarşamba,0830/1029,TMB,0,10,KMP,11485,2017 - 2018 Güz Dönemi
KMP 433,Partisyon Okuma I,Ayhan Gunca,Çarşamba,1330/1529,TMB,0,10,KMP,11461,2017 - 2018 Güz Dönemi
KMP 457,Partisyon Çözümleme I,Ayhan Gunca,Pazartesi,1030/1229,TMB,0,10,MTR MUT,11494,2017 - 2018 Güz Dönemi
