Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
KON 101,Kontrol ve Otomasyon Müh. Etik,Mustafa Doğan,Salı,1030/1129,EEB,45,40,KOM KON,13659,2017 - 2018 Güz Dönemi
KON 111,Kontrol Müh. Grş.,Hakan Temeltaş,Salı,1130/1229,EEB,75,80,KOM,10574,2017 - 2018 Güz Dönemi
KON 111E,Intr. to Control Eng.,Hakan Temeltaş,Salı,1230/1329,EEB,6,50,KOM KOME,10575,2017 - 2018 Güz Dönemi
KON 214E,System Modelling&Simulation;,Hakan Temeltaş,Cuma,0900/1159,EEB,22,40,KOM KOME,10576,2017 - 2018 Güz Dönemi
KON 309E,Microcontroller Systems,Osman Kaan Erol,Salı,0830/1229,EEB,76,80,KOM KOME MKN,10577,2017 - 2018 Güz Dönemi
KON 313,Geribeslemeli Kontrol Sist.,Müjde Güzelkaya,Pazartesi,1330/1629,EEB,60,80,KOM,10578,2017 - 2018 Güz Dönemi
KON 313E,Feedback Control Systems,İbrahim Eksin,Pazartesi,1330/1629,EEB,8,40,KOME,10579,2017 - 2018 Güz Dönemi
KON 314E,Control System Design,Mehmet Turan Söylemez,Pazartesi Cuma,1030/1229 1530/1729,EEB EEB,16,40,KOM KOME,10581,2017 - 2018 Güz Dönemi
KON 315,Elektronik Enstrümantasyon,Serhat İkizoğlu,Çarşamba,0830/1229,EEB,77,90,KOM,10582,2017 - 2018 Güz Dönemi
KON 315E,Electronic Instrumentation,Serhat İkizoğlu,Perşembe,0930/1329,EEB,18,50,KOM KOME,10584,2017 - 2018 Güz Dönemi
KON 317,Otomatik Kontrol Sistemleri,Sıddık Murat Yeşiloğlu,Pazartesi,1330/1629,EEB,44,40,BLG EHB ELE ELH ELK TEL,10591,2017 - 2018 Güz Dönemi
KON 317,Otomatik Kontrol Sistemleri,Yücel Aydın,Pazartesi,1330/1629,EEB,42,40,BLG EHB ELE ELH ELK TEL,10590,2017 - 2018 Güz Dönemi
KON 317,Otomatik Kontrol Sistemleri,Tufan Kumbasar,Pazartesi,1330/1629,EEB,46,40,BLG EHB ELE ELH ELK TEL,10587,2017 - 2018 Güz Dönemi
KON 317,Otomatik Kontrol Sistemleri,Volkan Sezer,Pazartesi,1330/1629,EEB,43,40,BLG EHB ELE ELH ELK TEL,10585,2017 - 2018 Güz Dönemi
KON 317E,Control Systems,Gülay Öke Günel,Pazartesi,1330/1629,EEB,26,40,BLGE EHBE ELKE,10593,2017 - 2018 Güz Dönemi
KON 318E,Introduction to Robotics,Hakan Temeltaş,Salı,1330/1629,EEB,70,80,KOM KOME,10595,2017 - 2018 Güz Dönemi
KON 407E,State Space Meth.in Contr.Syst,Fikret Çalışkan,Pazartesi,0930/1229,EEB,61,90,KOM KOME,10596,2017 - 2018 Güz Dönemi
KON 409,Bitirme Tasarım Prj. Giriş,Hakan Temeltaş,Perşembe,1130/1329,EEB,36,40,KOM,10614,2017 - 2018 Güz Dönemi
KON 409E,Int. to Senior Design Project,Hakan Temeltaş,Perşembe,1330/1529,EEB,5,50,KOM KOME,10615,2017 - 2018 Güz Dönemi
KON 411,Kontrol Lab.,Ali Fuat Ergenç,Cuma,1400/1559,EEB,15,15,KOM,15490,2017 - 2018 Güz Dönemi
KON 411,Kontrol Lab.,--,Cuma,1030/1229,EEB,0,0,KOM,10617,2017 - 2018 Güz Dönemi
KON 411,Kontrol Lab.,Mehmet Turan Söylemez,Cuma,0830/1029,EEB,23,24,KOM,10616,2017 - 2018 Güz Dönemi
KON 411,Kontrol Lab.,Mehmet Turan Söylemez,Pazartesi,0830/1029,EEB,7,24,KOM,10618,2017 - 2018 Güz Dönemi
KON 411E,Control Laboratory,Ali Fuat Ergenç,Çarşamba,1230/1429,EEB,13,24,KOM KOME,10619,2017 - 2018 Güz Dönemi
KON 411E,Control Laboratory,Ali Fuat Ergenç,Çarşamba,0830/1029,EEB,3,24,KOM KOME,10620,2017 - 2018 Güz Dönemi
KON 413,Endüstriyel Otomasyon,Salman Kurtulan,Perşembe,1330/1729,EEB,15,32,KOM,10621,2017 - 2018 Güz Dönemi
KON 413E,Industrial Automation,Yaprak Yalçın,Pazartesi,1330/1729,EEB,9,32,KOME,10622,2017 - 2018 Güz Dönemi
KON 417,Servo Motorlar,Metin Gökaşan,Salı,0930/1229,EEB,20,75,KOM MKN,10623,2017 - 2018 Güz Dönemi
KON 417E,Servo Motors,Ovsanna Seta Estrada,Salı,0930/1229,EEB,3,75,KOME,10624,2017 - 2018 Güz Dönemi
KON 419E,Control Sys. Dsgn. Project,Ali Fuat Ergenç,Pazartesi Cuma,1230/1329 1130/1229,EEB EEB,72,90,KOM KOME,10625,2017 - 2018 Güz Dönemi
KON 422,Elektrikli Ulaşım Sistemleri,Salman Kurtulan,Çarşamba,1230/1529,EEB,15,50,KOM,10626,2017 - 2018 Güz Dönemi
KON 425E,Process Control,Tufan Kumbasar,Çarşamba,0830/1129,EEB,44,40,KOM KOME,10627,2017 - 2018 Güz Dönemi
KON 435E,Industrial Data Communications,Ali Fuat Ergenç,Pazartesi,1330/1729,EEB,38,50,KOM KOME,12396,2017 - 2018 Güz Dönemi
KON 437,Hareket Kontrol Sistemleri,Ali Fuat Ergenç,Salı Perşembe,0830/1029 0930/1129,EEB EEB,13,50,KOM,10629,2017 - 2018 Güz Dönemi
KON 492,Bitirme Tasarım Projesi,Hakan Temeltaş,----,/,EEB,15,500,KOM,10630,2017 - 2018 Güz Dönemi
KON 492E,Senior Design Project,Hakan Temeltaş,----,/,EEB,10,500,KOM KOME,10631,2017 - 2018 Güz Dönemi
