Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAL 201,Malzeme Bilimi,***,Perşembe,1130/1429,MDB,41,60,CHZ JEO,12847,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Perşembe,0930/1229,EEB,60,60,ELK KOM,13788,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Çarşamba,1230/1529,INB,70,70,BLG INS,12618,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Çarşamba,1230/1529,KMB,30,55,KMM,12493,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Salı,1330/1629,INB,55,60,BLG INS,12617,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Salı,0930/1229,INB,67,70,BLG INS,12619,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Pazartesi Cuma,1530/1729 1430/1529,MKB MKB,55,65,IML IMLM MAK MAKM MKN,13236,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Pazartesi Cuma,1530/1729 1430/1529,MKB MKB,70,70,IML IMLM MAK MAKM MKN,13234,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Pazartesi Cuma,1530/1729 1030/1129,MKB MKB,31,65,IML IMLM MAK MAKM MKN,13232,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Pazartesi Cuma,1530/1729 1430/1529,MKB MKB,64,70,IML IMLM MAK MAKM MKN,13230,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Pazartesi Cuma,1530/1729 1430/1529,MKB MKB,70,70,IML IMLM MAK MAKM MKN,13229,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Pazartesi,1330/1629,INB,59,65,CEV INS,13794,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Pazartesi,1130/1429,UUB,60,60,UCK UZB,11858,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Pazartesi,0930/1229,INB,70,70,BLG INS,12620,2017 - 2018 Güz Dönemi
MAL 201,Malzeme Bilimi,***,Pazartesi,0930/1229,GDB,48,48,DEN GEM,11869,2017 - 2018 Güz Dönemi
MAL 201E,Materials Science,***,Cuma,0930/1229,GDB,39,60,DEN DENE GEME,11871,2017 - 2018 Güz Dönemi
MAL 201E,Materials Science,***,Cuma,0830/1129,MKB,46,58,TEK TEKE,13703,2017 - 2018 Güz Dönemi
MAL 201E,Materials Science,***,Cuma,0830/1129,MKB,50,52,TEK TEKE,13702,2017 - 2018 Güz Dönemi
MAL 201E,Materials Science,***,Perşembe,1130/1429,UUB,50,50,UCK UCKE UZBE,11860,2017 - 2018 Güz Dönemi
MAL 201E,Materials Science,***,Salı,0930/1229,INB,0,50,BLG BLGE CEV CEVE CHZE DEN DENE EHBE ELH ELK ELKE FIZ FIZE GEM GEME GEMK GID GIDE IML IMLE IMLM INS INSE ISL ISLE JEO JEOE KMM KMME KOME MAK MAKE MAKM PET PETE TEK TEKE UCK UCKE UZB UZBE,15674,2017 - 2018 Güz Dönemi
MAL 201E,Materials Science,***,Salı,0930/1229,INB,50,50,BLG BLGE INS INSE,13793,2017 - 2018 Güz Dönemi
MAL 201E,Materials Science,***,Pazartesi,1330/1629,INB,50,50,CEVE INS INSE,13795,2017 - 2018 Güz Dönemi
MAL 201E,Materials Science,***,Pazartesi,1330/1629,EEB,3,60,ELKE KOME,13789,2017 - 2018 Güz Dönemi
MAL 201E,Materials Science,***,Pazartesi,1330/1629,MDB,38,60,CHZ CHZE JEO JEOE,12848,2017 - 2018 Güz Dönemi
MAL 201E,Materials Science,***,Pazartesi,1130/1429,UUB,60,60,UCK UCKE UZBE,11859,2017 - 2018 Güz Dönemi
MAL 203,Malzeme Bilgisi,***,Perşembe,1130/1329,DZB,20,20,GMI,15495,2017 - 2018 Güz Dönemi
