Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAT 105,Analitik Geometri&Ve..,Hakan Yavaşoğlu,Perşembe,1330/1629,INB,37,30,GEO JDF,14423,2017 - 2018 Güz Dönemi
MAT 105,Analitik Geometri&Ve..,Mehmet Ufuk Özerman,Perşembe,1330/1629,INB,37,30,GEO JDF,12729,2017 - 2018 Güz Dönemi
MAT 105E,Analy. Geom. and Vect. Algeb.,Caner Güney,Salı,0830/1129,INB,60,30,GEO GEOE JDF,12730,2017 - 2018 Güz Dönemi
MAT 112E,Mathematics II,Esin Etel Gidon,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/1029,MED FEB FEB,32,35,MAT MATE MATM,10550,2017 - 2018 Güz Dönemi
MAT 115E,Intro. to Programming Language,İzzet Göksel,Salı,1330/1729,EEB,74,40,MAT MATE,13395,2017 - 2018 Güz Dönemi
MAT 117,Matematik Müh. Giriş ve Etik,Ali Demirci,Salı,1130/1329,FEB,42,65,MAT,14089,2017 - 2018 Güz Dönemi
MAT 141,Lineer Cebir I,Evren Tanrıöver,Pazartesi,1330/1629,FEB,78,65,MAT,10557,2017 - 2018 Güz Dönemi
MAT 141E,Linear Algebra I,--,Salı,0830/1129,FEB,0,0,MATE,10559,2017 - 2018 Güz Dönemi
MAT 142E,Linear Algebra II,Ersin Özuğurlu,Perşembe,0830/1129,FEB,16,50,MAT MATE,10560,2017 - 2018 Güz Dönemi
MAT 175,Soyut Matematik,Burak Yıldıran Stodolsky,Perşembe,0830/1129,FEB,79,70,MAT,10561,2017 - 2018 Güz Dönemi
MAT 175E,Abstract Mathematics,Atabey Kaygun,Perşembe,0830/1129,FEB,4,15,MATE,10562,2017 - 2018 Güz Dönemi
MAT 187,Matematik I,Güler Arsan,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/1029,FEB MED FEB,61,65,MAT,13396,2017 - 2018 Güz Dönemi
MAT 187E,Mathematics I,Kamil Oruçoğlu,Pazartesi Çarşamba Cuma,0830/1029 0830/1029 0830/1029,FEB FEB FEB,3,5,MATE,13494,2017 - 2018 Güz Dönemi
MAT 202,Sayısal Yöntemler,Özcan Kalenderli,Cuma,1400/1659,EEB,89,50,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS JEF JEO KOM KON MAD MAK MET PET TEK TEL,10632,2017 - 2018 Güz Dönemi
MAT 202,Sayısal Yöntemler,İsmail Yalçın,Perşembe,1430/1729,GDB,44,40,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS JEF JEO KOM KON MAD MAK MET PET TEK TEL,12101,2017 - 2018 Güz Dönemi
