Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PET 113E,Intr.to Petr.&Nat; Gas.Eng.,Gürşat Altun,Salı,1630/1729,MDB,64,80,PET PETE,12758,2017 - 2018 Güz Dönemi
PET 212E,Rock Properties,Murat Çınar,Cuma,0830/1129,MDB,83,85,PET PETE PETM,12759,2017 - 2018 Güz Dönemi
PET 316E,Geothermal Engineering,Emine Didem Korkmaz Başel,Cuma,0830/1129,MDB,46,80,PETE,12894,2017 - 2018 Güz Dönemi
PET 321E,Petroluem &Natural; Gas Lab.,Emine Didem Korkmaz Başel,Cuma,1230/1429,MDB,15,15,PET PETE PETM,12999,2017 - 2018 Güz Dönemi
PET 321E,Petroluem &Natural; Gas Lab.,Emine Didem Korkmaz Başel,Perşembe,0930/1129,MDB,15,15,PET PETE PETM,12997,2017 - 2018 Güz Dönemi
PET 321E,Petroluem &Natural; Gas Lab.,Emine Didem Korkmaz Başel,Salı,1230/1429,MDB,14,15,PET PETE PETM,12996,2017 - 2018 Güz Dönemi
PET 321E,Petroluem &Natural; Gas Lab.,Emine Didem Korkmaz Başel,Pazartesi,0930/1129,MDB,7,15,PET PETE PETM,12994,2017 - 2018 Güz Dönemi
PET 331E,Drilling Engineering I,Mustafa Hakan Özyurtkan,Cuma,1430/1729,MDB,53,80,PET PETE PETM,12762,2017 - 2018 Güz Dönemi
PET 336E,Well Completions,İbrahim Metin Mıhçakan,Cuma,1430/1729,MDB,6,50,PET PETE PETM,12896,2017 - 2018 Güz Dönemi
PET 415E,Well Logging I,Mustafa Hakan Özyurtkan,Pazartesi,0830/1129,MDB,54,80,PETE PETM,12764,2017 - 2018 Güz Dönemi
PET 417E,Reservoir Engineering II,Abdurrahman Satman,Pazartesi,1430/1729,MDB,9,50,PET PETE PETM,12890,2017 - 2018 Güz Dönemi
PET 421,Formasyon Değerlendirmesi,--,Perşembe,1230/1529,MDB,0,0,PET PETM,14445,2017 - 2018 Güz Dönemi
PET 427E,Production Engineering II,--,Perşembe,0830/1129,MDB,0,0,PETE PETM,14446,2017 - 2018 Güz Dönemi
PET 428E,Simulating of Geosystems,İhsan Murat Gök,Perşembe,1430/1729,MDB,14,20,PET PETE,13002,2017 - 2018 Güz Dönemi
PET 431E,Natural Gas Engineering,Abdurrahman Satman,Salı,1430/1729,MDB,54,80,PET PETE,12892,2017 - 2018 Güz Dönemi
PET 441E,Enhanced Oil Recovery,Murat Çınar,Salı,0830/1129,MDB,7,50,PET PETE PETM,12891,2017 - 2018 Güz Dönemi
PET 447E,Selected Topics in PE,Gürşat Altun,Çarşamba,0830/1129,MDB,30,50,PET PETE,12893,2017 - 2018 Güz Dönemi
PET 468E,Natural Gas Processing Eng.,Gültekin Çınar,Pazartesi,1130/1429,MDB,35,50,PETE,12889,2017 - 2018 Güz Dönemi
PET 492,Bitirme Tasarım Projesi,--,----,/,MDB,0,0,PET,13790,2017 - 2018 Güz Dönemi
PET 492E,Graduation Project,Gürşat Altun,----,/,MDB,14,500,PET PETE,13791,2017 - 2018 Güz Dönemi
