Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
STA 201,Statik,Ali Nuri Doğruoğlu,Cuma,0830/1129,MDB,49,70,DEN EHB ELE ELH GEM JEO MAK TEK TEL UCK UZB,12826,2017 - 2018 Güz Dönemi
STA 201,Statik,Mehmet Salih Dokuz,Salı Perşembe,1330/1529 1630/1729,MKB MKB,40,50,DEN EHB ELE ELH GEM JEO MAK MAKM MKN TEK TEL UCK UZB,13259,2017 - 2018 Güz Dönemi
STA 201,Statik,Ata Muğan,Salı Perşembe,1330/1529 1630/1729,MKB MKB,48,50,DEN EHB ELE ELH GEM JEO MAK MAKM MKN TEK TEL UCK UZB,13258,2017 - 2018 Güz Dönemi
STA 201E,Statics,Murat Yılmaz,Cuma,1430/1729,MDB,68,70,DEN DENE EHB EHBE ELE ELH GEM GEME GEMK JEO JEOE MAK MAKE TEK TEL UCK UCKE UZB UZBE,12827,2017 - 2018 Güz Dönemi
STA 202,Statik,Fethi Kadıoğlu,Salı Perşembe,1330/1529 0930/1129,INB INB,58,55,FIZ INS UCKM,12633,2017 - 2018 Güz Dönemi
STA 202E,Statics,Pelin Gündeş Bakır,Çarşamba Perşembe,1330/1529 0930/1129,INB INB,39,50,FIZ FIZE INS INSE UCKM,12634,2017 - 2018 Güz Dönemi
STA 204,Statik ve Mukavemet,Bahattin Kimençe,Çarşamba,1230/1529,KMB,50,50,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET PET TEL,12786,2017 - 2018 Güz Dönemi
STA 204,Statik ve Mukavemet,Bahattin Kimençe,Çarşamba,0830/1129,EEB,31,50,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET PET TEL,12746,2017 - 2018 Güz Dönemi
STA 204,Statik ve Mukavemet,Ziya Abdülaliyev,Pazartesi,1430/1729,ISB,12,50,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET PET TEL,12580,2017 - 2018 Güz Dönemi
STA 204E,Statics&Strength; of Materials,Akif Kutlu,Cuma,0930/1229,EEB,25,50,CEV CEVE EHB EHBE ELE ELH ELK EUT EUTE GID GIDE ISL ISLE KMM KMME KOM KOME KON KONE MET METE PET PETE TEL,12750,2017 - 2018 Güz Dönemi
STA 204E,Statics&Strength; of Materials,Pınar Özdemir Çağlayan,Perşembe,1330/1629,MDB,53,59,CEV CEVE EHB EHBE ELE ELH ELK EUT EUTE GID GIDE ISL ISLE KMM KMME KOM KOME KON KONE MET METE PET PETE PETM TEL,13003,2017 - 2018 Güz Dönemi
STA 204E,Statics&Strength; of Materials,Akif Kutlu,Pazartesi,1430/1729,ISB,52,50,CEV CEVE EHB EHBE ELE ELH ELK EUT EUTE GID GIDE ISL ISLE KMM KMME KOM KOME KON KONE MET METE PET PETE TEL,12581,2017 - 2018 Güz Dönemi
