Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MET 101E,Int.toMet.&Mat.Engn...,Onuralp Yücel,Salı,1130/1329,KMB,44,140,MET METE,11994,2017 - 2018 Yaz Dönemi
MET 213,Malzeme Biliminin Temelleri,Gültekin Göller,Pazartesi,1330/1629,KMB,86,100,MET,11995,2017 - 2018 Yaz Dönemi
MET 213E,Fund.of Materials Science,Gültekin Göller,Çarşamba,1030/1329,KMB,65,65,METE,11996,2017 - 2018 Yaz Dönemi
MET 215,Metalurji Termodinamiğ. Tem.,Süheyla Aydın,Çarşamba,0830/1129,KMB,80,80,MET,11997,2017 - 2018 Yaz Dönemi
MET 215E,Fund.of Metall.Thermodynamics,Nuri Solak,Perşembe,1030/1329,KMB,70,80,METE,11998,2017 - 2018 Yaz Dönemi
MET 313,Kimyasal Metalurji I,"Mahmut Ercan Açma, Servet İbrahim Timur",Pazartesi,0930/1129,KMB,57,70,MET,11999,2017 - 2018 Yaz Dönemi
MET 313E,Chemical Metallugry I,"Onuralp Yücel, Cevat Bora Derin, Mehmet Şeref Sönmez",Pazartesi,0930/1129,KMB,60,60,METE,12000,2017 - 2018 Yaz Dönemi
MET 315E,Fund. of Physical Metallurgy,"Mustafa Lutfi Öveçoğlu, Burak Özkal",Pazartesi,1330/1629,KMB,100,100,MET METE,12001,2017 - 2018 Yaz Dönemi
MET 317E,Fund. of Transport Phenomena,"Cüneyt Arslan, Güldem Kartal Şireli",Çarşamba,1230/1529,KMB,90,90,MET METE,12002,2017 - 2018 Yaz Dönemi
MET 335,Mlz.Elekt. Many.&Opt..,Hüseyin Kızıl,Perşembe,0830/1129,KMB,50,50,MET,12003,2017 - 2018 Yaz Dönemi
MET 335E,"Elect.,Magn.,Optic.Prop.ofMat.",Muhammet Kürşat Kazmanlı,Cuma,1330/1629,KMB,40,40,METE,12004,2017 - 2018 Yaz Dönemi
MET 337,Malzeme Karakterizasyon Met.,"Gültekin Göller, Özgül Keleş",Perşembe,1330/1629,KMB,60,60,MET,12005,2017 - 2018 Yaz Dönemi
MET 337E,Materials Characteriz. Meth.,"Ömer Serdar Özgen, Cevat Bora Derin, Murat Baydoğan",Çarşamba,0830/1129,KMB,59,60,METE,12006,2017 - 2018 Yaz Dönemi
