Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ELK 107E,Int to Sci.&Eng.Comp..,Suat İlhan,Cuma Cuma,0830/1029 1030/1229,EEB EEB,0,0,ELK ELKE,25335,2018 - 2019 Bahar Dönemi
ELK 221,Elektrik Mühen. Temelleri,Fatma Gül Bağrıyanık,Cuma,0930/1229,INB,39,45,CHZ GID IML ISL KMM MAK MET TEK,20918,2018 - 2019 Bahar Dönemi
ELK 221,Elektrik Mühen. Temelleri,Fatma Gül Bağrıyanık,Çarşamba,0830/1129,KMB,45,45,CHZ GID IML ISL KMM MAK MET TEK,20922,2018 - 2019 Bahar Dönemi
ELK 221,Elektrik Mühen. Temelleri,Fatma Gül Bağrıyanık,Pazartesi,1330/1629,EEB,44,45,CHZ GID IML ISL KMM MAK MET TEK,20920,2018 - 2019 Bahar Dönemi
ELK 221E,Fundamentals of Electric. Eng.,Zehra Elif Batman,Perşembe,1330/1629,MDB,55,55,CHZE GIDE IMLE ISLE KMME MAKE METE PETE TEKE,20925,2018 - 2019 Bahar Dönemi
ELK 221E,Fundamentals of Electric. Eng.,Lale Erdem Atılgan,Salı,0930/1229,GDB,49,55,CHZE GIDE IMLE ISLE KMME MAKE METE PETE TEKE,20927,2018 - 2019 Bahar Dönemi
ELK 221E,Fundamentals of Electric. Eng.,Zehra Elif Batman,Pazartesi,1330/1629,MDB,55,55,CHZE GIDE IMLE ISLE KMME MAKE METE PET PETE TEKE,20924,2018 - 2019 Bahar Dönemi
ELK 226,Elektrik-Elektronik Müh. Tem.,Murat İmeryüz,Cuma,0930/1229,MKB,55,55,IML MAK,20943,2018 - 2019 Bahar Dönemi
ELK 226,Elektrik-Elektronik Müh. Tem.,Duygu Bayram,Cuma,0930/1229,MKB,55,55,IML MAK,20929,2018 - 2019 Bahar Dönemi
ELK 226,Elektrik-Elektronik Müh. Tem.,Murat İmeryüz,Çarşamba,0830/1129,MKB,55,55,IML MAK,20930,2018 - 2019 Bahar Dönemi
ELK 226,Elektrik-Elektronik Müh. Tem.,Murat İmeryüz,Salı,0930/1229,MKB,55,55,IML MAK,20939,2018 - 2019 Bahar Dönemi
ELK 226,Elektrik-Elektronik Müh. Tem.,Ali Sinan Çabuk,Salı,0930/1229,MKB,52,55,IML MAK,20938,2018 - 2019 Bahar Dönemi
ELK 226E,Fund.of Electri.& Electro.Eng.,Ali Sinan Çabuk,Çarşamba,0830/1129,MKB,11,50,IML IMLE MAK MAKE MAKM,20944,2018 - 2019 Bahar Dönemi
ELK 234E,Thermodynamics &Hydrodynamics;,Ahmet Cansız,Salı,1330/1629,EEB,40,40,EHB EHBE ELK ELKE,20946,2018 - 2019 Bahar Dönemi
ELK 312,Yüksek Gerilim Tekniği,Özcan Kalenderli,Perşembe,0930/1229,EEB,37,37,ELK,20951,2018 - 2019 Bahar Dönemi
ELK 312,Yüksek Gerilim Tekniği,Suat İlhan,Perşembe,0930/1229,EEB,37,37,ELK,20950,2018 - 2019 Bahar Dönemi
ELK 312,Yüksek Gerilim Tekniği,Şükran Emel Önal,Perşembe,0930/1229,EEB,37,37,ELK,20948,2018 - 2019 Bahar Dönemi
ELK 312E,High Voltage Technique,Aydoğan Özdemir,Salı,1330/1629,EEB,33,35,ELK ELKE,20953,2018 - 2019 Bahar Dönemi
ELK 322,Enerji İletim Sistemleri,Canan Karatekin,Salı,1330/1629,EEB,7,30,ELK,25481,2018 - 2019 Bahar Dönemi
