Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ENR 102,Manufacturing Process,Ali Gökşenli,Çarşamba,1330/1529,GDB,34,50,GEMK GMIK MEN MENM NAE,22718,2018 - 2019 Bahar Dönemi
ENR 102,Manufacturing Process,Münir Süner,Pazartesi,1730/1929,DZB,29,50,MEN NAE,21913,2018 - 2019 Bahar Dönemi
ENR 112,Workshop,Muhammet Sandıkçı,Cuma,1330/1729,DZB,10,45,MEN NAE,22721,2018 - 2019 Bahar Dönemi
ENR 112,Workshop,Muhammet Sandıkçı,Perşembe,1330/1729,DZB,32,50,MEN NAE,21875,2018 - 2019 Bahar Dönemi
ENR 122,Material Science,Necip Ünlü,Çarşamba,0830/1129,GDB,28,45,DUIK GEMK GMIK MEN MENM MTM NAE,22727,2018 - 2019 Bahar Dönemi
ENR 122,Material Science,Yasin Arslanoğlu,Pazartesi,1430/1729,DZB,19,50,MEN MTM NAE,21931,2018 - 2019 Bahar Dönemi
ENR 202,Thermodynamics,Görkem Kökkülünk,Perşembe,1330/1629,DZB,43,50,MEN NAE,21930,2018 - 2019 Bahar Dönemi
ENR 202,Thermodynamics,Selma Ergin,Çarşamba,1230/1529,GDB,24,50,GEMK GMIK MEN MENM NAE,22735,2018 - 2019 Bahar Dönemi
ENR 222,Strength of Materials II,Özgür Özgüç,Perşembe,0830/1129,GDB,34,50,GEMK NAE,22738,2018 - 2019 Bahar Dönemi
ENR 232,Hydraulic and Pneumatic,Kemal Demirel,Salı,1330/1629,DZB,36,50,MEN,21891,2018 - 2019 Bahar Dönemi
ENR 301,Heat Transfer,Münir Süner,Çarşamba,0830/1129,DZB,3,50,GEMK GMIK MEN MENM NAE,25494,2018 - 2019 Bahar Dönemi
ENR 351,Mechatronics,Ali Sinan Çabuk,Salı,1330/1529,EEB,20,50,GEMK GMIK MEN NAE,22739,2018 - 2019 Bahar Dönemi
ENR 401,Refrigeration& HVAC Systems,Gazi Koçak,Salı,0830/1029,DZB,11,50,GEMK GMIK MEN NAE,21883,2018 - 2019 Bahar Dönemi
