Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
GEO 104,Yersel Ölçme Don. Ve Yaz.,Hasan Hakan Yavaşoğlu,Perşembe,0830/1029,INB,68,68,GEO,21222,2018 - 2019 Bahar Dönemi
GEO 104E,Terr. Surv. Equip. and Soft.,"Turan Erden, Himmet Karaman",Perşembe,1130/1329,INB,38,60,GEOE,21226,2018 - 2019 Bahar Dönemi
GEO 106E,Fundamentals of Programming,Hande Demirel,Çarşamba Çarşamba,0830/1029 1030/1229,INB INB,86,86,GEO GEOE JDF,21241,2018 - 2019 Bahar Dönemi
GEO 106E,Fundamentals of Programming,Ergin Tarı,Çarşamba Çarşamba,0830/1029 1030/1229,INB INB,86,86,GEO GEOE JDF,21230,2018 - 2019 Bahar Dönemi
GEO 182,Geomatik Projesi 1,Hayri Hakan Denli,Cuma Cuma,0830/1129 1430/1729,INB INB,3,20,GEO JDF,21262,2018 - 2019 Bahar Dönemi
GEO 182,Geomatik Projesi 1,Gaye Onursal Denli,Cuma Cuma,0830/1129 1430/1729,INB INB,1,20,GEO JDF,21260,2018 - 2019 Bahar Dönemi
GEO 182,Geomatik Projesi 1,Nebiye Musaoğlu,Cuma Cuma,0830/1129 1430/1729,INB INB,18,20,GEO JDF,21256,2018 - 2019 Bahar Dönemi
GEO 182,Geomatik Projesi 1,Şinasi Kaya,Cuma Cuma,0830/1129 1430/1729,INB INB,5,20,GEO JDF,21254,2018 - 2019 Bahar Dönemi
GEO 182,Geomatik Projesi 1,Mustafa Yanalak,Cuma Cuma,0830/1129 1430/1729,INB INB,20,20,GEO JDF,21253,2018 - 2019 Bahar Dönemi
GEO 182,Geomatik Projesi 1,Mehmet Ufuk Özerman,Cuma Cuma,0830/1129 1430/1729,INB INB,20,20,GEO JDF,21245,2018 - 2019 Bahar Dönemi
GEO 182E,Geomatics Project I,Uğur Algancı,Cuma Cuma,0830/1129 1430/1729,INB INB,5,20,GEO GEOE JDF,21266,2018 - 2019 Bahar Dönemi
GEO 182E,Geomatics Project I,Himmet Karaman,Cuma Cuma,0830/1129 1430/1729,INB INB,20,20,GEO GEOE JDF,21265,2018 - 2019 Bahar Dönemi
