Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DFH 111,Denizde Güvenlik I,Yusuf Nejat Koçar,Cuma,1330/1729,DZB,45,35,DUI GMI,13320,2018 - 2019 Güz Dönemi
DFH 111,Denizde Güvenlik I,Taylan Güler,Cuma,0830/1229,DZB,3,35,DUI GMI,13330,2018 - 2019 Güz Dönemi
DFH 111,Denizde Güvenlik I,Taylan Güler,Perşembe,0830/1229,DZB,2,35,DUI GMI,13328,2018 - 2019 Güz Dönemi
DFH 111,Denizde Güvenlik I,Yusuf Nejat Koçar,Çarşamba,0830/1229,DZB,51,35,DUI GMI,13250,2018 - 2019 Güz Dönemi
DFH 111,Denizde Güvenlik I,Yusuf Nejat Koçar,Pazartesi,1330/1729,DZB,36,35,DUI GMI,13244,2018 - 2019 Güz Dönemi
DFH 111,Denizde Güvenlik I,Yusuf Nejat Koçar,Pazartesi,0830/1229,DZB,2,35,DUI GMI,13242,2018 - 2019 Güz Dönemi
DFH 201,Temel Yüzme Becerisi,--,Cuma,1030/1229,DZB,0,0,DUI GMI,13379,2018 - 2019 Güz Dönemi
DFH 201,Temel Yüzme Becerisi,Yusuf Nejat Koçar,Perşembe,1030/1229,DZB,20,35,DUI GMI,13862,2018 - 2019 Güz Dönemi
DFH 201,Temel Yüzme Becerisi,Yusuf Nejat Koçar,Perşembe,0830/1029,DZB,31,35,DUI GMI,13863,2018 - 2019 Güz Dönemi
DFH 201,Temel Yüzme Becerisi,Yusuf Nejat Koçar,Salı,1330/1529,DZB,47,50,DUI GMI,13317,2018 - 2019 Güz Dönemi
DFH 201,Temel Yüzme Becerisi,Yusuf Nejat Koçar,Salı,1030/1229,DZB,30,35,DUI GMI,13318,2018 - 2019 Güz Dönemi
DFH 201,Temel Yüzme Becerisi,Yusuf Nejat Koçar,Salı,0830/1029,DZB,44,35,DUI GMI,13252,2018 - 2019 Güz Dönemi
DFH 201E,Basic Swimming Skills,Yusuf Nejat Koçar,Cuma,1030/1229,DZB,36,38,DUI DUIE GMI GMIE,15687,2018 - 2019 Güz Dönemi
DFH 221E,Maritime English I,Halime Ceren Göktaş,Perşembe,1330/1629,DZB,11,25,DUI DUIE,13943,2018 - 2019 Güz Dönemi
DFH 222E,Maritime English II,Halime Ceren Göktaş,Salı,1030/1229,DZB,42,45,DUI DUIE,13338,2018 - 2019 Güz Dönemi
DFH 222E,Maritime English II,Halime Ceren Göktaş,Pazartesi,1230/1429,DZB,17,45,DUI DUIE,13339,2018 - 2019 Güz Dönemi
DFH 222E,Maritime English II,Halime Ceren Göktaş,Pazartesi,0830/1029,DZB,22,45,DUI DUIE,13337,2018 - 2019 Güz Dönemi
DFH 223,Denizde Güvenlik III,Taylan Güler,Salı,1530/1729,DZB,19,70,GMI,14453,2018 - 2019 Güz Dönemi
DFH 241E,Marine Environment Protection,Sevilay Can,Cuma,1030/1229,DZB,29,30,DUI DUIE,13971,2018 - 2019 Güz Dönemi
DFH 251E,General English I,Halime Ceren Göktaş,Çarşamba,1330/1529,DZB,6,30,DUI DUIE,15619,2018 - 2019 Güz Dönemi
DFH 251E,General English I,Halime Ceren Göktaş,Çarşamba,1030/1229,DZB,20,35,DUI DUIE,13877,2018 - 2019 Güz Dönemi
DFH 281,Denizel Çevre Kimyası,Ayşe Yılmaz,Pazartesi,1430/1729,DZB,49,50,DUI,13351,2018 - 2019 Güz Dönemi
DFH 321E,Org.Mngt &Behavior; ..,Leyla Tavacıoğlu,Salı,0830/1029,DZB,45,45,DUI DUIE,13418,2018 - 2019 Güz Dönemi
DFH 331E,Int.Relations&Mariti..,Levent Kırval,Perşembe,1230/1429,DZB,40,45,DUI DUIE,13414,2018 - 2019 Güz Dönemi
DFH 351E,Shipping Finance,Levent Kırval,Pazartesi,1130/1329,DZB,45,45,DUI DUIE,13413,2018 - 2019 Güz Dönemi
DFH 361,Gemi Tedarik Zinciri Yönetimi,Pelin Bolat,Cuma,1130/1329,DZB,69,80,DUI,13364,2018 - 2019 Güz Dönemi
DFH 401,Araştırma Yönt. & İstatistik,Burcu Özsoy,Çarşamba,1230/1529,DZB,80,83,DUI,13272,2018 - 2019 Güz Dönemi
DFH 401,Araştırma Yönt. & İstatistik,Burcu Özsoy,Pazartesi,1430/1729,DZB,27,50,DUI,15285,2018 - 2019 Güz Dönemi
DFH 411E,Commercial Ship Management,Pelin Bolat,Cuma,0830/1029,DZB,48,50,DUI DUIE,13285,2018 - 2019 Güz Dönemi
DFH 411E,Commercial Ship Management,Pelin Bolat,Pazartesi,0830/1029,DZB,50,55,DUI DUIE,13394,2018 - 2019 Güz Dönemi
DFH 412E,Maritime Safety,Yusuf Nejat Koçar,Çarşamba,1230/1529,DZB,40,45,DUI DUIE,14464,2018 - 2019 Güz Dönemi
DFH 431,Etkili İletişim,Leyla Tavacıoğlu,Salı,1130/1329,DZB,63,65,DUI,13287,2018 - 2019 Güz Dönemi
DFH 441E,Manag. Behaviour&Per..,Leyla Tavacıoğlu,Salı,1330/1529,DZB,26,45,DUI DUIE,13290,2018 - 2019 Güz Dönemi
DFH 462E,Sea Ice,Burcu Özsoy,Pazartesi,0830/1029,DZB,23,30,DUI DUIE,13875,2018 - 2019 Güz Dönemi
