Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ELK 107E,Int to Sci.&Eng.Comp..,Suat İlhan,Cuma Cuma,0830/1029 1030/1229,EEB EEB,52,50,ELK ELKE,12300,2018 - 2019 Güz Dönemi
ELK 107E,Int to Sci.&Eng.Comp..,Tahir Çetin Akıncı,Çarşamba Çarşamba,0930/1129 1330/1529,EEB EEB,63,50,ELK ELKE,12301,2018 - 2019 Güz Dönemi
ELK 111,Elektrik Mühendisliği ve Etik,Fatma Gül Bağrıyanık,Pazartesi,1030/1229,EEB,131,100,ELK,12303,2018 - 2019 Güz Dönemi
ELK 111E,Electrical Engineering&Ethics;,Lale Erdem Atılgan,Pazartesi,1030/1229,EEB,21,45,ELK ELKE,12304,2018 - 2019 Güz Dönemi
ELK 214,Elektromekanik Enerji Dönüşümü,Murat İmeryüz,Perşembe,1330/1629,EEB,30,35,KOM MKN,12306,2018 - 2019 Güz Dönemi
ELK 214,Elektromekanik Enerji Dönüşümü,Ali Sinan Çabuk,Perşembe,1330/1629,EEB,35,35,KOM MKN,12305,2018 - 2019 Güz Dönemi
ELK 214E,Electromech.Energy Conversion,Duygu Bayram,Perşembe,1330/1629,EEB,3,35,KOM KOME MKN,12307,2018 - 2019 Güz Dönemi
ELK 221,Elektrik Mühen. Temelleri,Tahir Çetin Akıncı,Cuma,0930/1229,KMB,36,40,CHZ GID IML ISL KMM MAK MET TEK UCK UCKM UZB,12313,2018 - 2019 Güz Dönemi
ELK 221,Elektrik Mühen. Temelleri,Murat İmeryüz,Salı,0930/1229,KMB,39,40,CHZ GID IML ISL KMM MAK MET TEK UCK UCKM UZB,12310,2018 - 2019 Güz Dönemi
ELK 221,Elektrik Mühen. Temelleri,Canan Karatekin,Pazartesi,1330/1629,EEB,18,40,CHZ GID IML ISL KMM MAK MET TEK UCK UCKM UZB,12309,2018 - 2019 Güz Dönemi
ELK 221,Elektrik Mühen. Temelleri,Fatma Gül Bağrıyanık,Pazartesi,1330/1629,UUB,38,40,CHZ GID IML ISL KMM MAK MET TEK UCK UCKM UZB,12308,2018 - 2019 Güz Dönemi
ELK 221,Elektrik Mühen. Temelleri,Tahir Çetin Akıncı,Pazartesi,0930/1229,KMB,40,40,CHZ GID IML ISL KMM MAK MET TEK UCK UCKM UZB,12311,2018 - 2019 Güz Dönemi
ELK 221E,Fundamentals of Electric. Eng.,Zehra Elif Batman,Çarşamba,1230/1529,MDB,55,50,CHZE GIDE IMLE ISLE KMME MAKE METE PETE TEKE UCK UCKE UCKM UZB UZBE,12316,2018 - 2019 Güz Dönemi
ELK 221E,Fundamentals of Electric. Eng.,Ahmet Cansız,Salı,1330/1629,KMB,51,50,CHZE GIDE IMLE ISLE KMME MAKE METE PETE TEKE UCK UCKE UCKM UZB UZBE,12317,2018 - 2019 Güz Dönemi
ELK 221E,Fundamentals of Electric. Eng.,Zehra Elif Batman,Pazartesi,1330/1629,MDB,54,50,CHZE GIDE IMLE ISLE KMME MAKE METE PETE TEKE UCK UCKE UCKM UZB UZBE,12315,2018 - 2019 Güz Dönemi
ELK 313,Enerji İletim Hatları,Hatice Lale Zeynelgil,Perşembe,1330/1629,EEB,40,40,ELK,12318,2018 - 2019 Güz Dönemi
ELK 313E,Power Transmission Lines,Zehra Elif Batman,Salı,0930/1229,EEB,42,40,ELK ELKE,12319,2018 - 2019 Güz Dönemi
ELK 331,Güç Elektroniği Devreleri,Murat Yılmaz,Çarşamba,1230/1529,EEB,62,55,EHB ELE ELK,12337,2018 - 2019 Güz Dönemi
ELK 331,Güç Elektroniği Devreleri,Azmi Demirel,Çarşamba,1230/1529,EEB,58,55,EHB ELE ELK,12322,2018 - 2019 Güz Dönemi
ELK 331,Güç Elektroniği Devreleri,Derya Ahmet Kocabaş,Pazartesi,0930/1229,EEB,59,55,EHB ELE ELK,12320,2018 - 2019 Güz Dönemi
ELK 331E,Power Electronic Circuits,Deniz Yıldırım,Çarşamba,1230/1529,EEB,53,55,EHB EHBE ELE ELK ELKE KOM KOME,12338,2018 - 2019 Güz Dönemi
ELK 331E,Power Electronic Circuits,Özgür Üstün,Pazartesi,0930/1229,EEB,57,55,EHB EHBE ELE ELK ELKE KOM KOME,12341,2018 - 2019 Güz Dönemi
ELK 333E,Intr. to Nuclear Engineering,Ahmet Cansız,Pazartesi,1330/1629,EEB,14,50,ELK ELKE,12342,2018 - 2019 Güz Dönemi
ELK 334E,Dsgn of Power Electr Circuits,Özgür Üstün,Salı,1330/1629,EEB,11,40,ELK ELKE KOM KOME,12340,2018 - 2019 Güz Dönemi
ELK 343,Elektromekanik Enerji Dönüşümü,Güven Kömürgöz Kırış,Çarşamba,0830/1129,EEB,27,35,ELK,12343,2018 - 2019 Güz Dönemi
