Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MEN 201,Marine Diesel Engines I,Ahmet Ergün Palaz,Perşembe,1330/1629,GDB,31,40,GEMK GMIK MEN NAE,13811,2018 - 2019 Güz Dönemi
MEN 201,Marine Diesel Engines I,Cumali Seçkin Mengeçin,Salı,1430/1729,DZB,31,50,GEMK GMIK MEN NAE,13490,2018 - 2019 Güz Dönemi
MEN 211,Workshop Training-I,Cumali Seçkin Mengeçin,----,/,DZB,30,50,GMIK MEN,13737,2018 - 2019 Güz Dönemi
MEN 301,Engine Room Simulator (ERS) I,Kemal Demirel,Perşembe,1330/1729,DZB,14,50,GMIK MEN,13665,2018 - 2019 Güz Dönemi
MEN 302,Onboard Training,Cumali Seçkin Mengeçin,----,/,DZB,1,50,GMIK MEN,13739,2018 - 2019 Güz Dönemi
MEN 311,Marine Boilers and Operation,Fahrettin Küçükşahin,Perşembe,0830/1129,DZB,19,50,GMIK MEN,13673,2018 - 2019 Güz Dönemi
MEN 321,Operation&Maint.of; ..,Cumali Seçkin Mengeçin,Çarşamba,0830/1229,DZB,10,50,GMIK MEN,13653,2018 - 2019 Güz Dönemi
MEN 331,Workshop Training-II,Cumali Seçkin Mengeçin,----,/,DZB,14,50,GMIK MEN,13738,2018 - 2019 Güz Dönemi
MEN 401,Oper.of Steam & Gas Turbines,Cumali Seçkin Mengeçin,Pazartesi,1330/1729,DZB,9,50,GMIK MEN,13654,2018 - 2019 Güz Dönemi
MEN 402,Graduation Design Project,--,----,/,DZB,0,0,GMIK MEN,13740,2018 - 2019 Güz Dönemi
MEN 411,Marine Auxialiary Machinery II,Kemal Demirel,Çarşamba,0830/1129,DZB,9,50,GEMK GMIK MEN NAE,13669,2018 - 2019 Güz Dönemi
MEN 411,Marine Auxialiary Machinery II,Ahmet Ergün Palaz,Salı,0930/1229,GDB,6,40,GEMK GMIK MEN NAE,13831,2018 - 2019 Güz Dönemi
MEN 421,Marine Diesel Engines III,Fahrettin Küçükşahin,Perşembe,1430/1729,DZB,9,50,GMIK MEN,13655,2018 - 2019 Güz Dönemi
MEN 431,Engine Room Mangm.& Leadership,Cumali Seçkin Mengeçin,Pazartesi,1730/1929,DZB,9,50,GMIK MEN,13671,2018 - 2019 Güz Dönemi
