Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PAZ 101,Fundamentals of Textiles,Osman Bülent Özipek,Salı,1330/1729,MKB,10,40,STP,13553,2018 - 2019 Güz Dönemi
PAZ 103,The Hist.ofTextile T..,Şükriye Yüksel Filiz,Perşembe,1030/1229,MKB,10,40,STP,13559,2018 - 2019 Güz Dönemi
PAZ 121,Intr. to Fashion Industry,Belgin Görgün,Salı,0930/1229,MKB,10,40,STP,13555,2018 - 2019 Güz Dönemi
PAZ 151,Intro. to Physical Sciences,Neşe Özdemir,Perşembe,1330/1629,FEB,10,40,STP,13564,2018 - 2019 Güz Dönemi
PAZ 171,Gymnastics,Damla Ercan,Perşembe,1330/1529,MKB,2,40,STP,13747,2018 - 2019 Güz Dönemi
PAZ 207,Fabrics for Interiors,"Canan Sarıçam, Belgin Görgün",Çarşamba,1330/1529,MKB,4,40,STP,13567,2018 - 2019 Güz Dönemi
PAZ 209,Fab. for Private Label Apparel,"Cevza Candan, Senem Kurşun Bahadır",Perşembe,1330/1729,MKB,4,40,STP,13571,2018 - 2019 Güz Dönemi
PAZ 213,CAD&Design; Fun.for ..,"Nevin Çiğdem Gürsoy, Dilek Alpan",Pazartesi,1330/1629,MKB,12,40,STP,13561,2018 - 2019 Güz Dönemi
PAZ 217,Public Speaking,Alin Aylin Yağcıoğlu,Cuma,0930/1229,MKB,4,40,SMT STP,13574,2018 - 2019 Güz Dönemi
PAZ 302,Hi Tech Textiles,Ömer Berk Berkalp,Cuma,1330/1629,MKB,4,40,STP,13572,2018 - 2019 Güz Dönemi
PAZ 381,Principles of Accounting,Kaya Tokmakçıoğlu,Pazartesi,0930/1229,MKB,4,40,STP,13577,2018 - 2019 Güz Dönemi
