Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
RES 102,Bilg. Destekli Teknik Resim,Melek Ertogan,Pazartesi,1330/1729,DZB,46,45,DEN DUI GMI,13258,2018 - 2019 Güz Dönemi
RES 102,Bilg. Destekli Teknik Resim,Melek Ertogan,Pazartesi,0830/1229,DZB,45,45,DEN DUI GMI,13256,2018 - 2019 Güz Dönemi
RES 103E,Technical Drawing,Sena Duru,Cuma,1330/1729,MKB,36,40,CHZ CHZE DUI DUIE DUIK EUT EUTE GID GIDE GMI GMIE JEO JEOE KMM KMME MAD MADE MET METE PET PETE TEK TEKE,13588,2018 - 2019 Güz Dönemi
RES 103E,Technical Drawing,Sena Duru,Perşembe,1330/1729,MKB,52,40,CHZ CHZE DUI DUIE DUIK EUT EUTE GID GIDE GMI GMIE JEO JEOE KMM KMME MAD MADE MET METE PET PETE TEK TEKE,13578,2018 - 2019 Güz Dönemi
RES 107,Teknik Resim,Çağlar Akkaya,Cuma,1330/1629,KMB,72,55,END GID ISL KMM,13866,2018 - 2019 Güz Dönemi
RES 107,Teknik Resim,Çağlar Akkaya,Cuma,0930/1229,KMB,75,55,END GID ISL KMM,13865,2018 - 2019 Güz Dönemi
RES 107,Teknik Resim,--,Perşembe,1430/1729,ISB,0,0,END GID ISL KMM,13886,2018 - 2019 Güz Dönemi
RES 107,Teknik Resim,--,Perşembe,0930/1229,ISB,0,0,END GID ISL KMM,13884,2018 - 2019 Güz Dönemi
RES 107,Teknik Resim,Sabahat Topuz Kiremitçi,Perşembe,0930/1229,KMB,73,55,END GID ISL KMM,13867,2018 - 2019 Güz Dönemi
RES 107E,Technical Drawing,Gürşat Altun,Cuma,0930/1229,KMB,50,50,END ENDE FIZ GID GIDE ISL ISLE KMM KMME MET METE PETE,15747,2018 - 2019 Güz Dönemi
RES 107E,Technical Drawing,Ömer Faruk Beyca,Cuma,0930/1229,ISB,85,61,END ENDE FIZ GID GIDE ISL ISLE KMM KMME MET METE PETE,13915,2018 - 2019 Güz Dönemi
RES 107E,Technical Drawing,Serpil Kurt Habiboğlu,Perşembe,0930/1229,INB,55,50,END ENDE FIZ GID GIDE ISL ISLE KMM KMME MET METE PETE,15675,2018 - 2019 Güz Dönemi
RES 107E,Technical Drawing,--,Salı,0830/1129,MDB,0,0,END ENDE FIZ GID GIDE ISL ISLE KMM KMME MET METE PETE,12657,2018 - 2019 Güz Dönemi
