Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SEN 101,Intr.to Industrial Engineering,İrem Uçal Sarı,Salı,1230/1529,ISB,29,40,SEN,13905,2018 - 2019 Güz Dönemi
SEN 301,Operations Research I,Özgür Kabak,Salı,0930/1229,ISB,17,40,SEN,13897,2018 - 2019 Güz Dönemi
SEN 303,Ergonomics,Fethi Çalışır,Çarşamba,0930/1229,ISB,16,40,SEN,13898,2018 - 2019 Güz Dönemi
SEN 305,Engineering Economy,Cengiz Kahraman,Pazartesi,1330/1629,ISB,17,40,SEN,13899,2018 - 2019 Güz Dönemi
SEN 315,Manufacturing Processes,Emre Çevikcan,Çarşamba,1230/1529,ISB,16,40,SEN,13907,2018 - 2019 Güz Dönemi
SEN 317,Intr.to Inform.Processimg Syst,Başar Öztayşi,Perşembe,0930/1129,ISB,5,15,SEN,13900,2018 - 2019 Güz Dönemi
SEN 319,Management and Organization,Sezi Çevik Onar,Salı,1330/1529,ISB,11,15,SEN,13902,2018 - 2019 Güz Dönemi
SEN 321,Business Law,--,Perşembe,0930/1129,ISB,0,0,SEN,13914,2018 - 2019 Güz Dönemi
SEN 325,Supply Chain Management,Şeyda Serdar Asan,Perşembe,1230/1429,ISB,16,20,SEN,13904,2018 - 2019 Güz Dönemi
SEN 339,Project Management Systems,Şule Itır Satoğlu,Cuma,0930/1229,ISB,17,40,SEN,13911,2018 - 2019 Güz Dönemi
SEN 342,Knowledge and Innovation Syst.,--,Cuma,1430/1729,ISB,0,0,SEN,13909,2018 - 2019 Güz Dönemi
