Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DFH 111,Denizde Güvenlik I,Yusuf Nejat Koçar,Salı Salı,0830/1229 1330/1729,DZB DZB,6,35,DUI GMI,30626,2018 - 2019 Yaz Dönemi
DFH 112,Denizde Güvenlik II,Yusuf Nejat Koçar,Perşembe Perşembe,0830/1129 1430/1729,DZB DZB,11,35,DUI GMI,30507,2018 - 2019 Yaz Dönemi
DFH 172E,Maritime English I,Halime Ceren Göktaş,Perşembe,1330/1729,DZB,23,30,DUI,30683,2018 - 2019 Yaz Dönemi
DFH 201,Temel Yüzme Becerisi,Yusuf Nejat Koçar,Çarşamba,0830/1229,DZB,16,35,DUI GMI,30628,2018 - 2019 Yaz Dönemi
DFH 222E,Maritime English II,Halime Ceren Göktaş,Pazartesi,1330/1729,DZB,31,32,DUI DUIE,30637,2018 - 2019 Yaz Dönemi
DFH 241E,Marine Environment Protection,Sevilay Can,Perşembe,0830/1229,DZB,10,30,DUI DUIE,30646,2018 - 2019 Yaz Dönemi
DFH 242E,General English II,Halime Ceren Göktaş,Pazartesi,0830/1229,DZB,20,30,DUI DUIE,30641,2018 - 2019 Yaz Dönemi
DFH 254E,Maritime Conventions,--,Pazartesi,0830/1229,DZB,0,0,DUI DUIE,30745,2018 - 2019 Yaz Dönemi
DFH 361,Gemi Tedarik Zinciri Yönetimi,Pelin Bolat,Salı,0830/1229,DZB,18,30,DUI,30678,2018 - 2019 Yaz Dönemi
DFH 411E,Commercial Ship Management,Pelin Bolat,Salı,1330/1729,DZB,7,30,DUI DUIE,30677,2018 - 2019 Yaz Dönemi
DFH 422,Deniz Kazaları&Emniy..,Emre Akyüz,Çarşamba,1330/1729,DZB,28,30,DUI DUIE,30642,2018 - 2019 Yaz Dönemi
