Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DUI 113E,Int.toMarit.Trnsp.Mn..,Emre Akyüz,Cuma,0830/1229,DZB,14,30,DUI,30682,2018 - 2019 Yaz Dönemi
DUI 208E,Cargo&Crew; Safety,Tanzer Satır,Pazartesi,1330/1729,DZB,22,30,DUI DUIE,30679,2018 - 2019 Yaz Dönemi
DUI 213E,Ship Constrct.and Stability,Sevilay Can,Salı Salı,0830/1129 1330/1629,DZB DZB,30,30,DUI,30485,2018 - 2019 Yaz Dönemi
DUI 215E,Terrestrial Navigation,Orhan Gönel,Perşembe Perşembe,0830/1129 1330/1629,DZB DZB,15,30,DUI DUIE,30639,2018 - 2019 Yaz Dönemi
DUI 231EL,Marine Communication Lab.,Orhan Gönel,Pazartesi,0830/1229,DZB,5,30,DUI DUIE,30681,2018 - 2019 Yaz Dönemi
DUI 251,Meteoroloji,--,Pazartesi Pazartesi,0830/1129 1330/1629,DZB DZB,0,0,DUI,30508,2018 - 2019 Yaz Dönemi
DUI 301E,E-Navigation Systems,--,Çarşamba,1030/1629,DZB,0,0,DUI DUIE,30750,2018 - 2019 Yaz Dönemi
DUI 311E,Celestial Navigation,Orhan Gönel,Salı Salı,0830/1129 1330/1629,DZB DZB,26,30,DUI DUIE,30638,2018 - 2019 Yaz Dönemi
DUI 341E,Maritime Practical Studies,Emre Akyüz,Perşembe Perşembe,0830/1229 1330/1729,DZB DZB,27,27,DUI DUIE,30636,2018 - 2019 Yaz Dönemi
DUI 361E,Technical Ship Management,Emre Akyüz,Çarşamba Çarşamba,0830/1029 1030/1229,DZB DZB,25,25,DUI DUIE,30481,2018 - 2019 Yaz Dönemi
DUI 401E,Ship Handling and Manouevring,--,Salı Salı,0830/1129 1330/1629,DZB DZB,0,0,DUI DUIE,30480,2018 - 2019 Yaz Dönemi
DUI 431,Gemi Makinaları,Kadir Çiçek,Salı,1330/1729,DZB,11,30,DUI,30680,2018 - 2019 Yaz Dönemi
DUI 442,Meteoroloji ve Oşinografi,Ayşe Yılmaz,Salı Salı,0830/1029 1030/1229,DZB DZB,7,20,DUI,30510,2018 - 2019 Yaz Dönemi
DUI 451E,Cargo Handling Simulator,Orhan Gönel,Pazartesi,1330/1729,DZB,13,30,DUI DUIE,30643,2018 - 2019 Yaz Dönemi
