Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EHB 206E,Signal Processing&Li..,Ahmet Hamdi Kayran,Pazartesi Çarşamba,1330/1629 1330/1629,EEB EEB,31,30,EHB EHBE,30773,2018 - 2019 Yaz Dönemi
EHB 211,Elektrik Devre Temelleri,İsmail Serdar Özoğuz,Salı Salı,0930/1229 1330/1629,EEB EEB,41,35,EHB ELE ELK KOM TEL,30206,2018 - 2019 Yaz Dönemi
EHB 211E,Basics of Electrical Circuits,Metin Hüner,Cuma Cuma,0830/1229 1330/1529,EEB EEB,44,35,EHB EHBE ELE ELK ELKE KOM KOME TEL,30210,2018 - 2019 Yaz Dönemi
EHB 211E,Basics of Electrical Circuits,İsmail Serdar Özoğuz,Çarşamba Çarşamba,0930/1229 1330/1629,EEB EEB,40,35,EHB EHBE ELE ELK ELKE KOM KOME TEL,30208,2018 - 2019 Yaz Dönemi
EHB 212,Elektromagnetik Alanlara Giriş,Mehmet Nuri Akıncı,Salı Salı,0930/1229 1330/1629,EEB EEB,57,35,EHB ELE ELH ELK KOM TEL,30221,2018 - 2019 Yaz Dönemi
EHB 212E,Intr.to Electromagnetic Fields,Mehmet Nuri Akıncı,Pazartesi Pazartesi,0930/1229 1330/1629,EEB EEB,62,35,EHB EHBE ELE ELH ELK ELKE KOM KOME SEH TEL,30225,2018 - 2019 Yaz Dönemi
EHB 232E,Circuit and System Analysis,Metin Hüner,Çarşamba Perşembe,1330/1629 1330/1629,EEB EEB,58,35,EHB EHBE ELE ELH ELK ELKE TEL,30229,2018 - 2019 Yaz Dönemi
EHB 262E,Electronics II,Mustafa Berke Yelten,Cuma Cuma,0930/1229 1400/1659,EEB EEB,59,35,EHB EHBE ELE SEH,30233,2018 - 2019 Yaz Dönemi
EHB 262E,Electronics II,Metin Yazgı,Salı Salı,0930/1229 1330/1629,EEB EEB,56,35,EHB EHBE ELE SEH,30230,2018 - 2019 Yaz Dönemi
EHB 335E,Analog Electronic Circuits,Metin Yazgı,Perşembe Perşembe,0930/1229 1330/1629,EEB EEB,39,35,EHB EHBE ELE ELH TEL,30232,2018 - 2019 Yaz Dönemi
EHB 362E,Microwave Engineering,Mesut Kartal,Salı Çarşamba,1330/1629 1330/1629,EEB EEB,15,35,EHB EHBE ELE ELH TEL,30234,2018 - 2019 Yaz Dönemi
