Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ELK 214,Elektromek. Enerji Dönüş.Tem.,Ali Sinan Çabuk,Perşembe Perşembe,0930/1229 1330/1629,EEB EEB,30,30,EHB ELE ELH KOM MKN TEL,30276,2018 - 2019 Yaz Dönemi
ELK 221,Elektrik Mühen. Temelleri,Ahmet Cansız,Perşembe Perşembe,0930/1229 1330/1629,EEB EEB,43,40,CHZ GID IML ISL KMM MAK MET TEK UCK UCKM UZB,30282,2018 - 2019 Yaz Dönemi
ELK 221E,Fundamentals of Electric. Eng.,Ahmet Cansız,Çarşamba Çarşamba,0930/1229 1330/1629,EEB EEB,36,40,CHZE GIDE IMLE ISLE KMME MAKE METE PETE TEKE UCK UCKE UCKM UZB UZBE,30774,2018 - 2019 Yaz Dönemi
ELK 221E,Fundamentals of Electric. Eng.,Ahmet Cansız,Salı Salı,0930/1229 1330/1629,EEB EEB,40,40,CHZE GIDE IMLE ISLE KMME MAKE METE PETE TEKE UCK UCKE UCKM UZB UZBE,30288,2018 - 2019 Yaz Dönemi
ELK 226,Elektrik-Elektronik Müh. Tem.,Ali Sinan Çabuk,Çarşamba Çarşamba,0930/1229 1330/1629,EEB EEB,30,30,IML MAK,30279,2018 - 2019 Yaz Dönemi
ELK 331E,Power Electronic Circuits,Özgür Üstün,Salı Çarşamba,0930/1229 0930/1229,EEB EEB,42,30,EHB EHBE ELE ELK ELKE KOM KOME,30290,2018 - 2019 Yaz Dönemi
ELK 331E,Power Electronic Circuits,Deniz Yıldırım,Pazartesi Çarşamba,0930/1229 1330/1629,EEB EEB,33,30,EHB EHBE ELE ELK ELKE KOM KOME,30292,2018 - 2019 Yaz Dönemi
ELK 343E,Electromech. Energy Conversion,Deniz Yıldırım,Pazartesi Çarşamba,1330/1629 0930/1229,EEB EEB,14,30,ELK ELKE,30294,2018 - 2019 Yaz Dönemi
ELK 356,Elektrik Makinaları,Murat İmeryüz,Salı Çarşamba,1330/1629 1330/1629,EEB EEB,31,30,ELK,30713,2018 - 2019 Yaz Dönemi
ELK 356E,Electrical Machines,Derya Ahmet Kocabaş,Pazartesi Salı,0930/1229 0930/1229,EEB EEB,12,30,ELK ELKE,30296,2018 - 2019 Yaz Dönemi
