Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAK 104E,Intr to Comp in Mech. Eng (C),Adil Yücel,Çarşamba Çarşamba,0930/1229 1330/1629,MKB MKB,45,40,IML MAK,30504,2018 - 2019 Yaz Dönemi
MAK 105,Makine Tasarımına Giriş,Yusuf Ziya Kocabal,Pazartesi Salı Çarşamba,0930/1229 1330/1729 0930/1229,MKB MKB MKB,40,50,IML MAK,30502,2018 - 2019 Yaz Dönemi
MAK 110E,Comput.Aided Technical Drawing,Hacı Mustafa Özkırım,Pazartesi Salı,1330/1729 1330/1729,MKB MKB,32,40,IML MAK,30503,2018 - 2019 Yaz Dönemi
MAK 118,Statik,Necmi Aydın Ünverdi,Pazartesi Salı,0930/1229 0930/1229,MKB MKB,29,60,MAK,30491,2018 - 2019 Yaz Dönemi
MAK 202E,Numerical Meth.for Mech. Eng.,Adil Yücel,Salı Salı,0930/1229 1330/1629,MKB MKB,50,50,IML MAK,30501,2018 - 2019 Yaz Dönemi
MAK 213,Malzeme Bilimi,Levent Trabzon,Perşembe Cuma,0830/1229 0830/1229,MKB MKB,46,50,IML MAK,30499,2018 - 2019 Yaz Dönemi
MAK 214E,Engineering Materials,Ali Gökşenli,Perşembe Perşembe,0930/1229 1330/1629,MKB MKB,50,50,IML IMLE MAK MAKE MAKM,30702,2018 - 2019 Yaz Dönemi
MAK 217,Dinamik,Necmi Aydın Ünverdi,Çarşamba Perşembe,1330/1729 0830/1229,MKB MKB,30,30,MAK MAKM,30685,2018 - 2019 Yaz Dönemi
MAK 217,Dinamik,Necmi Aydın Ünverdi,Pazartesi Salı,1330/1729 1330/1729,MKB MKB,53,60,MAK MAKM,30492,2018 - 2019 Yaz Dönemi
MAK 224E,Engineering Materials,Levent Trabzon,Perşembe,1330/1729,MKB,49,50,IML MAK,30494,2018 - 2019 Yaz Dönemi
MAK 313,Isı Geçişi,Ersin Sayar,Perşembe Cuma,0830/1229 0830/1229,MKB MKB,67,65,MAK MAKM,30495,2018 - 2019 Yaz Dönemi
MAK 315,Mekanik Titreşimler,Sinem Öztürk,Pazartesi Salı,0930/1229 0930/1229,MKB MKB,75,65,IML MAK MAKM,30701,2018 - 2019 Yaz Dönemi
MAK 324,Makina Teorisi,Sinem Öztürk,Pazartesi Salı,1330/1629 1330/1629,MKB MKB,80,65,MAK MAKM,30700,2018 - 2019 Yaz Dönemi
MAK 333,Sistem Dinamiği ve Kontrol,Mustafa Resa Becan,Çarşamba Çarşamba,0830/1229 1330/1729,MKB MKB,84,70,IML MAK,30698,2018 - 2019 Yaz Dönemi
MAK 341,Makina Elemanları I,Hacı Abdullah Taşdemir,Perşembe Cuma Cuma,1330/1729 0930/1229 1430/1729,MKB MKB MKB,74,65,MAK MAKM MKN PET,30497,2018 - 2019 Yaz Dönemi
MAK 353,İmal Usulleri,Ali Gökşenli,Salı Çarşamba,1330/1729 1330/1729,MKB MKB,65,65,MAK MAKM,30498,2018 - 2019 Yaz Dönemi
MAK 4018E,Quality Control in Manufacturi,Ali Gökşenli,Salı Çarşamba,0930/1229 0930/1229,MKB MKB,58,60,IML IMLE MAK MAKE,30496,2018 - 2019 Yaz Dönemi
