Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
BLG 102E,Intr to Sci&Eng Comp (C),Ayşe Tosun,Çarşamba Perşembe,0830/1129 1330/1529,MDB EEB,82,85,BLG BLGE,21619,2019 - 2020 Bahar Dönemi
BLG 102E,Intr to Sci&Eng Comp (C),Ahmet Cüneyd Tantuğ,Salı Perşembe,0830/1129 1530/1729,EEB EEB,78,80,BLG BLGE,21618,2019 - 2020 Bahar Dönemi
BLG 102E,Intr to Sci&Eng Comp (C),Hayri Turgut Uyar,Pazartesi Perşembe,1430/1729 1530/1729,EEB INB,80,80,BLG BLGE,21620,2019 - 2020 Bahar Dönemi
BLG 112E,Discrete Mathematics,Şule Öğüdücü,Çarşamba,1230/1529,MDB,127,127,BLG BLGE,21611,2019 - 2020 Bahar Dönemi
BLG 112E,Discrete Mathematics,Hayri Turgut Uyar,Çarşamba,1230/1529,EEB,127,127,BLG BLGE,21610,2019 - 2020 Bahar Dönemi
BLG 202E,Numerical Methods in CE,Yusuf Yaslan,Salı,0830/1129,EEB,102,102,BLG BLGE,21622,2019 - 2020 Bahar Dönemi
BLG 202E,Numerical Methods in CE,Şerif Bahtiyar,Salı,0830/1129,EEB,102,102,BLG BLGE,21621,2019 - 2020 Bahar Dönemi
BLG 212,Mikroişlemci Sistemleri,Tamer Ölmez,Salı,1230/1529,EEB,38,55,EHB ELE KOM TEL,21303,2019 - 2020 Bahar Dönemi
BLG 212E,Microprocessor Systems,Tankut Akgül,Salı,1230/1529,EEB,64,55,EHB EHBE ELE KOM KOME TEL,21304,2019 - 2020 Bahar Dönemi
BLG 222E,Computer Organization,Gökhan İnce,Perşembe,0830/1129,EEB,95,95,BLG BLGE,21623,2019 - 2020 Bahar Dönemi
BLG 222E,Computer Organization,Mustafa Ersel Kamaşak,Perşembe,0830/1129,EEB,62,95,BLG BLGE,21624,2019 - 2020 Bahar Dönemi
BLG 231,Sayısal Devreler,Ali Saffet Altay,Perşembe,0830/1129,EEB,54,55,ELK MKN,21146,2019 - 2020 Bahar Dönemi
