Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CAB 1014,Viyola II,--,Pazartesi,1030/1229,TMB,0,0,MTR MUT MUZ,22652,2019 - 2020 Bahar Dönemi
CAB 104,Zurna II,--,----,/,TMB,0,0,CAB,22576,2019 - 2020 Bahar Dönemi
CAB 108,Bağlama II,--,----,/,TMB,0,0,CAB,22577,2019 - 2020 Bahar Dönemi
CAB 110,Ud II,Sarper Eroğlu,----,/,TMB,1,5,CAB,22582,2019 - 2020 Bahar Dönemi
CAB 1102,Keman II,İbragım Orazov,Pazartesi,1030/1229,TMB,3,5,MTR MUT MUZ,22643,2019 - 2020 Bahar Dönemi
CAB 1102,Keman II,Ahmet Hakan Şensoy,Pazartesi,1030/1229,TMB,5,5,MTR MUT MUZ,25284,2019 - 2020 Bahar Dönemi
CAB 1116,Piyano II,Mehru Ensari,Pazartesi,1330/1529,TMB,1,5,CAB,22445,2019 - 2020 Bahar Dönemi
CAB 116,Mey II,--,----,/,TMB,0,0,CAB,22575,2019 - 2020 Bahar Dönemi
CAB 118,Kaval II,Cihan Yurtcu,----,/,TMB,2,5,CAB,22579,2019 - 2020 Bahar Dönemi
CAB 120,Klarnet II,Özlem Kolat Çakmaksoy,----,/,TMB,1,5,CAB,25239,2019 - 2020 Bahar Dönemi
CAB 124,Flüt II,Jülide Gündüz,----,/,TMB,1,5,CAB CGM5,22585,2019 - 2020 Bahar Dönemi
CAB 126,Kudüm II,--,----,/,TMB,0,0,CAB,22571,2019 - 2020 Bahar Dönemi
CAB 128,3 Telli Kemençe II,--,----,/,TMB,0,0,CAB,22583,2019 - 2020 Bahar Dönemi
CAB 130,4 Telli Kemençe II,--,----,/,TMB,0,0,CAB,22584,2019 - 2020 Bahar Dönemi
CAB 132,Keman II,Ali Cihat Aşkın,----,/,TMB,1,5,CAB,22578,2019 - 2020 Bahar Dönemi
CAB 134,Viyolonsel II,--,----,/,TMB,0,0,CAB,22586,2019 - 2020 Bahar Dönemi
CAB 136,Viyola II,Zeynep Barut,----,/,TMB,1,5,CAB,22580,2019 - 2020 Bahar Dönemi
CAB 140,Kemane II,--,----,/,TMB,0,0,CAB,22581,2019 - 2020 Bahar Dönemi
CAB 142,Piyano II,--,----,/,TMB,0,0,CAB,22573,2019 - 2020 Bahar Dönemi
CAB 142,Piyano II,Alper Rumelioğlu,----,/,TMB,1,5,CAB,25027,2019 - 2020 Bahar Dönemi
CAB 143,Yrd.Çalgı Piyano I,Devlet Devrim Öztaş,Çarşamba,0830/1029,TMB,4,15,CAB KMP,22438,2019 - 2020 Bahar Dönemi
CAB 144,Yrd.Çalgı Piyano II,Devlet Devrim Öztaş,Pazartesi,1030/1229,TMB,8,15,CAB KMP,22420,2019 - 2020 Bahar Dönemi
CAB 146,Kanun II,--,----,/,TMB,0,0,CAB,22572,2019 - 2020 Bahar Dönemi
CAB 148,Tanbur II,--,----,/,TMB,0,0,CAB,22574,2019 - 2020 Bahar Dönemi
CAB 152,Kanun II,Serkan Mesut Halili,Pazartesi,1030/1229,TMB,3,5,CGM3 CGM6 CGM7 CGM8 MTR MUT MUZ SES,22636,2019 - 2020 Bahar Dönemi
CAB 152,Kanun II,Safinaz Rizeli,Pazartesi,1030/1229,TMB,4,5,CGM3 CGM6 CGM7 CGM8 MTR MUT MUZ SES,22637,2019 - 2020 Bahar Dönemi
CAB 154,Tanbur II,Göknil Bişak Özdemir,Pazartesi,1030/1229,TMB,1,5,CGM6 CGM7 CGM8 MTR MUT MUZ SES,22635,2019 - 2020 Bahar Dönemi
CAB 158,Bağlama II,Şendoğan Karadeli,Pazartesi,1030/1229,TMB,5,5,CGM1 CGM6 CGM7 CGM8 MTR MUT MUZ SES THO,22638,2019 - 2020 Bahar Dönemi
CAB 158,Bağlama II,Erdoğan Eskimez,Pazartesi,1030/1229,TMB,5,5,CGM1 CGM6 CGM7 CGM8 MTR MUT MUZ SES THO,22642,2019 - 2020 Bahar Dönemi
CAB 158,Bağlama II,Metin Eke,Pazartesi,1030/1229,TMB,2,5,CGM1 CGM6 CGM7 CGM8 MTR MUT MUZ SES THO,22639,2019 - 2020 Bahar Dönemi
CAB 158,Bağlama II,Engin Şafak Gürler,Pazartesi,1030/1229,TMB,5,5,CGM1 CGM6 CGM7 CGM8 MTR MUT MUZ SES THO,22640,2019 - 2020 Bahar Dönemi
CAB 158,Bağlama II,Asim Kırca,Pazartesi,1030/1229,TMB,2,5,CGM1 CGM6 CGM7 CGM8 MTR MUT MUZ SES THO,22641,2019 - 2020 Bahar Dönemi
CAB 160,Ud II,Mehmet Bitmez,Pazartesi,1030/1229,TMB,5,5,CGM4 CGM6 CGM7 CGM8 MTR MUT MUZ SES,22645,2019 - 2020 Bahar Dönemi
CAB 160,Ud II,Osman Kırklıkçı,Pazartesi,1030/1229,TMB,5,5,CGM4 CGM6 CGM7 CGM8 MTR MUT MUZ SES,22646,2019 - 2020 Bahar Dönemi
CAB 160,Ud II,Sarper Eroğlu,Pazartesi,1030/1229,TMB,3,5,CGM4 CGM6 CGM7 CGM8 MTR MUT MUZ SES,22647,2019 - 2020 Bahar Dönemi
CAB 162,Ney II,Ali Tüfekçi,Pazartesi,1030/1229,TMB,2,5,CGM6 CGM7 CGM8 MTR MUZ,22653,2019 - 2020 Bahar Dönemi
CAB 164,Mey II,Cem Ekmen,Cuma,1330/1529,TMB,1,5,CGM6 CGM7 CGM8 MTR MUZ THO,22634,2019 - 2020 Bahar Dönemi
CAB 166,Kaval II,--,Pazartesi,1030/1229,TMB,0,0,CGM6 CGM7 CGM8 MTR MUZ THO,22644,2019 - 2020 Bahar Dönemi
CAB 166,Kaval II,Haydar Tanrıverdi,Çarşamba,0830/1029,TMB,1,5,CGM6 CGM7 CGM8 MTR MUZ THO,25140,2019 - 2020 Bahar Dönemi
CAB 168,Klarnet II,Sezgin Unan,Pazartesi,1030/1229,TMB,4,5,MTR MUZ THO,22654,2019 - 2020 Bahar Dönemi
CAB 170,3 Telli Kemençe II,Neva Özgen Kösoğlu,Pazartesi,1030/1229,TMB,1,5,CGM6 CGM7 CGM8 MTR MUT MUZ,22650,2019 - 2020 Bahar Dönemi
CAB 170,3 Telli Kemençe II,Hatice Doğan Sevinç,Pazartesi,1030/1229,TMB,4,5,CGM6 CGM7 CGM8 MTR MUT MUZ,22649,2019 - 2020 Bahar Dönemi
CAB 172,4 Telli Kemençe II,--,Pazartesi,1030/1229,TMB,0,0,CGM6 CGM7 CGM8 MTR MUT MUZ,22655,2019 - 2020 Bahar Dönemi
CAB 174,Karadeniz Kemençesi II,Aydın Balcı,Pazartesi,1030/1229,TMB,1,5,MUZ THO,22657,2019 - 2020 Bahar Dönemi
CAB 176,Kemane II,Ferhan Yeprem,Pazartesi,1030/1229,TMB,1,5,CGM6 CGM7 CGM8 MTR MUT MUZ THO,22651,2019 - 2020 Bahar Dönemi
CAB 178,Piyano II,Mehru Ensari,Salı,0830/1029,TMB,17,17,MTR MUT MUZ SES,22567,2019 - 2020 Bahar Dönemi
CAB 178,Piyano II,Sıtkı Kandemir Basmacıoğlu,Salı,0830/1029,TMB,16,17,MTR MUT MUZ SES,22416,2019 - 2020 Bahar Dönemi
