Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EHB 206,İşaret İşleme ve Lineer Sist.,Işın Erer,Perşembe,1230/1529,EEB,79,80,EHB ELE ELH TEL,20875,2019 - 2020 Bahar Dönemi
EHB 206E,Signal Processing&Linear Syst.,Davut Kavranoğlu,Perşembe,1230/1529,EEB,80,80,EHB EHBE ELE ELH TEL,20881,2019 - 2020 Bahar Dönemi
EHB 206E,Signal Processing&Linear Syst.,Ender Mete Ekşioğlu,Perşembe,1230/1529,EEB,80,80,EHB EHBE ELE ELH TEL,20879,2019 - 2020 Bahar Dönemi
EHB 208,Veri Yapıları ve Programlama,Ali Bahadır,Cuma,1400/1659,EEB,70,70,EHB TEL,20883,2019 - 2020 Bahar Dönemi
EHB 208,Veri Yapıları ve Programlama,İbrahim Çatalkaya,Cuma,1400/1659,EEB,62,70,EHB TEL,20882,2019 - 2020 Bahar Dönemi
EHB 208E,Data Structures & Programming,Yaşar Erenler,Cuma,1400/1659,EEB,67,70,EHB EHBE TEL,20885,2019 - 2020 Bahar Dönemi
EHB 208E,Data Structures & Programming,Bora Döken,Cuma,1400/1659,EEB,70,70,EHB EHBE TEL,20884,2019 - 2020 Bahar Dönemi
EHB 211,Elektrik Devre Temelleri,Yüksel Çakır,Çarşamba,1230/1529,EEB,89,80,BLG EHB ELE ELK KOM TEL,20887,2019 - 2020 Bahar Dönemi
EHB 211,Elektrik Devre Temelleri,Neslihan Serap Şengör,Çarşamba,1230/1529,EEB,123,80,BLG EHB ELE ELK KOM TEL,20886,2019 - 2020 Bahar Dönemi
EHB 211E,Basics of Electrical Circuits,Metin Hüner,Çarşamba,1230/1529,EEB,84,80,BLGE EHBE ELK ELKE KOM KOME TEL,20888,2019 - 2020 Bahar Dönemi
EHB 212,Elektromagnetik Alanlara Giriş,Murat Tayfun Günel,Çarşamba,0830/1129,EEB,67,68,EHB ELE ELH ELK KOM TEL,20890,2019 - 2020 Bahar Dönemi
EHB 212,Elektromagnetik Alanlara Giriş,Funda Akleman Yapar,Çarşamba,0830/1129,EEB,68,68,EHB ELE ELH ELK KOM TEL,20892,2019 - 2020 Bahar Dönemi
EHB 212,Elektromagnetik Alanlara Giriş,Selçuk Paker,Çarşamba,0830/1129,EEB,69,68,EHB ELE ELH ELK KOM TEL,20891,2019 - 2020 Bahar Dönemi
EHB 212,Elektromagnetik Alanlara Giriş,Ali Yapar,Çarşamba,0830/1129,EEB,69,68,EHB ELE ELH ELK KOM TEL,20889,2019 - 2020 Bahar Dönemi
EHB 212E,Intr.to Electromagnetic Fields,Tuba Yılmaz Abdolsaheb,Çarşamba,0830/1129,EEB,55,68,EHB EHBE ELE ELH ELK ELKE KOM KOME TEL,20895,2019 - 2020 Bahar Dönemi
EHB 212E,Intr.to Electromagnetic Fields,Özgür Özdemir,Çarşamba,0830/1129,EEB,68,68,EHB EHBE ELE ELH ELK ELKE KOM KOME TEL,20893,2019 - 2020 Bahar Dönemi
EHB 212E,Intr.to Electromagnetic Fields,İbrahim Akduman,Çarşamba,0830/1129,EEB,70,68,EHB EHBE ELE ELH ELK ELKE KOM KOME TEL,20894,2019 - 2020 Bahar Dönemi
EHB 221,Elektrik Devre Temelleri Lab.,İbrahim Çatalkaya,Çarşamba,1230/1429,EEB,48,55,EHB ELE TEL,20898,2019 - 2020 Bahar Dönemi
EHB 221,Elektrik Devre Temelleri Lab.,İbrahim Çatalkaya,Salı,1230/1429,EEB,17,55,EHB ELE TEL,20896,2019 - 2020 Bahar Dönemi
EHB 221E,Basics of Elec. Circuits Lab.,Bora Döken,Perşembe,0830/1029,EEB,56,55,EHB EHBE ELE TEL,20899,2019 - 2020 Bahar Dönemi
EHB 221E,Basics of Elec. Circuits Lab.,Bora Döken,Salı,0830/1029,EEB,16,55,EHB EHBE ELE TEL,20900,2019 - 2020 Bahar Dönemi
EHB 221E,Basics of Elec. Circuits Lab.,Hasan Bülent Yağcı,Çarşamba,1030/1229,EEB,10,55,EHB EHBE ELE TEL,20902,2019 - 2020 Bahar Dönemi
EHB 222,Elektroniğe Giriş,İbrahim Çatalkaya,Pazartesi,0830/1129,EEB,65,55,BLG BLGE ELH ELK KOM MKN TEL,20907,2019 - 2020 Bahar Dönemi
EHB 222E,Introduction to Electronics,Fatma İnci Çilesiz,Pazartesi,0830/1129,EEB,57,64,BLG BLGE ELH ELK ELKE KOM KOME MKN TEL,20909,2019 - 2020 Bahar Dönemi
EHB 222E,Introduction to Electronics,Hacer Atar Yıldız,Pazartesi,0830/1129,EEB,64,64,BLG BLGE ELH ELK ELKE KOM KOME MKN TEL,20910,2019 - 2020 Bahar Dönemi
EHB 222E,Introduction to Electronics,Bora Döken,Pazartesi,0830/1129,EEB,58,55,BLG BLGE ELE ELH ELK ELKE KOM KOME MKN TEL,25154,2019 - 2020 Bahar Dönemi
EHB 231,Elektronik I,Metin Yazgı,Pazartesi,0830/1129,EEB,64,60,EHB ELE,25298,2019 - 2020 Bahar Dönemi
EHB 231E,Electronics I,--,Pazartesi,0830/1129,EEB,0,0,EHB EHBE ELE,25285,2019 - 2020 Bahar Dönemi
EHB 231E,Electronics I,Hasan Bülent Yağcı,Pazartesi,0830/1129,EEB,69,65,EHB EHBE ELE,20912,2019 - 2020 Bahar Dönemi
EHB 232,Devre ve Sistem Analizi,Neslihan Serap Şengör,Pazartesi,1230/1529,EEB,52,55,EHB ELE ELH ELK TEL,20913,2019 - 2020 Bahar Dönemi
EHB 232,Devre ve Sistem Analizi,Mürvet Kırcı,Pazartesi,1230/1529,EEB,53,55,EHB ELE ELH ELK TEL,20915,2019 - 2020 Bahar Dönemi
EHB 232E,Circuit and System Analysis,Sıddıka Berna Örs Yalçın,Pazartesi,1230/1529,EEB,57,55,EHB EHBE ELE ELH ELK ELKE TEL,20919,2019 - 2020 Bahar Dönemi
EHB 232E,Circuit and System Analysis,Onur Ferhanoğlu,Pazartesi,1230/1529,EEB,27,55,EHB EHBE ELE ELH ELK ELKE TEL,20922,2019 - 2020 Bahar Dönemi
EHB 232E,Circuit and System Analysis,Müştak Erhan Yalçın,Pazartesi,1230/1529,EEB,55,55,EHB EHBE ELE ELH ELK ELKE TEL,20920,2019 - 2020 Bahar Dönemi
EHB 252,İşaretler ve Sistemler,Bilge Günsel Kalyoncu,Perşembe,1230/1529,EEB,70,70,KOM MKN,20924,2019 - 2020 Bahar Dönemi
EHB 252E,Signals and Systems,Emine Ayaz,Perşembe,1230/1529,EEB,82,80,ELK ELKE,20927,2019 - 2020 Bahar Dönemi
EHB 252E,Signals and Systems,Selçuk Paker,Perşembe,1230/1529,EEB,75,70,KOM KOME MKN,20931,2019 - 2020 Bahar Dönemi
EHB 252E,Signals and Systems,Veysel Murat İstemihan Genç,Perşembe,1230/1529,EEB,82,80,ELK ELKE,20926,2019 - 2020 Bahar Dönemi
EHB 262,Elektronik II,Zümray Ölmez,Salı,0830/1129,EEB,55,55,EHB ELE,20934,2019 - 2020 Bahar Dönemi
EHB 262E,Electronics II,--,Salı,0830/1129,EEB,0,0,EHB EHBE ELE,20939,2019 - 2020 Bahar Dönemi
EHB 262E,Electronics II,Nil Banu Tarım,Salı,0830/1129,EEB,57,70,EHB EHBE ELE,20936,2019 - 2020 Bahar Dönemi
EHB 262E,Electronics II,Mustafa Berke Yelten,Salı,0830/1129,EEB,55,55,EHB EHBE ELE,20938,2019 - 2020 Bahar Dönemi
EHB 311E,Intr.to Electronics Laboratory,Bora Döken,Cuma,0830/1029,EEB,34,40,BLG BLGE EHB EHBE KOM KOME,20943,2019 - 2020 Bahar Dönemi
EHB 311E,Intr.to Electronics Laboratory,İbrahim Çatalkaya,Çarşamba,0830/1029,EEB,41,40,BLG BLGE EHB EHBE KOM KOME,25155,2019 - 2020 Bahar Dönemi
EHB 312,Analog Elektronik Devr.Lab.,--,Perşembe,1230/1429,EEB,0,0,EHB ELE,20945,2019 - 2020 Bahar Dönemi
EHB 312,Analog Elektronik Devr.Lab.,--,Cuma,1400/1559,EEB,0,0,EHB ELE,20948,2019 - 2020 Bahar Dönemi
EHB 312E,Analog Elec. Circuits Lab.,Hasan Bülent Yağcı,Salı,0930/1129,EEB,3,20,EHB EHBE ELE,25320,2019 - 2020 Bahar Dönemi
EHB 312E,Analog Elec. Circuits Lab.,Hasan Bülent Yağcı,Cuma,1400/1559,EEB,11,20,EHB EHBE ELE,20951,2019 - 2020 Bahar Dönemi
EHB 312E,Analog Elec. Circuits Lab.,Hasan Bülent Yağcı,Çarşamba,1230/1429,EEB,2,20,EHB EHBE ELE,20950,2019 - 2020 Bahar Dönemi
EHB 322,Sayısal Elektronik Devreleri,Metin Yazgı,Pazartesi,1230/1529,EEB,79,80,BLG EHB ELE ELH,20989,2019 - 2020 Bahar Dönemi
EHB 322E,Digital Electronic Circuits,Mustafa Altun,Pazartesi,1230/1529,EEB,91,80,BLG BLGE EHB EHBE ELE ELH,20991,2019 - 2020 Bahar Dönemi
EHB 322E,Digital Electronic Circuits,Mustafa Altun,Perşembe,0830/1129,EEB,81,80,BLG BLGE EHB EHBE ELE ELH,25160,2019 - 2020 Bahar Dönemi
EHB 322E,Digital Electronic Circuits,Tufan Coşkun Karalar,Perşembe,0830/1129,EEB,41,50,BLG BLGE EHB EHBE ELE ELH,25277,2019 - 2020 Bahar Dönemi
EHB 322E,Digital Electronic Circuits,Nil Banu Tarım,Pazartesi,1230/1529,EEB,76,80,BLG BLGE EHB EHBE ELE ELH,20993,2019 - 2020 Bahar Dönemi
EHB 322E,Digital Electronic Circuits,Tufan Coşkun Karalar,Pazartesi,1230/1529,EEB,88,80,BLG BLGE EHB EHBE ELE ELH,20990,2019 - 2020 Bahar Dönemi
EHB 324,Lojik Tasarım Lab.,Ali Bahadır,Perşembe,0930/1129,EEB,37,38,EHB TEL,21006,2019 - 2020 Bahar Dönemi
EHB 324E,Logic Design Lab.,Ali Bahadır,Salı,0930/1129,EEB,14,30,EHB EHBE TEL,25321,2019 - 2020 Bahar Dönemi
EHB 324E,Logic Design Lab.,Ali Bahadır,Perşembe,1230/1429,EEB,29,38,EHB EHBE TEL,25156,2019 - 2020 Bahar Dönemi
EHB 324E,Logic Design Lab.,Ali Bahadır,Cuma,0930/1129,EEB,29,38,EHB EHBE TEL,25157,2019 - 2020 Bahar Dönemi
EHB 324E,Logic Design Lab.,Sıddıka Berna Örs Yalçın,Çarşamba,0830/1029,EEB,35,38,EHB EHBE TEL,21009,2019 - 2020 Bahar Dönemi
EHB 324E,Logic Design Lab.,Ece Olcay Güneş,Cuma,1400/1559,EEB,30,38,EHB EHBE TEL,21010,2019 - 2020 Bahar Dönemi
EHB 332,Devre Sentezi,Ece Olcay Güneş,Pazartesi,0830/1129,EEB,40,45,EHB ELE ELH,20994,2019 - 2020 Bahar Dönemi
EHB 332E,Network Synthesis,İsmail Serdar Özoğuz,Pazartesi,0830/1129,EEB,20,45,EHB EHBE ELE ELH,20995,2019 - 2020 Bahar Dönemi
EHB 334E,Random Signals and Noise,Mustafa Ergen,Cuma,1400/1659,EEB,54,50,EHB EHBE TEL,20996,2019 - 2020 Bahar Dönemi
EHB 352,Sayısal Haberleşme,İbrahim Altunbaş,Perşembe,1230/1529,EEB,67,67,EHB TEL,20997,2019 - 2020 Bahar Dönemi
EHB 352E,Digital Communications,Mehmet Ertuğrul Çelebi,Perşembe,1230/1529,EEB,52,67,EHB EHBE ELH TEL,20999,2019 - 2020 Bahar Dönemi
EHB 352E,Digital Communications,Hakan Ali Çırpan,Perşembe,1230/1529,EEB,67,67,EHB EHBE ELH TEL,20998,2019 - 2020 Bahar Dönemi
EHB 362,Mikrodalga Mühendisliği,Mesut Kartal,Çarşamba,1230/1529,EEB,59,58,EHB ELE ELH TEL,21001,2019 - 2020 Bahar Dönemi
EHB 362,Mikrodalga Mühendisliği,Sedef Kent Pınar,Çarşamba,1230/1529,EEB,58,58,EHB ELE ELH TEL,21000,2019 - 2020 Bahar Dönemi
EHB 362E,Microwave Engineering,Serkan Şimşek,Çarşamba,1230/1529,EEB,49,58,EHB EHBE ELE ELH TEL,21002,2019 - 2020 Bahar Dönemi
EHB 362E,Microwave Engineering,Mehmet Çayören,Çarşamba,1230/1529,EEB,58,58,EHB EHBE ELE ELH TEL,21003,2019 - 2020 Bahar Dönemi
EHB 405E,Analog Integrated Circuits,Metin Yazgı,Salı,1230/1529,EEB,21,40,EHB EHBE ELE ELH,21004,2019 - 2020 Bahar Dönemi
EHB 408E,Wireless Com.Networks,İbraheem Shayea,Pazartesi,0830/1129,EEB,30,45,EHB EHBE TEL,21005,2019 - 2020 Bahar Dönemi
EHB 420E,Artificial Neural Networks,İsa Yıldırım,Cuma,1400/1659,EEB,84,60,EHB EHBE ELE,21011,2019 - 2020 Bahar Dönemi
