Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
JEF 208E,Comp. Appl. in Geophy.,"Seda Yolsal Çevikbilen, Doğa Doğan, Neslihan Ocakoğlu Gökaşan",Salı,0830/1129,MDB,37,60,JEF,21760,2019 - 2020 Bahar Dönemi
JEF 212E,Data Processing,Hüseyin Argun Kocaoğlu,Pazartesi Cuma,1030/1229 1430/1629,MDB MDB,28,60,JEF JEFE JEFM,21754,2019 - 2020 Bahar Dönemi
JEF 222,Arama Jeofiziğinin Temelleri,Caner İmren,Salı,1330/1729,MDB,48,60,JEF JEFM,21758,2019 - 2020 Bahar Dönemi
JEF 222E,Fundamentals of Exp.Geophysics,Gonca Örgülü,Salı,1330/1729,MDB,30,65,JEFE PETE,21759,2019 - 2020 Bahar Dönemi
JEF 232,Mineraloji ve Petrografi,Şenel Özdamar,Perşembe,0830/1229,MDB,55,63,CHZ JEF,21756,2019 - 2020 Bahar Dönemi
JEF 232E,Mineralogy and Petrography,Mehmet Keskin,Perşembe,0830/1229,MDB,4,20,CHZE JEFE,21927,2019 - 2020 Bahar Dönemi
JEF 310E,Geodynamics,Tuna Eken,Cuma,1430/1729,MDB,3,15,JEF JEFE JEFM,21905,2019 - 2020 Bahar Dönemi
JEF 312E,Drilling Technology,Gürşat Altun,Salı,0830/1129,MDB,22,50,JEF JEFE,21807,2019 - 2020 Bahar Dönemi
JEF 318,Kuyu Jeofiziği,"Mustafa Emin Demirbağ, Caner İmren, Hülya Kurt",Cuma,1430/1729,MDB,13,15,JEF JEFM,21901,2019 - 2020 Bahar Dönemi
JEF 322,Jeomanyetizma,Turgay İşseven,Cuma,0830/1129,MDB,50,55,JEF JEFM,21820,2019 - 2020 Bahar Dönemi
JEF 331E,Electromagnetic Prospecting,Tuna Eken,Çarşamba,0830/1229,MDB,25,40,JEF JEFE,21822,2019 - 2020 Bahar Dönemi
JEF 334E,Seismic Prospecting,Hülya Kurt,Pazartesi,1330/1729,MDB,29,40,JEF JEFE JEFM,21821,2019 - 2020 Bahar Dönemi
JEF 346,Jeofizikte Ölçmeler,Caner İmren,Pazartesi Perşembe,0830/1029 1530/1729,MDB MDB,43,45,JEF JEFM,21826,2019 - 2020 Bahar Dönemi
JEF 346E,Geophysical Measurements,Tuna Eken,Salı,1230/1629,MDB,1,5,JEFE,24558,2019 - 2020 Bahar Dönemi
JEF 417E,Seismotectonics,Tuncay Taymaz,Pazartesi,1030/1229,MDB,37,40,JEF JEFE JEFM,21860,2019 - 2020 Bahar Dönemi
JEF 428E,Readings in Geophysics,Tuncay Taymaz,Pazartesi,1330/1629,MDB,7,15,JEF JEFE JEFM,21907,2019 - 2020 Bahar Dönemi
JEF 430E,Marine Geophysics,Mustafa Emin Demirbağ,Çarşamba,0830/1129,MDB,16,16,JEF JEFE JEFM,21909,2019 - 2020 Bahar Dönemi
JEF 432E,Groundwater Exploration,Doğa Doğan,Cuma,0830/1129,MDB,17,17,JEF JEFE JEFM,21911,2019 - 2020 Bahar Dönemi
JEF 436E,Hydrocarbon Geophysics,Neslihan Ocakoğlu Gökaşan,Perşembe,1430/1729,MDB,14,15,JEF JEFE JEFM PET PETE,21912,2019 - 2020 Bahar Dönemi
JEF 438,Sismik Yorumlama,--,Salı,1330/1629,MDB,0,0,JEF JEFM,21914,2019 - 2020 Bahar Dönemi
JEF 440,Paleomanyetizma,Turgay İşseven,Salı,0830/1129,MDB,6,15,JEF JEFM,21915,2019 - 2020 Bahar Dönemi
JEF 452E,Engineering Seismology,Hüseyin Argun Kocaoğlu,Perşembe,1030/1229,MDB,30,50,JEF JEFE,21810,2019 - 2020 Bahar Dönemi
JEF 492,Bitirme Çalışması,Mustafa Emin Demirbağ,----,/,MDB,21,30,JEF,21859,2019 - 2020 Bahar Dönemi
JEF 492E,Graduation Project,Mustafa Emin Demirbağ,----,/,MDB,3,5,JEF JEFE,21903,2019 - 2020 Bahar Dönemi
