Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAL 201,Malzeme Bilimi,Ayda Şafak Ağar Özbek,Cuma,1430/1729,INB,65,65,CEV IML,23446,2019 - 2020 Bahar Dönemi
MAL 201,Malzeme Bilimi,Cengiz Tahir Bodur,Pazartesi Cuma,1530/1729 1430/1529,MKB MKB,21,80,IML MAK,23257,2019 - 2020 Bahar Dönemi
MAL 201,Malzeme Bilimi,Hüseyin Kızıl,Perşembe,1230/1529,KMB,75,75,EHB ELE ELH ELK KOM TEL,21134,2019 - 2020 Bahar Dönemi
MAL 201,Malzeme Bilimi,Derya Dışpınar,Salı,0830/1129,EEB,111,75,EHB ELE ELH ELK KOM TEL,21132,2019 - 2020 Bahar Dönemi
MAL 201,Malzeme Bilimi,Mohammadreza Nofar,Pazartesi,0830/1129,EEB,84,75,EHB ELE ELH ELK KOM TEL,21133,2019 - 2020 Bahar Dönemi
MAL 201,Malzeme Bilimi,Ömer Serdar Özgen,Pazartesi,1330/1629,KMB,19,40,GID KMM,22379,2019 - 2020 Bahar Dönemi
MAL 201E,Materials Science,Bekir Yılmaz Pekmezci,Cuma,1430/1729,INB,69,70,CEV CEVE KMM KMME,23447,2019 - 2020 Bahar Dönemi
MAL 201E,Materials Science,Hakan Nuri Atahan,Cuma,0830/1129,EEB,87,75,EHB EHBE ELH ELK ELKE KOME,21135,2019 - 2020 Bahar Dönemi
MAL 201E,Materials Science,Hakan Nuri Atahan,Çarşamba,0830/1129,EEB,89,75,EHB EHBE ELH ELK ELKE KOME,21136,2019 - 2020 Bahar Dönemi
MAL 201E,Materials Science,Mehmet Şeref Sönmez,Salı,0830/1129,KMB,120,120,ISL ISLE,23239,2019 - 2020 Bahar Dönemi
MAL 201E,Materials Science,Duygu Ağaoğulları,Çarşamba,1230/1529,MDB,50,50,MAD PET PETE UZBE,21895,2019 - 2020 Bahar Dönemi
MAL 201E,Materials Science,İpek Akın Karadayı,Çarşamba,0830/1129,KMB,92,120,ISL ISLE,23240,2019 - 2020 Bahar Dönemi
