Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MRT 312,OnBoardTrain.(ShpOprt.&Mn.III),--,----,/,---,0,0,SDU,23412,2019 - 2020 Bahar Dönemi
MRT 314,Sea Project,--,----,/,---,0,0,SDU,23413,2019 - 2020 Bahar Dönemi
MRT 402,Marine Insurance,Hakan Muran,Salı,0830/1129,DZB,2,20,SDU SGM,23414,2019 - 2020 Bahar Dönemi
MRT 406,Chartering,Emre Akyüz,Perşembe,0830/1029,DZB,2,20,SDU SGM,23415,2019 - 2020 Bahar Dönemi
MRT 408,License Seminar,Muhsin Kadıoğlu,Pazartesi,1330/1729,DZB,2,20,SDU,23416,2019 - 2020 Bahar Dönemi
MRT 410,Port and Terminal Operations,Tanzer Satır,Perşembe,1430/1729,DZB,2,20,SDU SGM,23417,2019 - 2020 Bahar Dönemi
MRT 412,Management Seminar,Levent Kırval,Salı,1130/1429,DZB,2,20,SDU,23418,2019 - 2020 Bahar Dönemi
MRT 414,Physical Education II,Yusuf Nejat Koçar,Cuma,1030/1229,DZB,2,20,SDU,23420,2019 - 2020 Bahar Dönemi
MRT 422,Bridge Resource Management,"Özcan Arslan, Emre Akyüz",Pazartesi,0830/1329,DZB,2,20,SDU,23448,2019 - 2020 Bahar Dönemi
MRT 492,Graduation Project,Tanzer Satır,Cuma,/,---,1,20,SDU,23450,2019 - 2020 Bahar Dönemi
MRT 492,Graduation Project,Tanzer Satır,----,/,---,1,20,SDU,23449,2019 - 2020 Bahar Dönemi
