Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
PEM 120E,Natural Systems &Design,Meltem Erdem Kaya,Salı,1130/1329,MMB,72,70,PEM PEME,22065,2019 - 2020 Bahar Dönemi
PEM 126E,Hist.Theo.&Crtc.in Lndsc.Arc.I,Ebru Erbaş Gürler,Çarşamba,0830/1129,MMB,71,71,PEM PEME PEMM,22063,2019 - 2020 Bahar Dönemi
PEM 134E,Plant Material I,Meliz Akyol,Salı,1330/1729,MMB,81,75,PEM PEME PEMM,22064,2019 - 2020 Bahar Dönemi
PEM 206E,Urban Design,Melih Bozkurt,Cuma,0830/1229,MMB,50,55,PEM PEME,22072,2019 - 2020 Bahar Dönemi
PEM 207E,Statistics,Melih Bozkurt,Salı,0830/1129,MMB,45,50,PEM PEME,22071,2019 - 2020 Bahar Dönemi
PEM 212E,Landscape Design I,Meliz Akyol,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,16,16,PEM PEME,22067,2019 - 2020 Bahar Dönemi
PEM 212E,Landscape Design I,Fatma Ayçim Türer Başkaya,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,15,16,PEM PEME,22066,2019 - 2020 Bahar Dönemi
PEM 254E,Landscape Construction II,Mert Ekşi,Çarşamba,0830/1229,MMB,28,40,PEM PEME,22068,2019 - 2020 Bahar Dönemi
PEM 256E,Planting Design Studio,Fatma Ayçim Türer Başkaya,Perşembe,0830/1229,MMB,21,25,PEM PEME PEMM,22070,2019 - 2020 Bahar Dönemi
PEM 256E,Planting Design Studio,Meliz Akyol,Cuma,1330/1729,MMB,32,30,PEM PEME,22069,2019 - 2020 Bahar Dönemi
PEM 311E,Landscape Design II,Fatma Ayçim Türer Başkaya,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,4,4,PEM PEME,22074,2019 - 2020 Bahar Dönemi
PEM 312E,Landscape Design III,Gülşen Aytaç,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,15,15,PEM PEME,22077,2019 - 2020 Bahar Dönemi
PEM 312E,Landscape Design III,Ebru Erbaş Gürler,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,23,23,PEM PEME,22075,2019 - 2020 Bahar Dönemi
PEM 316E,Urban Land. Pln& Design,Gülşen Aytaç,Perşembe,0830/1129,MMB,41,45,PEM PEME PEMM,22079,2019 - 2020 Bahar Dönemi
PEM 324E,Landscape Management,Fatma Ayçim Türer Başkaya,Çarşamba,0830/1029,MMB,23,45,PEM PEME,22081,2019 - 2020 Bahar Dönemi
PEM 344E,Landscape Construction IV,Muhammed Ali Örnek,Salı,1330/1729,MMB,17,25,PEM PEME,22083,2019 - 2020 Bahar Dönemi
PEM 356E,Rural Landscape Plan.&Design,Meltem Erdem Kaya,Pazartesi,0830/1229,MMB,37,45,PEM PEME PEMM,22082,2019 - 2020 Bahar Dönemi
PEM 368E,Dig.Repres.Tech.for Lands.Dsgn,Muhammed Ali Örnek,Cuma,0830/1229,MMB,14,25,PEM PEME,22085,2019 - 2020 Bahar Dönemi
PEM 411E,Landscape Design IV,Gülşen Aytaç,Pazartesi Perşembe,1330/1729 1330/1729,MMB MMB,7,20,PEM PEME,22087,2019 - 2020 Bahar Dönemi
PEM 415E,Environmental Aesthetics,Meliz Akyol,Salı,0930/1229,MMB,31,32,EUT EUTE ICM PEM PEME,24840,2019 - 2020 Bahar Dönemi
PEM 422E,Professional Practice & Ethics,Ebru Erbaş Gürler,Çarşamba,1330/1529,MMB,24,35,PEM PEME,22088,2019 - 2020 Bahar Dönemi
PEM 492E,Graduation Project,"Meltem Erdem Kaya, Fatma Ayçim Türer Başkaya, Muhammed Ali Örnek",----,/,MMB,21,500,PEM PEME,23692,2019 - 2020 Bahar Dönemi
