Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
STA 201,Statik,Demet Balkan,Perşembe,1430/1729,UUB,80,80,DEN EHB ELE ELH GEM JEO MAK TEK TEL UCK UZB,21691,2019 - 2020 Bahar Dönemi
STA 201,Statik,Ceren Bilgin Güney,Perşembe,0930/1229,GDB,73,76,DEN EHB ELE ELH GEM JEO MAK TEK TEL UCK UZB,21726,2019 - 2020 Bahar Dönemi
STA 201,Statik,İsmail Yalçın,Pazartesi,1330/1629,GDB,82,82,DEN EHB ELE ELH GEM JEO MAK TEK TEL UCK UZB,21787,2019 - 2020 Bahar Dönemi
STA 201,Statik,Sevinç Ayşe Zaloğlu,Pazartesi Cuma,1330/1529 1530/1629,MKB MKB,10,10,DEN EHB ELE ELH GEM GEMM JEO MAK MAKM MKN TEK TEL UCK UCKM UZB UZBM,25291,2019 - 2020 Bahar Dönemi
STA 201E,Statics,Cemil Kurtcebe,Perşembe,1430/1729,UUB,84,85,DEN DENE EHB EHBE ELE ELH GEM GEME GEMK JEO JEOE MAD MAK MAKE TEK TEL UCK UCKE UZB UZBE,21694,2019 - 2020 Bahar Dönemi
STA 201E,Statics,Cemil Kurtcebe,Cuma,1430/1729,UUB,81,85,DEN DENE EHB EHBE ELE ELH GEM GEME GEMK JEO JEOE MAD MAK MAKE TEK TEL UCK UCKE UZB UZBE,21693,2019 - 2020 Bahar Dönemi
STA 202,Statik,Abdul Hayır,Perşembe Cuma,1330/1529 1430/1629,INB INB,24,50,FIZ INS UCKM,22908,2019 - 2020 Bahar Dönemi
STA 202,Statik,Şenol Ataoğlu,Perşembe Cuma,0830/1029 0830/1029,INB INB,44,50,FIZ INS UCKM,22910,2019 - 2020 Bahar Dönemi
STA 202,Statik,Abdullah Gedikli,Perşembe Cuma,1330/1529 1430/1629,INB INB,50,50,FIZ INS UCKM,22907,2019 - 2020 Bahar Dönemi
STA 202,Statik,Nihal Eratlı,Perşembe Cuma,0830/1029 0830/1029,INB INB,49,50,FIZ INS UCKM,22909,2019 - 2020 Bahar Dönemi
STA 202E,Statics,Semih Küçükarslan,Perşembe Cuma,0830/1029 0830/1029,INB INB,50,50,FIZ FIZE INS INSE UCKM,22911,2019 - 2020 Bahar Dönemi
STA 204,Statik ve Mukavemet,Bahattin Kimençe,Perşembe,0830/1129,INB,19,50,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,23023,2019 - 2020 Bahar Dönemi
STA 204,Statik ve Mukavemet,Cemil Kurtcebe,Çarşamba,1130/1429,UUB,18,60,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,23033,2019 - 2020 Bahar Dönemi
STA 204,Statik ve Mukavemet,Bahattin Kimençe,Çarşamba,1230/1529,EEB,30,50,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,21141,2019 - 2020 Bahar Dönemi
STA 204,Statik ve Mukavemet,Ali Nuri Doğruoğlu,Salı,1230/1529,EEB,19,50,CEV EHB ELE ELH ELK EUT GID ISL KMM KOM KON MET MTO PET TEL,21140,2019 - 2020 Bahar Dönemi
STA 204E,Statics&Strength of Materials,Murat Yılmaz,Salı,0830/1129,MED,18,50,CEV CEVE EHB EHBE ELE ELH ELK ELKE EUT EUTE GID GIDE ISL ISLE JEF KMM KMME KOM KOME KON KONE MET METE MTO PET PETE TEL,21142,2019 - 2020 Bahar Dönemi
STA 204E,Statics&Strength of Materials,Arcan Yanık,Perşembe,1430/1729,INB,60,60,CEV CEVE EHB EHBE ELE ELH ELK ELKE EUT EUTE GID GIDE ISL ISLE JEF KMM KMME KOM KOME KON KONE MET METE MTO PET PETE TEL,23024,2019 - 2020 Bahar Dönemi
