Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
UZB 104E,Astronaut. Eng.&Des.,"Alim Rüstem Aslan, Nuriye Leman Okşan Çetiner Yıldırım",Cuma,0930/1229,UUB,100,100,UZB UZBE,21673,2019 - 2020 Bahar Dönemi
UZB 112E,Computer Aided Drafting,Hüsnü Barbaros Soyer,Perşembe,0830/1129,UUB,59,60,UCK UCKE UZB UZBE,21674,2019 - 2020 Bahar Dönemi
UZB 218E,Int.to Partial Diff.Eq. in Eng,Mehmet Şahin,Cuma,1430/1729,UUB,49,60,UCK UCKE UCKM UZB UZBE UZBM,21675,2019 - 2020 Bahar Dönemi
UZB 232E,Heat Transfer,Bülent Tutkun,Salı,1130/1429,UUB,16,30,UCK UCKE UZB UZBE,21710,2019 - 2020 Bahar Dönemi
UZB 317,Isı Geçişi,Ahmet Cihat Baytaş,Pazartesi,1130/1429,UUB,41,50,UCK,21713,2019 - 2020 Bahar Dönemi
UZB 317E,Heat Transfer,Bülent Tutkun,Pazartesi,1130/1429,UUB,37,50,UCK UZBE,21714,2019 - 2020 Bahar Dönemi
UZB 318E,Finite Element Method,Vedat Ziya Doğan,Pazartesi,1430/1729,UUB,29,35,UCK UCKE UCKM UZB UZBE UZBM,21676,2019 - 2020 Bahar Dönemi
UZB 352E,Orbital Mechanics,Kemal Bülent Yüceil,Perşembe,1430/1729,UUB,71,70,UZB UZBE UZBM,21677,2019 - 2020 Bahar Dönemi
UZB 362E,Compressible Aerodynamics,Melike Nikbay,Salı Çarşamba,1130/1329 0930/1129,UUB UUB,98,99,UCK UCKE UCKM UZB UZBE UZBM,21680,2019 - 2020 Bahar Dönemi
UZB 362E,Compressible Aerodynamics,Bayram Çelik,Salı Çarşamba,1130/1329 0930/1129,UUB UUB,93,95,UCK UCKE UCKM UZB UZBE UZBM,21679,2019 - 2020 Bahar Dönemi
UZB 386E,Boundary Layer Theory,Ayşe Gül Güngör,Pazartesi,1430/1729,UUB,30,35,UCK UCKE UZB UZBE,23843,2019 - 2020 Bahar Dönemi
UZB 421E,Attitude Determination & Ctrl.,Cengiz Hacızade,Cuma,0830/1129,UUB,70,71,KOM KOME UZB UZBE UZBM,21715,2019 - 2020 Bahar Dönemi
UZB 422E,Spacecraft Systems Design,Alim Rüstem Aslan,Pazartesi Perşembe,0930/1129 0930/1129,UUB UUB,62,70,UZB UZBE UZBM,21682,2019 - 2020 Bahar Dönemi
UZB 425E,Digital Control Design,Ramazan Yeniçeri,Perşembe,1130/1429,UUB,32,35,UCK UCKE UCKM UZB UZBE UZBM,21684,2019 - 2020 Bahar Dönemi
UZB 451E,Spacecraft Communications,Mehmet Başaran,Salı,0830/1129,UUB,73,75,UZB UZBE UZBM,21716,2019 - 2020 Bahar Dönemi
UZB 479E,Air and Space Law,Nazlı Can,Perşembe,1430/1729,UUB,50,50,UCK UCKE UZB UZBE,21686,2019 - 2020 Bahar Dönemi
UZB 492,Bitirme Çalışması,--,----,/,---,0,0,UZB,21722,2019 - 2020 Bahar Dönemi
UZB 492E,Graduation Project,Zahit Mecitoğlu,----,/,---,55,500,UZB UZBE,21723,2019 - 2020 Bahar Dönemi
