Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
CEV 101,Çevre Müh. Giriş ve Etik,"İsmail Toröz, Fatma Gülen İskender",Çarşamba,1330/1529,INB,85,60,CEV,12381,2019 - 2020 Güz Dönemi
CEV 101E,Intr.to Environm. Eng.&Ethics;,"Elif Pehlivanoğlu Mantaş, Gülsüm Emel Zengin Balcı",Çarşamba,1330/1529,INB,88,60,CEVE,12382,2019 - 2020 Güz Dönemi
CEV 201,Çevre Kimyası I,"Nuray Işık Kabdaşlı, İsmail Toröz",Pazartesi,1330/1629,INB,38,35,CEV,12383,2019 - 2020 Güz Dönemi
CEV 201E,Enviromental Chemistry I,"İdil Arslan Alaton, Elif Pehlivanoğlu Mantaş",Salı,0830/1129,INB,67,60,CEV CEVE,12384,2019 - 2020 Güz Dönemi
CEV 201EL,Enviromental Chemistry I Lab.,"İdil Arslan Alaton, Elif Pehlivanoğlu Mantaş",Perşembe,1030/1229,INB,31,25,CEV CEVE,12387,2019 - 2020 Güz Dönemi
CEV 201EL,Enviromental Chemistry I Lab.,"İdil Arslan Alaton, Elif Pehlivanoğlu Mantaş",Çarşamba,0930/1129,INB,18,25,CEV CEVE,15071,2019 - 2020 Güz Dönemi
CEV 201L,Çevre Kimyası I Lab.,"Serdar Doğruel, Onur Yılmaz Özcan",Cuma,1430/1629,INB,23,25,CEV,12386,2019 - 2020 Güz Dönemi
CEV 201L,Çevre Kimyası I Lab.,"Nuray Işık Kabdaşlı, Tuğba Ölmez Hancı",Salı,0930/1129,INB,20,25,CEV,12385,2019 - 2020 Güz Dönemi
CEV 203,Çevre Mikrobiyolojisi,Süleyman Övez,Çarşamba Perşembe,0830/1129 1030/1229,INB INB,28,28,CEV,12390,2019 - 2020 Güz Dönemi
CEV 203,Çevre Mikrobiyolojisi,Gülsüm Emel Zengin Balcı,Salı Çarşamba,1330/1629 0930/1129,INB INB,16,25,CEV,12389,2019 - 2020 Güz Dönemi
