Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
EUT 119E,Int.to Indus.Prod.Ds..,"Elif Küçüksayraç, Deniz Leblebici Başar, Gülname Turan, Koray Gelmez, Layıka Ney Ece Arıburun Kırca, Miray Boğa, Özge Çelikoğlu",Çarşamba,1330/1529,MMB,122,70,EUT EUTE EUTM,12893,2019 - 2020 Güz Dönemi
EUT 204E,Manufacturing Methods,Miray Boğa,Çarşamba,0830/1229,MMB,92,85,EUTE EUTM,12898,2019 - 2020 Güz Dönemi
EUT 220E,Industrial Design Studio I,Şebnem Timur,Salı Cuma,1330/1729 1330/1729,MMB MMB,11,10,EUTE EUTM,12916,2019 - 2020 Güz Dönemi
EUT 233E,Perspective,Gökhan Ülken,Pazartesi,0930/1229,MMB,30,30,EUT EUTE EUTM,12902,2019 - 2020 Güz Dönemi
EUT 239E,Model Making I,Seyman Çay,Salı,1330/1629,MMB,43,41,EUTE EUTM,12914,2019 - 2020 Güz Dönemi
EUT 239E,Model Making I,Seyman Çay,Salı,0930/1229,MMB,44,39,EUTE EUTM,12908,2019 - 2020 Güz Dönemi
EUT 241E,Computer Aided Design,Koray Gelmez,Cuma,0930/1229,MMB,47,44,EUT EUTE,12904,2019 - 2020 Güz Dönemi
EUT 241E,Computer Aided Design,Koray Gelmez,Pazartesi,0930/1229,MMB,49,38,EUT EUTE,12907,2019 - 2020 Güz Dönemi
EUT 271E,Research for Product Design,Özge Çelikoğlu,Perşembe,0930/1229,MMB,73,70,EUT EUTE,12915,2019 - 2020 Güz Dönemi
EUT 319E,Industrial Design Studio II,Deniz Leblebici Başar,Salı Cuma,1330/1729 1330/1729,MMB MMB,23,24,EUTE,12918,2019 - 2020 Güz Dönemi
EUT 319E,Industrial Design Studio II,Elif Küçüksayraç,Salı Cuma,1330/1729 1330/1729,MMB MMB,27,24,EUTE,12917,2019 - 2020 Güz Dönemi
EUT 320E,Industrial Design Studio III,Ekrem Cem Alppay,Salı Cuma,1330/1729 1330/1729,MMB MMB,11,15,EUTE,12919,2019 - 2020 Güz Dönemi
EUT 324E,Semiology&Semantics; in Design,Özge Çelikoğlu,Salı,0930/1229,MMB,34,30,EUT EUTE EUTM ICM,13580,2019 - 2020 Güz Dönemi
EUT 325E,History of Design II,Gülname Turan,Perşembe,0930/1229,MMB,65,61,EUTE,12927,2019 - 2020 Güz Dönemi
EUT 339E,Bsc.Dsgn.Prc.of Lighting Lumn.,Sermin Onaygil,Pazartesi,0930/1229,MMB,18,25,EUT EUTE EUTM PEM PEME,12925,2019 - 2020 Güz Dönemi
EUT 343E,Typography,Koray Gelmez,Salı,0830/1229,MMB,36,30,EUT EUTE EUTM ICM,12923,2019 - 2020 Güz Dönemi
EUT 365E,Fund. of Design Thinking,Miray Boğa,Perşembe,0930/1229,MMB,40,33,EUTE EUTM ICM MIM MIME PEME SBP SBPE,12924,2019 - 2020 Güz Dönemi
EUT 367E,Intr. to Mechanical Design,Elif Küçüksayraç,Pazartesi,0830/1229,MMB,65,62,EUTE,12926,2019 - 2020 Güz Dönemi
EUT 419E,Industrial Design Studio IV,Gülname Turan,Salı Cuma,1330/1729 1330/1729,MMB MMB,19,17,EUTE,12921,2019 - 2020 Güz Dönemi
EUT 419E,Industrial Design Studio IV,Layıka Ney Ece Arıburun Kırca,Salı Cuma,1330/1729 1330/1729,MMB MMB,17,17,EUTE,12920,2019 - 2020 Güz Dönemi
EUT 423E,Cult.and Com.in Product Design,Şebnem Timur,Çarşamba,1330/1529,MMB,67,65,EUT EUTE,12928,2019 - 2020 Güz Dönemi
EUT 441E,New Product Development,Ekrem Cem Alppay,Pazartesi,1330/1529,MMB,51,60,EUT EUTE EUTM,12929,2019 - 2020 Güz Dönemi
EUT 4902E,Graduation Project,Ekrem Cem Alppay,----,/,MMB,37,500,EUTE,12931,2019 - 2020 Güz Dönemi
EUT 492,Bitirme Çalışması,Ekrem Cem Alppay,----,/,MMB,2,500,EUT,12930,2019 - 2020 Güz Dönemi
EUT 492E,Graduation Project,Ekrem Cem Alppay,----,/,MMB,1,500,EUT EUTE,15536,2019 - 2020 Güz Dönemi
