Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
IML 110,İmalat Müh. Giriş ve Etik,Ramazan Murat Tabanlı,Çarşamba,1330/1529,MKB,60,70,IML,12712,2019 - 2020 Güz Dönemi
IML 111,İmalat Mühendisliğine Giriş,Ramazan Murat Tabanlı,Çarşamba,1330/1429,MKB,3,70,IML,12713,2019 - 2020 Güz Dönemi
IML 205,Termodinamik,Yakup Erhan Böke,Çarşamba Cuma,1230/1329 1030/1229,MKB MKB,65,70,IML,12714,2019 - 2020 Güz Dönemi
IML 305,Isı Geçişi,Ersin Sayar,Pazartesi Çarşamba,0930/1029 1030/1229,MKB MKB,28,60,IML,12715,2019 - 2020 Güz Dönemi
IML 311,İmal Usülleri I,Şafak Yılmaz,Salı Perşembe,0830/1029 1030/1229,MKB MKB,60,65,IML,12716,2019 - 2020 Güz Dönemi
IML 320,Makina Elemanları,Ali İmre Aydeniz,Salı Perşembe,1230/1529 1530/1729,MKB MKB,54,60,IML IMLM,12717,2019 - 2020 Güz Dönemi
IML 325E,Measurements & Instrumentation,Bülent Bölat,Salı Cuma,1630/1729 1330/1529,MKB MKB,81,60,IML IMLE MAK MAKE,15519,2019 - 2020 Güz Dönemi
IML 335,İmalat Planlama ve Kontrol,Ramazan Murat Tabanlı,Pazartesi Çarşamba,1030/1229 0930/1029,MKB MKB,3,60,IML IMLM,12718,2019 - 2020 Güz Dönemi
IML 337,İmalat Planlama ve Kontrol,Ramazan Murat Tabanlı,Pazartesi Çarşamba,1030/1229 0930/1029,MKB MKB,59,65,IML,12719,2019 - 2020 Güz Dönemi
IML 401,İmalat Lab I,Canan Gamze Güleryüz Parasız,Pazartesi,1230/1429,MKB,40,65,IML IMLM,12720,2019 - 2020 Güz Dönemi
IML 401E,Manufacturing Lab I,--,Pazartesi,1030/1229,MKB,0,0,IMLE,12721,2019 - 2020 Güz Dönemi
IML 405,Uygulamalı İmalat Projesi,Ersan Üstündağ,Pazartesi Cuma,1430/1529 1030/1229,MKB MKB,33,30,IML,12723,2019 - 2020 Güz Dönemi
IML 405,Uygulamalı İmalat Projesi,--,Pazartesi Cuma,1430/1529 1030/1229,MKB MKB,0,0,IML,12722,2019 - 2020 Güz Dönemi
IML 425E,Comp.Integra.Manufact. (CIM),Erkan Günpınar,Salı Çarşamba,1230/1329 1030/1229,MKB MKB,5,90,IML IMLE IMLM,12724,2019 - 2020 Güz Dönemi
IML 431,Kalite Mühendisliği,Ali Gökşenli,Salı Çarşamba,1330/1529 0830/0929,MKB MKB,7,45,IML,12725,2019 - 2020 Güz Dönemi
IML 451,İmalat Makineleri,Murat Vural,Pazartesi,1530/1829,MKB,4,40,IML,12726,2019 - 2020 Güz Dönemi
IML 492,İmalat Tasarım Projesi,Hacı Abdullah Taşdemir,----,/,MKB,9,500,IML,12727,2019 - 2020 Güz Dönemi
IML 492E,Manufacturing Design Project,İsmail Yalçın Uralcan,----,/,MKB,1,500,IML IMLE,12728,2019 - 2020 Güz Dönemi
