Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
JEO 111,Kristalografi,Recep Fahri Esenli,Perşembe,0830/1129,MDB,77,60,JEO JEOM,12127,2019 - 2020 Güz Dönemi
JEO 112E,General Geology,Nilgün Okay,Cuma,1430/1729,MDB,40,40,JEF JEFE PETE,12215,2019 - 2020 Güz Dönemi
JEO 112E,General Geology,Ziyadin Çakır,Cuma,1430/1729,MDB,11,50,JEF JEFE PETE,12183,2019 - 2020 Güz Dönemi
JEO 112E,General Geology,Gürsel Sunal,Pazartesi,1430/1729,MDB,54,50,JEF JEFE PETE,12182,2019 - 2020 Güz Dönemi
JEO 115,Genel Jeoloji,Cengiz Zabcı,Çarşamba,1230/1529,MDB,50,35,JEO JEOM,12231,2019 - 2020 Güz Dönemi
JEO 115,Genel Jeoloji,Cenk Yaltırak,Çarşamba,0930/1229,MDB,45,35,JEO JEOM,12229,2019 - 2020 Güz Dönemi
JEO 121,Yer Bilimlerinde Tasarım,Enver Vural Yavuz,Cuma,1430/1729,MDB,73,60,JEO,12128,2019 - 2020 Güz Dönemi
JEO 131,Jeoloji Mühendisliğine Giriş,Kürşad Kadir Eriş,Cuma,1130/1229,MDB,77,60,JEO,12129,2019 - 2020 Güz Dönemi
JEO 222,Jeomekanik,Yılmaz Mahmutoğlu,Pazartesi,0830/1229,MDB,54,60,JEF JEO JEOM,12130,2019 - 2020 Güz Dönemi
JEO 222E,Geomechanics,Ziyadin Çakır,Pazartesi,0830/1229,MDB,5,60,JEFE JEO JEOE JEOM,12131,2019 - 2020 Güz Dönemi
JEO 223E,Paleontology,Ercan Özcan,Salı,0830/1129,MDB,55,60,JEO JEOE,12132,2019 - 2020 Güz Dönemi
JEO 242,Optik Mineraloji,Şengül Can Genç,Perşembe,1430/1729,MDB,30,30,JEO JEOM,12236,2019 - 2020 Güz Dönemi
JEO 242,Optik Mineraloji,Zekiye Karacık,Pazartesi,0930/1229,MDB,21,30,JEO JEOM,12234,2019 - 2020 Güz Dönemi
JEO 242E,Optical Mineralogy,Zekiye Karacık,Çarşamba,0930/1229,MDB,7,30,JEO JEOE,12238,2019 - 2020 Güz Dönemi
JEO 262E,Stratigraphy,Boris Nataline,Salı,1230/1429,MDB,77,76,JEO JEOE JEOM,12184,2019 - 2020 Güz Dönemi
JEO 305E,Geochemistry,Nurgül Çelik Balcı,Çarşamba,0930/1229,MDB,49,50,JEO JEOE JEOM,12185,2019 - 2020 Güz Dönemi
JEO 311,Şev Stabilitesi Analizleri,--,Pazartesi,1430/1729,MDB,0,0,JEO,12240,2019 - 2020 Güz Dönemi
JEO 314,Kayaç Yapıcı Mineraller,--,Pazartesi,1330/1629,MDB,0,0,JEO,12242,2019 - 2020 Güz Dönemi
JEO 316,Kıymetli Mineral ve Kayaçlar,Mehmet Sezai Kırıkoğlu,Perşembe,0830/1129,MDB,20,30,JEO,12249,2019 - 2020 Güz Dönemi
JEO 317,Jeoloji Haritalr & Kartografya,--,Cuma,0830/1129,MDB,0,0,JEO,12251,2019 - 2020 Güz Dönemi
JEO 317,Jeoloji Haritalr & Kartografya,"Hüsnü Serdar Akyüz, Ufuk Tarı",Perşembe,0930/1229,MDB,30,35,JEO,12250,2019 - 2020 Güz Dönemi
JEO 319E,Mining for Geologists,Emin Çiftçi,Pazartesi,1130/1429,MDB,5,30,JEO JEOE,13164,2019 - 2020 Güz Dönemi
JEO 325,Jeolojide Bilgisayar Uygul,"Fuat Yavuz, Enver Vural Yavuz",Pazartesi,1130/1429,MDB,19,20,JEO,12265,2019 - 2020 Güz Dönemi
JEO 326,Yapı Gereçleri Jeolojisi,--,Perşembe,0830/1129,MDB,0,0,JEO,12266,2019 - 2020 Güz Dönemi
JEO 335,Uygulamalı Zemin Mekaniği,Erkan Bozkurtoğlu,Cuma,0830/1129,MDB,7,30,JEO,12267,2019 - 2020 Güz Dönemi
JEO 338,Maden Aramaları,Demet Yıldırım,Perşembe,0830/1129,MDB,14,30,JEO,12268,2019 - 2020 Güz Dönemi
JEO 339,Maden Yatakları,Yüksel Örgün Tutay,Cuma,1430/1729,MDB,21,40,JEO JEOM,14528,2019 - 2020 Güz Dönemi
JEO 340E,Geomorphology,"Cengiz Yıldırım, Tolga Görüm",Perşembe,1430/1729,MDB,7,30,JEO,12269,2019 - 2020 Güz Dönemi
JEO 342,Metamorfik Petroloji,--,Pazartesi,0830/1129,MDB,0,0,JEO,12270,2019 - 2020 Güz Dönemi
