Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAD 101E,Tech.Draw.Appl.in Mining Eng.,Hakan Tunçdemir,Cuma,1430/1729,MDB,34,40,MAD MADE,12199,2019 - 2020 Güz Dönemi
MAD 101E,Tech.Draw.Appl.in Mining Eng.,Hakan Tunçdemir,Perşembe,0830/1129,MDB,35,40,MAD MADE,12201,2019 - 2020 Güz Dönemi
MAD 111E,Intro to Mining Engineering,Hanifi Çopur,Çarşamba,1430/1529,MDB,63,70,MAD MADE,12104,2019 - 2020 Güz Dönemi
MAD 205,Mineraloji ve Petrografi,Şenel Özdamar,Cuma,0830/1229,MDB,52,65,MAD,12502,2019 - 2020 Güz Dönemi
MAD 211E,Mineralogy,Şenel Özdamar,Çarşamba,0830/1129,MDB,10,30,MAD MADE,12503,2019 - 2020 Güz Dönemi
MAD 213E,Mine Production Technology,Cüneyt Atilla Öztürk,Perşembe,1130/1329,MDB,21,50,CHZ CHZE,12206,2019 - 2020 Güz Dönemi
MAD 232,Açık İşletmeler,Selamet Gürbüz Erçelebi,Pazartesi,1430/1729,MDB,69,80,MAD MADM,12106,2019 - 2020 Güz Dönemi
MAD 232E,Surface Mining,--,Pazartesi,1430/1729,MDB,0,0,MADE,12254,2019 - 2020 Güz Dönemi
MAD 241,Patlayıcı Madde Tek. ve Uygula,Cengiz Kuzu,Salı,1130/1329,MDB,52,60,MAD MADM,12107,2019 - 2020 Güz Dönemi
MAD 241E,Blasting Tech&its; A..,Türker Hüdaverdi,Pazartesi,1130/1329,MDB,2,20,MADE,12255,2019 - 2020 Güz Dönemi
MAD 243,Yeraltı Maden İşletmeciliği,Cengiz Kuzu,Cuma,1430/1729,MDB,25,25,MAD MADM,12262,2019 - 2020 Güz Dönemi
MAD 307,Cevher Hazırlama I,Murat Olgaç Kangal,Perşembe,1030/1329,MDB,40,40,MAD,12203,2019 - 2020 Güz Dönemi
MAD 307E,Mineral Processing I,Fırat Burat,Perşembe,1030/1329,MDB,22,40,MAD MADE,12205,2019 - 2020 Güz Dönemi
MAD 311E,Geophysics,Seda Yolsal Çevikbilen,Perşembe,0830/1029,MDB,53,70,MAD MADE,12158,2019 - 2020 Güz Dönemi
MAD 319E,Natural Stone Mining Tech.,Deniz Tumaç,Salı,1330/1529,MDB,17,20,MAD MADE,12257,2019 - 2020 Güz Dönemi
MAD 327,Madenlerde Ulaşım ve Su Atımı,Cemal Balcı,Çarşamba,1330/1529,MDB,12,25,MAD MADM,12258,2019 - 2020 Güz Dönemi
MAD 327E,Haulage and Drainage in Mines,"Hanifi Çopur, Deniz Tumaç",Pazartesi,0830/1029,MDB,38,35,MAD MADE,12221,2019 - 2020 Güz Dönemi
MAD 351E,Rock Mechanics,Hakan Tunçdemir,Çarşamba Çarşamba,0830/1029 1030/1129,MDB MDB,59,60,MAD MADE MADM,12108,2019 - 2020 Güz Dönemi
MAD 361,Maden Yatakları,Mustafa Kumral,Pazartesi,1130/1329,MDB,40,40,MAD,12207,2019 - 2020 Güz Dönemi
MAD 361E,Mineral Deposits,Macid Fikret Suner,Pazartesi,1130/1329,MDB,14,40,MAD MADE,12208,2019 - 2020 Güz Dönemi
MAD 362,Mühendislik Jeolojisi,"Kayhan Develi, Enver Vural Yavuz",Salı,1530/1729,MDB,28,50,MAD,12163,2019 - 2020 Güz Dönemi
MAD 413E,Tunneling,"Hanifi Çopur, Deniz Tumaç",Salı,0830/1129,MDB,40,40,MAD MADE MADM,12209,2019 - 2020 Güz Dönemi
MAD 415E,Cement Technology,Hasan Ergin,Salı,0830/1129,MDB,9,40,MAD MADE,12211,2019 - 2020 Güz Dönemi
MAD 425E,Applied Rock Mechanics,Cüneyt Atilla Öztürk,Perşembe,0830/1029,MDB,8,30,MAD MADE,12223,2019 - 2020 Güz Dönemi
MAD 431,Kömür Hazırlama ve Teknolojisi,Feridun Boylu,Salı,1330/1529,MDB,36,50,MAD,12174,2019 - 2020 Güz Dönemi
MAD 431E,Coal Preparation &Technology;,Fırat Burat,Salı,1330/1529,MDB,7,20,MADE,12259,2019 - 2020 Güz Dönemi
MAD 432,Maden. ve Tünellerde Kazı Mek.,Cemal Balcı,Perşembe,1330/1629,MDB,10,40,MAD,12213,2019 - 2020 Güz Dönemi
MAD 441E,Mine System Analysis,Selamet Gürbüz Erçelebi,Cuma,0830/1129,MDB,59,70,MAD MADE,12105,2019 - 2020 Güz Dönemi
MAD 451E,Mining Machinery,"Hanifi Çopur, Deniz Tumaç",Cuma,1430/1729,MDB,39,50,MAD MADE,12145,2019 - 2020 Güz Dönemi
MAD 461E,Mine Ventilation,Abdullah Fişne,Pazartesi,1430/1729,MDB,45,50,MAD MADE,12144,2019 - 2020 Güz Dönemi
MAD 471E,Electro-Techniques in Mines,"Murat İmeryüz, Türker Hüdaverdi",Çarşamba,1130/1329,MDB,56,55,MAD MADE,11196,2019 - 2020 Güz Dönemi
MAD 492,Bitirme Çalışması,Hanifi Çopur,----,/,---,22,500,MAD,12260,2019 - 2020 Güz Dönemi
MAD 492E,Graduation Project,Hanifi Çopur,----,/,---,8,500,MAD MADE,12261,2019 - 2020 Güz Dönemi
