Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MOD 113,Visual Design Concepts I,"Elif Taşel, Nihan Topaloğlu",Cuma,0830/1229,MKB,14,40,SMT,13460,2019 - 2020 Güz Dönemi
MOD 117,Design Studio I - Int.Draping,Şükriye Yüksel Filiz,Perşembe,1330/1729,MKB,14,40,SMT,13467,2019 - 2020 Güz Dönemi
MOD 133,Materials & Construction I,Gizem Turan,Salı,1330/1729,MKB,14,40,SMT,13459,2019 - 2020 Güz Dönemi
MOD 143,Digital Design Studio,Rüveyde Oder,Salı Perşembe,0930/1229 0930/1229,MKB MKB,14,40,SMT,13462,2019 - 2020 Güz Dönemi
MOD 152,Fundam. of Textiles for FD,Osman Bülent Özipek,Pazartesi,0830/1229,MKB,14,40,SMT,13463,2019 - 2020 Güz Dönemi
MOD 217,Desg.StudioIII-Struct. Draping,Şükriye Yüksel Filiz,Pazartesi Salı,0930/1229 0930/1229,MKB MKB,11,40,SMT,13469,2019 - 2020 Güz Dönemi
MOD 237,Visual Design Concepts III,"Türkü Şahin, Ezgi Çılgın Çınar",Perşembe,0830/1229,MKB,12,40,SMT,13470,2019 - 2020 Güz Dönemi
MOD 242,Digital Design:Flats & Floats,Belgin Görgün,Cuma,1330/1629,MKB,12,40,SMT,13472,2019 - 2020 Güz Dönemi
MOD 243,Appr.Desg.Studio-Patternmaking,Belgin Görgün,Pazartesi Çarşamba,1330/1629 0930/1229,MKB MKB,12,40,SMT,13468,2019 - 2020 Güz Dönemi
MOD 304,Computerized Pattern Design,Belgin Görgün,Perşembe,1330/1629,MKB,6,40,SMT,13483,2019 - 2020 Güz Dönemi
MOD 308,Internship,"Belgin Görgün, Şükriye Yüksel Filiz",Pazartesi Pazartesi Çarşamba Cuma,0830/0929 1630/1729 0830/0929 1630/1729,MKB MKB MKB MKB,6,40,SMT,13482,2019 - 2020 Güz Dönemi
MOD 357,Intr. to Knitwear Design,"Cevza Candan, Belgin Görgün",Perşembe Cuma,0830/1129 0830/1129,MKB MKB,6,40,SMT,13479,2019 - 2020 Güz Dönemi
MOD 359,Lifestyle Collection Design,"Şükriye Yüksel Filiz, Nihan Topaloğlu",Salı,1330/1729,MKB,6,40,SMT,14754,2019 - 2020 Güz Dönemi
