Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MUK 201,Mukavemet I,Abdullah Gedikli,Çarşamba Perşembe Cuma,1030/1229 1030/1229 1130/1229,INB INB INB,26,40,FIZ INS UCKM,11904,2019 - 2020 Güz Dönemi
MUK 201,Mukavemet I,Fethi Kadıoğlu,Pazartesi Çarşamba Perşembe,1330/1429 0830/1029 0830/1029,INB INB INB,48,45,FIZ INS UCKM,11902,2019 - 2020 Güz Dönemi
MUK 201,Mukavemet I,--,Pazartesi Çarşamba Perşembe,1330/1429 0830/1029 0830/1029,INB INB INB,0,0,FIZ INS UCKM,11901,2019 - 2020 Güz Dönemi
MUK 201,Mukavemet I,Teoman Özer,Pazartesi Salı Perşembe,1030/1229 0830/1029 1430/1529,INB INB INB,46,50,FIZ INS UCKM,11903,2019 - 2020 Güz Dönemi
MUK 201E,Strength of Materials I,Hale Ergün,Çarşamba Perşembe Cuma,1030/1229 1030/1229 1130/1229,INB INB INB,41,40,FIZ FIZE INS INSE MAT UCKM,11906,2019 - 2020 Güz Dönemi
MUK 201E,Strength of Materials I,Bahar Ayhan Tezer,Pazartesi Salı Perşembe,1030/1229 0830/1029 1430/1529,INB INB INB,52,50,FIZ FIZE INS INSE MAT UCKM,11905,2019 - 2020 Güz Dönemi
MUK 202,Mukavemet II,Fethi Kadıoğlu,Pazartesi Çarşamba Perşembe,1430/1529 1030/1229 1030/1229,INB INB INB,41,40,FIZ INS,11907,2019 - 2020 Güz Dönemi
MUK 202E,Strength of Materials II,Pınar Özdemir Çağlayan,Pazartesi Çarşamba Perşembe,1030/1229 0830/1029 1630/1729,INB INB INB,32,40,FIZ FIZE INS INSE,11908,2019 - 2020 Güz Dönemi
MUK 203,Mukavemet I,Zahit Mecitoğlu,Perşembe,0830/1129,UUB,54,50,DEN ELE ELH GEM JEO TEL UCK UCKM UZB UZBM,12409,2019 - 2020 Güz Dönemi
MUK 203,Mukavemet I,Serdar Aytekin Köroğlu,Salı,0930/1229,GDB,51,50,DEN ELE ELH GEM JEO TEL UCK UZB,12523,2019 - 2020 Güz Dönemi
MUK 203E,Strength of Materials I,Aytaç Arıkoğlu,Perşembe,0830/1129,UUB,51,50,DEN DENE ELE ELH GEM GEME GEMK JEO JEOE TEL UCK UCKE UZB UZBE,12413,2019 - 2020 Güz Dönemi
MUK 203E,Strength of Materials I,Demet Balkan,Perşembe,0830/1129,UUB,52,50,DEN DENE ELE ELH GEM GEME GEMK JEO JEOE TEL UCK UCKE UZB UZBE,12411,2019 - 2020 Güz Dönemi
MUK 205,Mukavemet,Oğuz Altay,Perşembe Cuma,0930/1229 1030/1229,MKB MKB,25,50,IML MAK MAKM MKN,13268,2019 - 2020 Güz Dönemi
MUK 209,Mukavemet I,--,Salı,1330/1729,GDB,0,0,GEM,12491,2019 - 2020 Güz Dönemi
MUK 209,Mukavemet I,Reyhan Özsoysal,Salı,1330/1729,GDB,44,41,GEM,12490,2019 - 2020 Güz Dönemi
MUK 209E,Strength of Materials I,Adil Yücel,Perşembe,0830/1229,MKB,1,2,MAKE MAKM,15561,2019 - 2020 Güz Dönemi
