Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
TEK 111E,Intr.to Textile Engineering,"Cevza Candan, Fatma Banu Nergis",Cuma,1130/1229,MKB,88,100,TEKE,13345,2019 - 2020 Güz Dönemi
TEK 114E,Fiber Science,"İkilem Göcek, Alper Gürarslan",Pazartesi,1330/1729,MKB,17,30,TEK TEKE TEKM,15065,2019 - 2020 Güz Dönemi
TEK 213E,Textile Chemistry,Umut Kıvanç Şahin,Perşembe,1330/1629,MKB,43,40,TEK TEKE TEKM,13442,2019 - 2020 Güz Dönemi
TEK 213E,Textile Chemistry,Berdan Kalav,Salı,0930/1229,MKB,20,35,TEK TEKE TEKM,13353,2019 - 2020 Güz Dönemi
TEK 233E,Yarn Technology I,"Fatma Banu Nergis, Yeşim Beceren",Çarşamba,0930/1229,MKB,31,35,TEK TEKE TEKM,13445,2019 - 2020 Güz Dönemi
TEK 233E,Yarn Technology I,Nazan Okur,Pazartesi,0930/1229,MKB,41,40,TEK TEKE TEKM,13449,2019 - 2020 Güz Dönemi
TEK 305E,Textile Testing,"Hale Karakaş, Nevin Çiğdem Gürsoy",Çarşamba Perşembe,1330/1529 1030/1229,MKB MKB,35,35,TEKE,13480,2019 - 2020 Güz Dönemi
TEK 305E,Textile Testing,"Osman Bülent Özipek, Nevin Çiğdem Gürsoy",Salı Perşembe,0830/1029 1330/1529,MKB MKB,22,35,TEKE,13477,2019 - 2020 Güz Dönemi
TEK 327E,Machine Elements,İpek Yalçın Eniş,Perşembe,1530/1729,MKB,41,45,TEK TEKE,13502,2019 - 2020 Güz Dönemi
TEK 327E,Machine Elements,İkilem Göcek,Salı,1030/1229,MKB,47,45,TEK TEKE,13501,2019 - 2020 Güz Dönemi
TEK 331,Yün İplikçiliği,Nazan Okur,Salı,1330/1529,MKB,1,1,TEK,15155,2019 - 2020 Güz Dönemi
TEK 345E,Clothing Technology,Selin Hanife Eryürük,Cuma,1330/1629,MKB,37,40,TEK TEKE TEKM,13504,2019 - 2020 Güz Dönemi
TEK 345E,Clothing Technology,Fatma Kalaoğlu,Salı,1330/1629,MKB,16,35,TEK TEKE TEKM,13503,2019 - 2020 Güz Dönemi
TEK 361E,Mechanisms,Şule Selçuk,Cuma,0930/1229,MKB,49,50,IML IMLE TEK TEKE,13499,2019 - 2020 Güz Dönemi
TEK 361E,Mechanisms,Meltem Yanılmaz,Pazartesi,0930/1229,MKB,52,50,IML IMLE TEK TEKE,13500,2019 - 2020 Güz Dönemi
TEK 413E,Fabric Design,Burçak Karagüzel Kayaoğlu,Cuma,0930/1229,MKB,23,35,TEK TEKE TEKM,13505,2019 - 2020 Güz Dönemi
TEK 413E,Fabric Design,Ömer Berk Berkalp,Pazartesi,1330/1629,MKB,42,40,TEK TEKE TEKM,13506,2019 - 2020 Güz Dönemi
TEK 417E,Technical Yarns,Fatma Banu Nergis,Salı,0930/1229,MKB,15,30,TEK TEKE,13509,2019 - 2020 Güz Dönemi
TEK 441E,Yarn Production Calculations,"Yeşim Beceren, Fatma Banu Nergis",Pazartesi,0930/1229,MKB,6,30,TEK TEKE,13513,2019 - 2020 Güz Dönemi
TEK 447E,Ecological Textiles,Berdan Kalav,Salı,1330/1629,MKB,23,30,TEK TEKE,13514,2019 - 2020 Güz Dönemi
TEK 451E,Textile Prod.Managem..,Canan Sarıçam,Salı,1330/1629,MKB,28,30,TEK TEKE,13515,2019 - 2020 Güz Dönemi
TEK 452E,Knitting Technology II,--,Salı,0930/1229,MKB,0,0,TEK TEKE,13510,2019 - 2020 Güz Dönemi
TEK 453E,Synthetic &Textured;..,Ali Demir,Perşembe,0930/1229,MKB,34,30,TEK TEKE,13511,2019 - 2020 Güz Dönemi
TEK 455E,Non-Woven Fabrics,İlkay Özsev Yüksek,Perşembe,1330/1629,MKB,35,40,TEK TEKE,13508,2019 - 2020 Güz Dönemi
TEK 455E,Non-Woven Fabrics,İpek Yalçın Eniş,Çarşamba,0830/1129,MKB,30,35,TEK TEKE,13507,2019 - 2020 Güz Dönemi
TEK 456E,Textile Finishing Auxiliaries,Umut Kıvanç Şahin,Cuma,1330/1629,MKB,8,30,TEK TEKE,14470,2019 - 2020 Güz Dönemi
TEK 457E,Pre-treatment Processes,Berdan Kalav,Perşembe,0930/1229,MKB,7,30,TEK TEKE,13512,2019 - 2020 Güz Dönemi
TEK 459E,Garment Pattern Making inAppar,Belgin Görgün,Pazartesi,0930/1229,MKB,16,30,TEK TEKE,14471,2019 - 2020 Güz Dönemi
TEK 483E,Motion and Time Study,--,Cuma,1330/1629,MKB,0,0,TEK TEKE,14472,2019 - 2020 Güz Dönemi
TEK 485E,Cost Accounting,--,Pazartesi,0930/1229,MKB,0,0,TEKE,14473,2019 - 2020 Güz Dönemi
TEK 492E,Senior Design Project,Ömer Berk Berkalp,----,/,---,31,500,TEK TEKE,13861,2019 - 2020 Güz Dönemi
