Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
DUI 102E,Introduction to Navigation,Tuba Keçeci,Salı,1430/1729,,72,75,DUI DUIE,21681,2020 - 2021 Bahar Dönemi
DUI 102E,Introduction to Navigation,Tuba Keçeci,Salı,0830/1129,,58,63,DUI DUIE,21680,2020 - 2021 Bahar Dönemi
DUI 112E,Watchkeeping I,Oğuzhan Gürel,Çarşamba,1030/1229,,65,65,DUI DUIE,21683,2020 - 2021 Bahar Dönemi
DUI 112E,Watchkeeping I,Oğuzhan Gürel,Çarşamba,1230/1429,,60,70,DUI DUIE,21682,2020 - 2021 Bahar Dönemi
DUI 202E,Electronic Navigation,Serdar Kum,Çarşamba,0830/1129,,24,50,DUI DUIE,21684,2020 - 2021 Bahar Dönemi
DUI 202E,Electronic Navigation,Serdar Kum,Pazartesi,1430/1729,,50,53,DUI DUIE,21685,2020 - 2021 Bahar Dönemi
DUI 206,Astronomi,Orhan Gönel,Cuma,0830/1129,,55,55,DUI,21687,2020 - 2021 Bahar Dönemi
DUI 206,Astronomi,Orhan Gönel,Çarşamba,0830/1129,,41,50,DUI,21686,2020 - 2021 Bahar Dönemi
DUI 208E,Cargo&Crew Safety,Tanzer Satır,Perşembe,0830/1029,,32,60,DUI,21688,2020 - 2021 Bahar Dönemi
DUI 208E,Cargo&Crew Safety,Tanzer Satır,Perşembe,1030/1229,,74,75,DUI,21689,2020 - 2021 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Alaaddin Yıldıray Ertaş,Salı,1330/1529,,22,25,DUI DUIE,21695,2020 - 2021 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Oğuzhan Gürel,Salı,1330/1529,,29,30,DUI DUIE,21693,2020 - 2021 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Oğuzhan Gürel,Salı,1030/1229,,16,20,DUI DUIE,21691,2020 - 2021 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Alaaddin Yıldıray Ertaş,Salı,0830/1029,,1,20,DUI DUIE,21694,2020 - 2021 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Oğuzhan Gürel,Salı,0830/1029,,3,20,DUI DUIE,21692,2020 - 2021 Bahar Dönemi
DUI 231EL,Marine Communication Lab.,Alaaddin Yıldıray Ertaş,Pazartesi,0830/1029,,35,33,DUI DUIE,21690,2020 - 2021 Bahar Dönemi
DUI 232,Gemi Elektroniği,Zuhal Er,Pazartesi,1030/1229,,58,63,DUI,21698,2020 - 2021 Bahar Dönemi
DUI 232,Gemi Elektroniği,Zuhal Er,Pazartesi,0830/1029,,23,60,DUI,21697,2020 - 2021 Bahar Dönemi
DUI 241,Deniz Eğitimi I,Özcan Arslan,----,/,,5,30,DUI,24954,2020 - 2021 Bahar Dönemi
DUI 302E,Onboard Training III,Özcan Arslan,----,/,,7,100,DUI DUIE,21720,2020 - 2021 Bahar Dönemi
DUI 321,Deniz Hukuku I,Hakan Muran,Salı,0830/1029,,33,50,DUI DUIE,25067,2020 - 2021 Bahar Dönemi
DUI 351,Deniz Eğitimi II,Emre Akyüz,----,/,,8,30,DUI,24955,2020 - 2021 Bahar Dönemi
DUI 392E,Long Term SeaTraining(6Months),Emre Akyüz,----,/,,51,100,DUI DUIE,24951,2020 - 2021 Bahar Dönemi
DUI 402,Deniz Hukuku II,Hakan Muran,Perşembe,1430/1729,,3,50,DUI,24952,2020 - 2021 Bahar Dönemi
DUI 402,Deniz Hukuku II,Hakan Muran,Perşembe,1130/1429,,34,60,DUI,21723,2020 - 2021 Bahar Dönemi
DUI 402,Deniz Hukuku II,Hakan Muran,Perşembe,0830/1129,,34,60,DUI,21722,2020 - 2021 Bahar Dönemi
DUI 442,Meteoroloji ve Oşinografi,--,Cuma,1600/1759,,0,0,DUI,21724,2020 - 2021 Bahar Dönemi
DUI 442,Meteoroloji ve Oşinografi,--,Perşembe,1530/1729,,0,0,DUI,23616,2020 - 2021 Bahar Dönemi
