Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
IML 110,İmalat Müh. Giriş ve Etik,--,Çarşamba,1330/1529,,0,0,IML,22129,2020 - 2021 Bahar Dönemi
IML 111,İmalat Mühendisliğine Giriş,--,Çarşamba,1230/1329,,0,0,IML,22130,2020 - 2021 Bahar Dönemi
IML 206,Akışkanlar Mekaniği,Hakan Öksüzoğlu,Salı Çarşamba,1130/1329 1130/1229,,65,100,IML,22131,2020 - 2021 Bahar Dönemi
IML 311,İmal Usülleri I,Ali Gökşenli,Salı Perşembe,1330/1529 1130/1329,,51,60,IML,22133,2020 - 2021 Bahar Dönemi
IML 312,İmal Usülleri II,Şafak Yılmaz,Salı Perşembe,1330/1529 1030/1229,,39,60,IML,22134,2020 - 2021 Bahar Dönemi
IML 318E,Machine Design,Hacı Abdullah Taşdemir,Perşembe,1330/1729,,2,20,IMLE,25186,2020 - 2021 Bahar Dönemi
IML 320,Makina Elemanları,Ali İmre Aydeniz,Pazartesi Perşembe,1330/1529 1430/1729,,15,60,IML IMLM,22135,2020 - 2021 Bahar Dönemi
IML 322,İmalatta Otomasyon,Mustafa Resa Becan,Cuma,1130/1429,,58,60,IML IMLM,24944,2020 - 2021 Bahar Dönemi
IML 322,İmalatta Otomasyon,Erdinç Altuğ,Cuma,1500/1759,,16,60,IML IMLM,22136,2020 - 2021 Bahar Dönemi
IML 324E,Comp.Aided Manufacturing Eng.,Mustafa Bakkal,Çarşamba Perşembe,0830/0929 0830/1029,,81,100,IML IMLE,22137,2020 - 2021 Bahar Dönemi
IML 325E,Measurements & Instrumentation,Hülya Yalçın,Salı Çarşamba,1530/1629 1030/1229,,10,80,IML IMLE MAK MAKE,25072,2020 - 2021 Bahar Dönemi
IML 326E,Manuf. of Nonmetalic Prod.,Ersan Üstündağ,Salı,0830/1129,,72,100,IML IMLE,22138,2020 - 2021 Bahar Dönemi
IML 338,İmalat Sistemleri,Ramazan Murat Tabanlı,Pazartesi Çarşamba,0830/1029 0930/1029,,76,100,IML,22140,2020 - 2021 Bahar Dönemi
IML 402,İmalat Lab II,Canan Gamze Güleryüz Parasız,----,/,,49,60,IML IMLM,22265,2020 - 2021 Bahar Dönemi
IML 402E,Manufacturing Lab II,Canan Gamze Güleryüz Parasız,----,/,,1,60,IMLE,22266,2020 - 2021 Bahar Dönemi
IML 404E,Comp.Simulations in Manuf.Eng.,Canan Gamze Güleryüz Parasız,----,/,,33,200,IML,22272,2020 - 2021 Bahar Dönemi
IML 405,Uygulamalı İmalat Projesi,Turgut Gülmez,----,/,,4,100,IML,22141,2020 - 2021 Bahar Dönemi
IML 438E,Tool Design,Mustafa Bakkal,Perşembe,1230/1529,,72,100,IML IMLE,22142,2020 - 2021 Bahar Dönemi
IML 460,Tesis Plan. ve Yerleştirme,Ramazan Murat Tabanlı,Pazartesi Çarşamba,1030/1229 1030/1129,,16,60,IML,23600,2020 - 2021 Bahar Dönemi
IML 4901,İmalat Müh. Tasarımı I,Adil Yücel,----,/,,7,200,IML,22284,2020 - 2021 Bahar Dönemi
IML 4901E,Manufacturing Eng. Design I,Adil Yücel,----,/,,1,200,IML,22285,2020 - 2021 Bahar Dönemi
IML 4902,İmalat Müh. Tasarımı II,Adil Yücel,----,/,,22,200,IML,22288,2020 - 2021 Bahar Dönemi
IML 4902E,Manufacturing Eng. Design II,Adil Yücel,----,/,,2,200,IML,22289,2020 - 2021 Bahar Dönemi
IML 492,İmalat Tasarım Projesi,Adil Yücel,----,/,,44,200,IML,22280,2020 - 2021 Bahar Dönemi
IML 492E,Manufacturing Design Project,Adil Yücel,----,/,,2,200,IML IMLE,22281,2020 - 2021 Bahar Dönemi
