Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAT 115E,Intro. to Programming Language,Muzaffer Altıntaş,Perşembe Perşembe,0830/1029 1030/1229,,29,30,MAT MATE,20655,2020 - 2021 Bahar Dönemi
MAT 115E,Intro. to Programming Language,Muzaffer Altıntaş,Çarşamba Çarşamba,0830/1029 1030/1229,,17,30,MAT MATE,20654,2020 - 2021 Bahar Dönemi
MAT 116E,Advanced Sci. & Eng. Computing,Burcu Tunga,Pazartesi,0830/1229,,51,51,MAT MATE,20661,2020 - 2021 Bahar Dönemi
MAT 116E,Advanced Sci. & Eng. Computing,Burcu Tunga,Cuma,0830/1229,,41,51,MAT MATE,20662,2020 - 2021 Bahar Dönemi
MAT 117,Matematik Müh. Giriş ve Etik,Sevgi Harman,Çarşamba,1330/1529,,22,80,MAT,20657,2020 - 2021 Bahar Dönemi
MAT 142,Lineer Cebir II,Ali Demirci,Salı,0830/1129,,27,40,MAT,20663,2020 - 2021 Bahar Dönemi
MAT 143,Lineer Cebir,Nurettin Cenk Turgay,Pazartesi Salı,1230/1429 0830/1029,,80,82,MAT,20658,2020 - 2021 Bahar Dönemi
MAT 148,Ayrık Matematik,Ali Ercengiz,Salı,1130/1429,,52,53,MAT,25207,2020 - 2021 Bahar Dönemi
MAT 148,Ayrık Matematik,Burak Yıldıran Stodolsky,Salı,1130/1429,,53,53,MAT,20670,2020 - 2021 Bahar Dönemi
MAT 175,Soyut Matematik,Burak Yıldıran Stodolsky,Perşembe,1430/1729,,30,80,MAT MATM,20659,2020 - 2021 Bahar Dönemi
MAT 187E,Mathematics I,Ali Demirci,Salı Cuma,1430/1729 0930/1229,,34,80,MAT,23457,2020 - 2021 Bahar Dönemi
MAT 188,Matematik II,Atabey Kaygun,Salı Çarşamba,1430/1729 1230/1529,,56,60,MAT,20664,2020 - 2021 Bahar Dönemi
MAT 202,Sayısal Yöntemler,Özcan Kalenderli,Salı,1230/1529,,87,75,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JEF JEO KOM KON MAD MAK MET PET TEK TEL,21526,2020 - 2021 Bahar Dönemi
MAT 202,Sayısal Yöntemler,Birgül Benli,Pazartesi,1430/1729,,76,85,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JEF JEO KOM KON MAD MAK MET PET TEK TEL,22797,2020 - 2021 Bahar Dönemi
MAT 202,Sayısal Yöntemler,Ali Yapar,Salı,1230/1529,,94,95,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JEF JEO KOM KON MAD MAK MET PET TEK TEL,21524,2020 - 2021 Bahar Dönemi
MAT 202,Sayısal Yöntemler,--,Pazartesi,1330/1629,,0,0,CEV CHZ DEN EHB ELE ELH ELK GEM GEO GID IML INS ISL JEF JEO KOM KON MAD MAK MET PET TEK TEL,22969,2020 - 2021 Bahar Dönemi
MAT 202E,Numerical Methods,--,Cuma,0830/1129,,0,0,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UZB UZBE,22971,2020 - 2021 Bahar Dönemi
MAT 202E,Numerical Methods,Elçin Tan,Cuma,1500/1759,,68,71,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UZB UZBE,23180,2020 - 2021 Bahar Dönemi
MAT 202E,Numerical Methods,--,Cuma,0830/1129,,0,0,BLG BLGE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELH ELK ELKE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE ISL ISLE JEF JEFE JEO JEOE KMM KMME KOM KOME KON KONE MAD MADE MAK MAKE MET METE MTO MTOE PET PETE TEK TEKE TEL UCK UCKE UZB UZBE,22850,2020 - 2021 Bahar Dönemi
