Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SBP 120E,Intr.to Cmp.Sys.in Urban Std.,Kerem Yavuz Arslanlı,Çarşamba,1330/1529,,58,75,SBP SBPE,22572,2020 - 2021 Bahar Dönemi
SBP 120E,Intr.to Cmp.Sys.in Urban Std.,Turgay Kerem Koramaz,Perşembe,1530/1729,,75,75,SBP SBPE,22571,2020 - 2021 Bahar Dönemi
SBP 126,CBS ve Planlama,Hasan Serdar Kaya,Salı,0830/1129,,88,90,SBP SBPM,22573,2020 - 2021 Bahar Dönemi
SBP 126E,GIS and Planning,Fatih Terzi,Salı,0830/1129,,75,85,SBPE SBPM,22574,2020 - 2021 Bahar Dönemi
SBP 205E,Statistics,Hüseyin Murat Çelik,Çarşamba,0830/1129,,44,55,SBP SBPE,22575,2020 - 2021 Bahar Dönemi
SBP 214E,Geography,Eda Yücesoy,Çarşamba,1230/1529,,52,55,ISL ISLE PEME SBP SBPE,22577,2020 - 2021 Bahar Dönemi
SBP 214E,Geography,--,Çarşamba,1230/1529,,0,0,ISLE PEME SBP SBPE,22576,2020 - 2021 Bahar Dönemi
SBP 218,Proje IV,Seda Kundak,Salı Cuma,1330/1729 1400/1759,,14,14,SBP,22581,2020 - 2021 Bahar Dönemi
SBP 218,Proje IV,Ebru Kerimoğlu,Salı Cuma,1330/1729 1400/1759,,14,14,SBP,22580,2020 - 2021 Bahar Dönemi
SBP 218,Proje IV,Ayşe Lale Berköz,Salı Cuma,1330/1729 1400/1759,,14,14,SBP,22578,2020 - 2021 Bahar Dönemi
SBP 218,Proje IV,Özlem Özçevik,Salı Cuma,1330/1729 1400/1759,,14,14,SBP,22579,2020 - 2021 Bahar Dönemi
SBP 218E,Project IV,Turgay Kerem Koramaz,Salı Cuma,1330/1729 1400/1759,,14,14,SBPE,22585,2020 - 2021 Bahar Dönemi
SBP 218E,Project IV,Kerem Yavuz Arslanlı,Salı Cuma,1330/1729 1400/1759,,13,13,SBPE,22582,2020 - 2021 Bahar Dönemi
SBP 218E,Project IV,Tüzin Baycan,Salı Cuma,1330/1729 1400/1759,,14,14,SBPE,22583,2020 - 2021 Bahar Dönemi
SBP 218E,Project IV,Elif Alkay,Salı Cuma,1330/1729 1400/1759,,14,14,SBPE,22584,2020 - 2021 Bahar Dönemi
SBP 222,Şehir Ekonomisi,Emine Ferhan Gezici Korten,Çarşamba,1030/1229,,63,65,SBP SBPM,22586,2020 - 2021 Bahar Dönemi
SBP 222E,Urban Economics,Elif Alkay,Pazartesi,1030/1229,,69,65,SBPE SBPM,22588,2020 - 2021 Bahar Dönemi
SBP 224,Şehir ve Çevre Jeolojisi,"Remzi Karagüzel, Erkan Bozkurtoğlu",Çarşamba,1230/1529,,50,50,SBP,22591,2020 - 2021 Bahar Dönemi
SBP 224E,Urban & Environmental Geology,Nilgün Okay,Perşembe,1330/1629,,37,45,PEME SBPE,22594,2020 - 2021 Bahar Dönemi
SBP 232,Şehir Tarihi,Eren Kürkçüoğlu,Perşembe,1330/1629,,68,70,SBP SBPM,22597,2020 - 2021 Bahar Dönemi
SBP 232E,The City in History,Eren Kürkçüoğlu,Perşembe,0830/1129,,68,70,SBPE SBPM,22600,2020 - 2021 Bahar Dönemi
SBP 234,Şehir Sosyolojisi,Eda Yücesoy,Çarşamba,0830/1029,,69,70,SBP SBPM,22605,2020 - 2021 Bahar Dönemi
SBP 234E,Urban Sociology,Elvan Gülöksüz,Pazartesi,0830/1029,,69,65,SBPE SBPM,22610,2020 - 2021 Bahar Dönemi
SBP 242,Planlama Kuramı ve Teknikleri,Başak Demireş Özkul,Salı,0830/1129,,63,65,SBP SBPM,22631,2020 - 2021 Bahar Dönemi
SBP 242E,Planning Theory and Techniques,Başak Demireş Özkul,Cuma,0830/1129,,77,75,SBPE SBPM,22613,2020 - 2021 Bahar Dönemi
SBP 251,Şehir ve Çevre Mühendisliği,Ali Fuat Aydın,Perşembe,0830/1129,,59,65,SBP,22632,2020 - 2021 Bahar Dönemi
SBP 251E,Urban and Environmental Eng.,Mahmut Altınbaş,Salı,0830/1129,,60,65,SBPE,22634,2020 - 2021 Bahar Dönemi
SBP 311E,Project V,Özhan Ertekin,Salı Cuma,1330/1729 1400/1759,,9,9,SBP SBPE,23507,2020 - 2021 Bahar Dönemi
SBP 311E,Project V,Emine Ferhan Gezici Korten,Salı Cuma,1330/1729 1400/1759,,8,9,SBP SBPE,22635,2020 - 2021 Bahar Dönemi
