Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
TES 121E,Project II,Bihter Almaç,Pazartesi Perşembe,0830/1229 0830/1229,,21,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,25099,2020 - 2021 Bahar Dönemi
TES 121E,Project II,--,Pazartesi Perşembe,0830/1229 0830/1229,,0,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,25042,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Ayşegül Akçay Kavakoğlu,Pazartesi Perşembe,0830/1229 0830/1229,,21,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23127,2020 - 2021 Bahar Dönemi
TES 121E,Project II,--,Pazartesi Perşembe,0830/1229 0830/1229,,0,600,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23130,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Elif Kısar Koramaz,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23126,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Deniz Leblebici Başar,Pazartesi Perşembe,0830/1229 0830/1229,,23,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22762,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Demet Günal Ertaş,Pazartesi Perşembe,0830/1229 0830/1229,,23,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22760,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Fatma Pınar Özemir,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22761,2020 - 2021 Bahar Dönemi
TES 121E,Project II,İmge Akçakaya Waite,Pazartesi Perşembe,0830/1229 0830/1229,,19,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22566,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Başak Demireş Özkul,Pazartesi Perşembe,0830/1229 0830/1229,,21,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22565,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Hasan Serdar Kaya,Pazartesi Perşembe,0830/1229 0830/1229,,21,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22563,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Hatice Ayataç,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22561,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Zeynep Günay,Pazartesi Perşembe,0830/1229 0830/1229,,20,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22562,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Demet Arslan Dinçay,Pazartesi Perşembe,0830/1229 0830/1229,,23,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22534,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Ahmet Gün,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22531,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Ethem Gürer,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22527,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Göksenin İnalhan,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22067,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Derya Güleç Özer,Pazartesi Perşembe,0830/1229 0830/1229,,23,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22068,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Sema Alaçam,Pazartesi Perşembe,0830/1229 0830/1229,,20,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22066,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Sevgi Türkkan,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22061,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Muhammed Ali Örnek,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22145,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Nesip Ömer Erem,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22064,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Ayşe Meltem Baslo,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22065,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Mine Özkar Kabakçıoğlu,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22062,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Mehmet Emin Şalgamcıoğlu,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22063,2020 - 2021 Bahar Dönemi
TES 121E,Project II,Çiğdem Eren,Pazartesi Perşembe,0830/1229 0830/1229,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22060,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,Bihter Almaç,Cuma,1400/1759,,29,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,25100,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,--,Cuma,1400/1759,,0,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,25043,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,--,Cuma,1400/1759,,0,600,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23131,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,Burçin Kürtüncü,Cuma,1400/1759,,23,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23129,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,Ayşegül Akçay Kavakoğlu,Cuma,1400/1759,,31,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,23128,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,Demet Günal Ertaş,Cuma,1400/1759,,22,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22759,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,Mehmet Erkök,Cuma,1400/1759,,23,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22758,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,Fatma Pınar Özemir,Cuma,1400/1759,,28,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22757,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,Başak Demireş Özkul,Cuma,1400/1759,,29,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22569,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,Hasan Serdar Kaya,Cuma,1400/1759,,32,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22568,2020 - 2021 Bahar Dönemi
TES 122E,Vis.CommII:Visualization&Persp,Ethem Gürer,Cuma,1400/1759,,29,0,ENTE EUT EUTE ICM MIM MIME PEM PEME SBP SBPE,22538,2020 - 2021 Bahar Dönemi
