Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
BIL 100E,Intr.to Prog.Language(PYTHON),--,Cuma Cuma,1430/1529 1530/1729,,0,0,IML MAK TEK TEKE,14022,2020 - 2021 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Cuma Cuma,1430/1529 1530/1729,,50,49,ECNE END ENDE IML ISL ISLE MAK TEK TEKE,10234,2020 - 2021 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Gülcihan Özdemir,Cuma Cuma,1430/1529 1530/1729,,52,50,ECNE IML ISL ISLE MAK TEK TEKE,10231,2020 - 2021 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Özgür Atalay,Cuma Cuma,1030/1129 1130/1329,,41,45,IML ISL ISLE MAK,10232,2020 - 2021 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Gülcihan Özdemir,Cuma Cuma,1030/1129 1130/1329,,19,45,IML MAK MET METE SBP SBPE,10230,2020 - 2021 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Onur Yılmaz Özcan,Perşembe,1430/1729,,63,65,CEV CEVE,14455,2020 - 2021 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Melek Ertogan,Perşembe,1430/1729,,63,65,DUI DUIE,13765,2020 - 2021 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Perşembe Perşembe,1430/1529 1530/1729,,39,45,GID GIDE IML MAK MET METE,10229,2020 - 2021 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Erke Arıbaş,Perşembe Perşembe,1430/1529 1530/1729,,36,45,BIOE CEV CEVE DEN DUI ECNE ENTE EUTE FIZ GEM GID GMI ICM IML ISL ISLE JEO KIM KMM KMME MAK MET METE MIM MIME MTO PEME PETE SBP SBPE SEN TEKE,10226,2020 - 2021 Güz Dönemi
BIL 100E,Intr.to Prog.Language(PYTHON),Berfin Kalay,Perşembe Perşembe,1030/1129 1130/1329,,40,45,GID GIDE IML MAK MET METE,10228,2020 - 2021 Güz Dönemi
