Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
BIO 102E,Engineering Biology,Süreyya Ergün Bozdağ,Pazartesi,0930/1229,,50,60,IML IMLE MAK MAKE,12398,2020 - 2021 Güz Dönemi
BIO 103E,Int.to Mol.Biol.&Genet.&Ethics,Ayça Sayı Yazgan,Çarşamba,1330/1529,,76,100,BIO BIOE,10171,2020 - 2021 Güz Dönemi
BIO 105E,General Biology I,Bülent Balta,Çarşamba Cuma,1130/1229 0830/1029,,48,50,BIO BIOE BIOM,10165,2020 - 2021 Güz Dönemi
BIO 105E,General Biology I,Hakan Bermek,Çarşamba Cuma,1130/1229 0830/1029,,49,50,BIO BIOE BIOM,10159,2020 - 2021 Güz Dönemi
BIO 207E,Cell Biology,Aslı Kumbasar,Salı Perşembe,1330/1429 1230/1429,,89,85,BIO BIOE BIOM,10180,2020 - 2021 Güz Dönemi
BIO 207EL,Cell Biology Lab.,Aslı Kumbasar,Salı,0830/1129,,60,80,BIO BIOE BIOM,10188,2020 - 2021 Güz Dönemi
BIO 214E,Microbiology,--,Çarşamba,0930/1229,,0,15,KMME,13398,2020 - 2021 Güz Dönemi
BIO 215,Biyokimya,Ramazan Kızıl,Pazartesi,0930/1229,,29,30,FIZ GID KMM,12496,2020 - 2021 Güz Dönemi
BIO 301E,Fundamentals of Biology,Deniz Şahin,Çarşamba,1230/1529,,71,70,BIOM CHZ CHZE DEN EHB EHBE ELE ELH ELK ELKE FIZ FIZE GEM GID GIDE INS INSE ISL ISLE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MET METE PET PETE TEL,10139,2020 - 2021 Güz Dönemi
BIO 301E,Fundamentals of Biology,Deniz Şahin,Çarşamba,0830/1129,,71,70,BIOM CHZ CHZE DEN EHB EHBE ELE ELH ELK ELKE FIZ FIZE GEM GID GIDE INS INSE ISL ISLE JEO JEOE KIM KIME KMM KMME KOM KOME MAD MADE MET METE PET PETE TEL,10132,2020 - 2021 Güz Dönemi
BIO 302E,Fundamentals of Biotechnology,Yetkin Öztürk,Cuma,0830/1129,,57,70,CHZ CHZE DEN ELE ELH ELK ELKE FIZ FIZE GEM JEO JEOE KMM KMME KOM KOME MAD MADE PET PETE TEL,11285,2020 - 2021 Güz Dönemi
BIO 303,Biyomalzemeler,Fatma Seniha Güner,Pazartesi,0930/1229,,30,30,KMM,12494,2020 - 2021 Güz Dönemi
BIO 315E,Biochemistry I,Nevin Gül-Karagüler,Salı,1430/1729,,64,80,BIO BIOE BIOM,10233,2020 - 2021 Güz Dönemi
BIO 315EL,Biochemistry I Lab.,Nevin Gül-Karagüler,Cuma,1430/1729,,71,80,BIO BIOE,10235,2020 - 2021 Güz Dönemi
BIO 317E,Molecular Genetics,"Arzu Karabay Korkmaz, Ceren Çıracı",Pazartesi,1130/1429,,75,80,BIO BIOE BIOM,10192,2020 - 2021 Güz Dönemi
BIO 317EL,Molecular Genetics Lab.,"Arzu Karabay Korkmaz, Ceren Çıracı",Çarşamba,1230/1529,,72,80,BIO BIOE,10215,2020 - 2021 Güz Dönemi
BIO 322E,Physiology,Ayça Sayı Yazgan,Perşembe,1430/1729,,66,80,BIO BIOE,10236,2020 - 2021 Güz Dönemi
BIO 325E,Ecology,Deniz Şahin,Cuma,1030/1229,,77,80,BIO BIOE,10223,2020 - 2021 Güz Dönemi
BIO 341E,General Biotechnology,"Zeynep Petek Çakar, Fatma Neşe Kök",Perşembe,0830/1129,,80,80,BIO BIOE,10219,2020 - 2021 Güz Dönemi
BIO 351E,Biophysics,Gizem Dinler Doğanay,Pazartesi,1430/1729,,75,85,BIO BIOE FIZ FIZE,10239,2020 - 2021 Güz Dönemi
BIO 412E,Recombinant DNA Technology,Ayten Karataş,Perşembe,1430/1729,,44,45,BIO BIOE BIOM,10240,2020 - 2021 Güz Dönemi
BIO 441E,Modelling in Biological System,Bülent Balta,Perşembe,1130/1429,,15,40,BIO BIOE,10243,2020 - 2021 Güz Dönemi
BIO 452E,Virology,Ceren Çıracı,Çarşamba,0830/1129,,56,55,BIO BIOE BIOM,10246,2020 - 2021 Güz Dönemi
BIO 468E,Current Topics in Ecology,Emrah Çoraman,Perşembe,1130/1429,,29,30,BIO BIOE BIOM,14816,2020 - 2021 Güz Dönemi
BIO 4901E,Mol Bio & Genetics Design I,Bülent Balta,----,/,,30,100,BIOE,10250,2020 - 2021 Güz Dönemi
BIO 491E,Molecular Biotechnology,Fatma Neşe Kök,Çarşamba,1230/1529,,68,80,BIO BIOE,10245,2020 - 2021 Güz Dönemi
BIO 492,Bitirme Çalışması,Bülent Balta,----,/,,4,50,BIO,10247,2020 - 2021 Güz Dönemi
BIO 492E,Graduation Project,Bülent Balta,----,/,,12,100,BIO BIOE,10248,2020 - 2021 Güz Dönemi
