Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
HUK 201,İş Hukuku,Gizem Sarıbay Öztürk,Perşembe,1330/1629,,103,200,BIO BIOE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE JDF JEF JEFE KIM KIME KOM KOME MAD MADE MAK MAKE TEK TEKE UCK UCKE UZB UZBE,11002,2020 - 2021 Güz Dönemi
HUK 201,İş Hukuku,Gizem Sarıbay Öztürk,Perşembe,0830/1129,,138,200,BIO BIOE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE JDF JEF JEFE KIM KIME KOM KOME MAD MADE MAK MAKE TEK TEKE UCK UCKE UZB UZBE,10993,2020 - 2021 Güz Dönemi
HUK 201,İş Hukuku,Gizem Sarıbay Öztürk,Çarşamba,0830/1129,,138,200,BIO BIOE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE JDF JEF JEFE KIM KIME KOM KOME MAD MADE MAK MAKE TEK TEKE UCK UCKE UZB UZBE,10979,2020 - 2021 Güz Dönemi
HUK 201,İş Hukuku,Ulaş Baysal,Salı,0830/1129,,196,200,BIO BIOE CEV CEVE CHZ CHZE DEN DENE EHB EHBE ELE ELK ELKE END ENDE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE IML IMLE INS INSE JDF JEF JEFE KIM KIME KOM KOME MAD MADE MAK MAKE TEK TEKE UCK UCKE UZB UZBE,10976,2020 - 2021 Güz Dönemi
HUK 203E,IT Law,Çiçek Ersoy Kekevi,Cuma,1330/1529,,190,190,BLG BLGE,11667,2020 - 2021 Güz Dönemi
HUK 211,Sosyal Güvenlik Hukuku,Mahmut Kabakcı,Cuma,1430/1729,,83,200,BIO BIOE BLG BLGE BST CAB CEB CEV CEVE CHZ CHZE DEN DENE ECNE EHB EHBE ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE MZT PEM PEME PET PETE SBP SBPE SES TEB TEK TEKE TEL THO UCK UCKE UZB UZBE,11003,2020 - 2021 Güz Dönemi
HUK 213,İş Sağlığı ve Güvenliği Hukuku,Mahmut Kabakcı,Cuma,0830/1129,,112,200,BIO BIOE BLG BLGE BST CAB CEB CEV CEVE CHZ CHZE DEN DENE DUI ECNE EHB EHBE ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE MZT PEM PEME PET PETE SBP SBPE SES TEB TEK TEKE TEL THO UCK UCKE UZB UZBE,11008,2020 - 2021 Güz Dönemi
HUK 213,İş Sağlığı ve Güvenliği Hukuku,Ulaş Baysal,Çarşamba,0830/1129,,105,202,BIO BIOE BLG BLGE BST CAB CEB CEV CEVE CHZ CHZE DEN DENE DUI ECNE EHB EHBE ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE MZT PEM PEME PET PETE SBP SBPE SES TEB TEK TEKE TEL THO UCK UCKE UZB UZBE,11005,2020 - 2021 Güz Dönemi
HUK 214,Teknolojik Yeniliklerin Korun.,Özgür Öztürk,Pazartesi,0830/1129,,56,200,BIO BIOE BLG BLGE BST CAB CEB CEV CEVE CHZ CHZE DEN DENE DUI ECNE EHB EHBE ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE MZT PEM PEME PET PETE SBP SBPE SES TEB TEK TEKE TEL THO UCK UCKE UZB UZBE,11010,2020 - 2021 Güz Dönemi
HUK 215,Sözleşmeler Hukuku,Hüseyin Altaş,Perşembe,0830/1129,,4,100,BIO BIOE BLG BLGE BST CAB CEB CEV CEVE CHZ CHZE DEN DENE DUI ECNE EHB EHBE ELE ELH ELK ELKE END ENDE ENTE EUT EUTE FIZ FIZE GEM GEME GEMK GEO GEOE GID GIDE GMI GMIE ICM IML IMLE INS INSE ISL ISLE JDF JEF JEFE JEO JEOE KIM KIME KMM KMME KMP KOM KOME MAD MADE MAK MAKE MAT MATE MET METE MIM MIME MTO MTOE MTR MUT MUZ MUZE MZT PEM PEME PET PETE SBP SBPE SES TEB TEK TEKE TEL THO UCK UCKE UZB UZBE,11011,2020 - 2021 Güz Dönemi
