Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MAK 101,Makine Müh. Giriş ve Etik,İsmail Yalçın Uralcan,Çarşamba,1330/1529,,221,250,MAK,12435,2020 - 2021 Güz Dönemi
MAK 104E,Intr to Comp in Mech. Eng (C),Atakan Altınkaynak,Cuma,0930/1229,,18,80,IML MAK,12451,2020 - 2021 Güz Dönemi
MAK 104E,Intr to Comp in Mech. Eng (C),Kubilay Yay,Perşembe,0930/1229,,43,80,IML MAK,12443,2020 - 2021 Güz Dönemi
MAK 104E,Intr to Comp in Mech. Eng (C),Hülya Yalçın,Çarşamba,0930/1229,,19,80,IML MAK,12444,2020 - 2021 Güz Dönemi
MAK 104E,Intr to Comp in Mech. Eng (C),Kubilay Yay,Salı,0930/1229,,13,80,IML MAK,12441,2020 - 2021 Güz Dönemi
MAK 104E,Intr to Comp in Mech. Eng (C),Bülent Bölat,Pazartesi,0930/1229,,57,80,IML MAK,12417,2020 - 2021 Güz Dönemi
MAK 105,Makine Tasarımına Giriş,Yusuf Ziya Kocabal,Çarşamba Cuma,0830/1029 0830/1129,,41,75,IML MAK,12456,2020 - 2021 Güz Dönemi
MAK 105,Makine Tasarımına Giriş,--,Çarşamba Cuma,0830/1029 0830/1129,,0,0,IML MAK,12432,2020 - 2021 Güz Dönemi
MAK 105,Makine Tasarımına Giriş,Yusuf Ziya Kocabal,Salı Perşembe,0830/1029 0830/1129,,61,75,IML MAK,12455,2020 - 2021 Güz Dönemi
MAK 105,Makine Tasarımına Giriş,Serpil Kurt Habiboğlu,Salı Perşembe,0830/1029 0830/1129,,54,75,IML MAK,12453,2020 - 2021 Güz Dönemi
MAK 105,Makine Tasarımına Giriş,Cevat Erdem İmrak,Salı Perşembe,0830/1029 0830/1129,,64,75,IML MAK,12452,2020 - 2021 Güz Dönemi
MAK 110E,Comput.Aided Technical Drawing,Erkan Günpınar,Cuma,0830/1229,,37,60,IML MAK,12462,2020 - 2021 Güz Dönemi
MAK 110E,Comput.Aided Technical Drawing,Ali İmre Aydeniz,Perşembe,0830/1229,,56,60,IML MAK,12461,2020 - 2021 Güz Dönemi
MAK 110E,Comput.Aided Technical Drawing,Ali İmre Aydeniz,Çarşamba,0830/1229,,31,60,IML MAK,12460,2020 - 2021 Güz Dönemi
MAK 111,Makina Mühendisliğine Giriş,İsmail Yalçın Uralcan,Çarşamba,1330/1429,,21,250,MAK MAKM,12437,2020 - 2021 Güz Dönemi
MAK 114,Lineer Cebir ve Uygulamaları,Sinem Öztürk,Salı,0930/1229,,31,80,IML MAK,12464,2020 - 2021 Güz Dönemi
MAK 114,Lineer Cebir ve Uygulamaları,Merve Acer,Salı,0930/1229,,79,80,IML MAK,12463,2020 - 2021 Güz Dönemi
MAK 118,Statik,Sevinç Ayşe Zaloğlu,Salı,1330/1629,,37,60,MAK MKNM,12466,2020 - 2021 Güz Dönemi
MAK 118,Statik,Emrecan Söylemez,Salı,1330/1629,,49,60,MAK MKNM,12465,2020 - 2021 Güz Dönemi
MAK 200,Atölye,Serpil Kurt Habiboğlu,----,/,,6,60,IML MAK,12459,2020 - 2021 Güz Dönemi
MAK 200,Atölye,Adil Yücel,----,/,,19,60,IML MAK,12458,2020 - 2021 Güz Dönemi
MAK 200,Atölye,Yusuf Ziya Kocabal,----,/,,59,60,IML MAK,12457,2020 - 2021 Güz Dönemi
MAK 202E,Numerical Meth.for Mech. Eng.,Sertaç Çadırcı,Pazartesi,0830/1129,,16,80,IML MAK,12473,2020 - 2021 Güz Dönemi
MAK 202E,Numerical Meth.for Mech. Eng.,Alper Tolga Çalık,Pazartesi,0830/1129,,73,80,IML MAK,12471,2020 - 2021 Güz Dönemi
MAK 210E,Engineering Mathematics,Merve Acer,Çarşamba Perşembe,1330/1529 1330/1529,,100,100,IML IMLE MAK MAKE,12486,2020 - 2021 Güz Dönemi
MAK 210E,Engineering Mathematics,Abdussamet Subaşı,Çarşamba Perşembe,1330/1529 1330/1529,,70,100,IML IMLE MAK MAKE,12485,2020 - 2021 Güz Dönemi
MAK 210E,Engineering Mathematics,Hakan Öksüzoğlu,Çarşamba Perşembe,1330/1529 1330/1529,,101,100,IML IMLE MAK MAKE,12483,2020 - 2021 Güz Dönemi
MAK 211E,Probability and Statistics,Abdussamet Subaşı,Salı,0830/1129,,36,100,IML MAK,12492,2020 - 2021 Güz Dönemi
MAK 211E,Probability and Statistics,Hacı Abdullah Taşdemir,Salı,0830/1129,,100,100,IML MAK,12490,2020 - 2021 Güz Dönemi
MAK 211E,Probability and Statistics,Hakan Öksüzoğlu,Salı,0830/1129,,100,100,IML MAK,12488,2020 - 2021 Güz Dönemi
MAK 213,Malzeme Bilimi,Levent Trabzon,Pazartesi Cuma,1530/1729 1530/1729,,79,80,IML MAK,12498,2020 - 2021 Güz Dönemi
MAK 213,Malzeme Bilimi,Alaeddin Burak İrez,Pazartesi Cuma,1530/1729 1530/1729,,61,80,IML MAK,12495,2020 - 2021 Güz Dönemi
MAK 213,Malzeme Bilimi,Adnan Dikicioğlu,Pazartesi Cuma,1530/1729 1530/1729,,80,80,IML MAK,12493,2020 - 2021 Güz Dönemi
MAK 213,Malzeme Bilimi,Celaletdin Ergun,Pazartesi Cuma,1530/1729 1530/1729,,28,80,IML MAK,12470,2020 - 2021 Güz Dönemi
MAK 214E,Engineering Materials,Celaletdin Ergun,Çarşamba Perşembe,1130/1329 0830/0929,,28,60,IML IMLE MAK MAKE MAKM,12469,2020 - 2021 Güz Dönemi
MAK 215,Termodinamik I,Lütfullah Kuddusi,Salı Cuma,1530/1729 1430/1529,,120,120,MAK MKNM,12504,2020 - 2021 Güz Dönemi
MAK 215,Termodinamik I,Yakup Erhan Böke,Salı Cuma,1530/1729 1430/1529,,97,120,MAK MKNM,12468,2020 - 2021 Güz Dönemi
MAK 217,Dinamik,Mesut Kırca,Pazartesi Cuma,1330/1529 1030/1229,,50,80,MAK MAKM MKNM,12514,2020 - 2021 Güz Dönemi
MAK 217,Dinamik,Mehmet Salih Dokuz,Pazartesi Cuma,1330/1529 1030/1229,,80,80,MAK MAKM MKNM,12513,2020 - 2021 Güz Dönemi
