Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
MUT 101,Kemençe Yapımı I,İbrahim Coşkun,----,/,,4,5,MUT MZT,11679,2020 - 2021 Güz Dönemi
MUT 111,Tanbur Yapımı,Hasan Coşkun,----,/,,1,5,MTMM MUT MZT,11687,2020 - 2021 Güz Dönemi
MUT 1135,Piyano I,Mehru Ensari,Cuma,1530/1629,,3,5,MUT MZT,15099,2020 - 2021 Güz Dönemi
MUT 131,Akustik I,Murat Tıraş,Perşembe,1330/1529,,45,45,BST KMP MTR MUT MUZ MZT,11677,2020 - 2021 Güz Dönemi
MUT 141,Kayıt Teknikleri,Sertaç Kakı,Salı Perşembe,1330/1529 1530/1729,,16,20,MTMS MUT MZT,11719,2020 - 2021 Güz Dönemi
MUT 153,Sayısal Ses Çalışma Ortamları,Sair Sinan Kestelli,Pazartesi,1530/1729,,17,20,MUT MZT,11720,2020 - 2021 Güz Dönemi
MUT 161,Ağaç Teknolojisi,İbrahim Coşkun,Salı,1030/1229,,6,20,MUT MZT,11681,2020 - 2021 Güz Dönemi
MUT 201,Kemane Yapımı,Ahmet Tunç Buyruklar,----,/,,1,5,MTMY MUT MZT,11725,2020 - 2021 Güz Dönemi
MUT 211,Ud Yapımı,İbrahim Coşkun,----,/,,6,7,MTMM MUT MZT,11682,2020 - 2021 Güz Dönemi
MUT 2135,Piyano III,Mehru Ensari,Cuma,1330/1429,,4,5,MUT MZT,15100,2020 - 2021 Güz Dönemi
MUT 2137,Elektroniğe Giriş,Mehmet Haşim Açanal,Salı,1030/1229,,2,5,MUT MZT,15098,2020 - 2021 Güz Dönemi
MUT 241,İleri Kayıt Teknikleri,Can Karadoğan,Pazartesi Çarşamba,1330/1529 1030/1229,,8,20,MUT MZT,11672,2020 - 2021 Güz Dönemi
MUT 253,Prodüksiyon Analizi,Mehmet Cevdet Erek,Salı,1030/1229,,13,20,MUT MZT,11726,2020 - 2021 Güz Dönemi
MUT 263,Ölçme ve Kontrol Bilgisi,Mehmet Haşim Açanal,Perşembe,1030/1229,,5,20,MUT MZT,11728,2020 - 2021 Güz Dönemi
MUT 267,Stüdyo Akustiği,Murat Tıraş,Pazartesi,1330/1529,,15,20,MUT MZT,11678,2020 - 2021 Güz Dönemi
MUT 269,Çalgı Teknik Resmi I,Şafak Köksal,Perşembe,1330/1529,,7,20,MUT MZT,11734,2020 - 2021 Güz Dönemi
MUT 301,Keman Yapımı II,Ahmet Kaya,----,/,,5,5,MUT MZT,11732,2020 - 2021 Güz Dönemi
MUT 304,Ney Yapımı,Mustafa Aydın Öksüz,Perşembe,0830/1029,,3,20,MUT MZT,11741,2020 - 2021 Güz Dönemi
MUT 311,Gitar Yapımı,Şafak Köksal,----,/,,4,5,MUT MZT,11733,2020 - 2021 Güz Dönemi
MUT 3117,Atölye V,Ahmet Tunç Buyruklar,----,/,,1,5,MUT MZT,15146,2020 - 2021 Güz Dönemi
MUT 313,Çalgı Süsleme Sanatı,--,Çarşamba,1330/1529,,0,20,MUT MZT,11684,2020 - 2021 Güz Dönemi
MUT 3131,Ses Kayıt Tekniği V,Taylan Özdemir,Çarşamba,0930/1229,,1,5,MUT MZT,15135,2020 - 2021 Güz Dönemi
MUT 323,Yay Yapımı,Ahmet Tunç Buyruklar,Çarşamba,1330/1529,,4,5,MUT MZT,15096,2020 - 2021 Güz Dönemi
MUT 361,Çalgı Bilgisi I,Sair Sinan Kestelli,Çarşamba,0830/1029,,20,20,MUT MZT,11721,2020 - 2021 Güz Dönemi
MUT 361,Çalgı Bilgisi I,Mustafa Aydın Öksüz,Pazartesi,1030/1229,,7,20,MUT MZT,11738,2020 - 2021 Güz Dönemi
MUT 363,Serbest Proje Çalışması I,Gökhan Deneç,----,/,,5,5,MUT MZT,15446,2020 - 2021 Güz Dönemi
MUT 363,Serbest Proje Çalışması I,Mustafa Aydın Öksüz,----,/,,5,5,MUT MZT,11739,2020 - 2021 Güz Dönemi
MUT 363,Serbest Proje Çalışması I,Mehmet Cevdet Erek,----,/,,5,5,MUT MZT,11727,2020 - 2021 Güz Dönemi
MUT 363,Serbest Proje Çalışması I,Mehmet Haşim Açanal,----,/,,6,5,MUT MZT,11729,2020 - 2021 Güz Dönemi
MUT 363,Serbest Proje Çalışması I,Sair Sinan Kestelli,----,/,,6,5,MUT MZT,11722,2020 - 2021 Güz Dönemi
MUT 371,Çok Kanallı Miks,Taylan Özdemir,Çarşamba Cuma,1330/1529 1030/1229,,17,20,MTMS MUT MZT,11736,2020 - 2021 Güz Dönemi
MUT 382,Elektrik-Elektronik,Mehmet Haşim Açanal,Salı,1330/1529,,7,20,MUT MZT,11731,2020 - 2021 Güz Dönemi
MUT 384,Elektro Akustik Kompozisyon,Sair Sinan Kestelli,Çarşamba,1030/1229,,13,20,MUT MZT,11723,2020 - 2021 Güz Dönemi
MUT 388,Müzik Tek.Tasarım & Geliştirme,Mustafa Aydın Öksüz,Pazartesi Perşembe,1330/1529 1030/1229,,1,10,MUT MZT,15094,2020 - 2021 Güz Dönemi
MUT 401,Viyolonsel Yapımı I,Mehmet Tangör,----,/,,7,6,MTMY MUT MZT,11742,2020 - 2021 Güz Dönemi
MUT 402,Viyolonsel Yapımı II,Mehmet Tangör,----,/,,2,5,MTMY MUT MZT,15097,2020 - 2021 Güz Dönemi
MUT 403,Bendir Yapımı,İbrahim Coşkun,Çarşamba,1030/1229,,10,20,MUT MZT,11686,2020 - 2021 Güz Dönemi
MUT 411,Kanun Yapımı I,--,----,/,,0,5,MTMM MUT MZT,11740,2020 - 2021 Güz Dönemi
MUT 4133,Partisyon Analizi,Ayhan Gunca,Perşembe,1330/1629,,1,5,MUT MZT,15134,2020 - 2021 Güz Dönemi
MUT 441,Mastering,Sertaç Kakı,Pazartesi Cuma,1330/1529 1330/1529,,1,10,MTMS MUT MZT,15095,2020 - 2021 Güz Dönemi
MUT 441,Mastering,Sertaç Kakı,Salı Perşembe,1530/1729 1030/1229,,13,20,MTMS MUT MZT,11744,2020 - 2021 Güz Dönemi
MUT 448,Prodüksiyon Teknikleri,Sertaç Kakı,Pazartesi Cuma,1530/1729 1530/1729,,4,10,MUT MZT,15351,2020 - 2021 Güz Dönemi
MUT 451,Sahne Kayıt Teknikleri,Gökhan Deneç,Pazartesi,1030/1229,,9,20,MUT MZT,11746,2020 - 2021 Güz Dönemi
MUT 461,Canlı Ses Donatımı,Gökhan Deneç,Çarşamba,1330/1529,,3,20,MUT MZT,11745,2020 - 2021 Güz Dönemi
MUT 463,Serbest Proje Çalışması III,Taylan Özdemir,----,/,,5,5,MUT MZT,11737,2020 - 2021 Güz Dönemi
MUT 463,Serbest Proje Çalışması III,Şafak Köksal,----,/,,5,5,MUT MZT,11735,2020 - 2021 Güz Dönemi
MUT 463,Serbest Proje Çalışması III,Mehmet Haşim Açanal,----,/,,5,5,MUT MZT,11730,2020 - 2021 Güz Dönemi
MUT 463,Serbest Proje Çalışması III,Sair Sinan Kestelli,----,/,,5,5,MUT MZT,11724,2020 - 2021 Güz Dönemi
MUT 463,Serbest Proje Çalışması III,Can Karadoğan,----,/,,0,5,MUT,11674,2020 - 2021 Güz Dönemi
MUT 465,Çalgı Restorasyonu,Mehmet Tangör,Cuma,1030/1229,,4,20,MUT MZT,11743,2020 - 2021 Güz Dönemi
MUT 492,Bitirme Çalışması,Can Karadoğan,----,/,,7,100,MUT MZT,11670,2020 - 2021 Güz Dönemi
