Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
SBP 103E,Role of Prof.in Sustainability,"Azime Tezer, Dilek Yıldız, Elif Küçüksayraç, Elif Kısar Koramaz",Cuma,0930/1229,,42,55,ENTE EUTE ICM MIM MIME PEME SBP SBPE,13224,2020 - 2021 Güz Dönemi
SBP 105E,Other Worlds,Kerem Yavuz Arslanlı,Cuma,0930/1229,,66,75,ENTE EUTE ICM MIM MIME PEME SBP SBPE,13226,2020 - 2021 Güz Dönemi
SBP 119,Şehir &Bölge Plan. Giriş &Etik,Ayşe Lale Berköz,Çarşamba,1330/1529,,88,90,SBP SBPM,13222,2020 - 2021 Güz Dönemi
SBP 119E,Int.to Urb.&Regio.Plann.&Ethic,Aliye Ahu Akgün,Çarşamba,1330/1529,,67,75,SBPE SBPM,13223,2020 - 2021 Güz Dönemi
SBP 205E,Statistics,Kerem Yavuz Arslanlı,Salı,0930/1229,,73,75,SBP SBPE,13266,2020 - 2021 Güz Dönemi
SBP 205E,Statistics,Hüseyin Murat Çelik,Salı,0930/1229,,26,75,SBP SBPE,13265,2020 - 2021 Güz Dönemi
SBP 218,Proje IV,--,Salı Cuma,1330/1729 1330/1729,,0,5,SBP,13298,2020 - 2021 Güz Dönemi
SBP 218E,Project IV,Ayşe Lale Berköz,Salı Cuma,1330/1729 1330/1729,,4,5,SBPE,13297,2020 - 2021 Güz Dönemi
SBP 223,Arazi Kullanım Planlaması,Özlem Özçevik,Salı,1330/1629,,71,70,SBP SBPM,13268,2020 - 2021 Güz Dönemi
SBP 223E,Land Use Planning,Azime Tezer,Çarşamba,0830/1129,,78,75,SBPE SBPM,13267,2020 - 2021 Güz Dönemi
SBP 227E,Physical Environmental Control,Tarık Serhat Bozkurt,Pazartesi,0930/1229,,44,44,SBP SBPE,14933,2020 - 2021 Güz Dönemi
SBP 227E,Physical Environmental Control,Şule Filiz Akşit,Pazartesi,0930/1229,,43,43,SBP SBPE,14932,2020 - 2021 Güz Dönemi
SBP 227E,Physical Environmental Control,Nuri Serteser,Pazartesi,0930/1229,,48,48,SBP SBPE,14931,2020 - 2021 Güz Dönemi
SBP 227E,Physical Environmental Control,Tarık Serhat Bozkurt,Pazartesi,0930/1229,,0,45,SBP SBPE,14132,2020 - 2021 Güz Dönemi
SBP 227E,Physical Environmental Control,Şule Filiz Akşit,Pazartesi,0930/1229,,0,45,SBP SBPE,13294,2020 - 2021 Güz Dönemi
SBP 227E,Physical Environmental Control,--,Pazartesi,0930/1229,,0,135,SBP SBPE,13291,2020 - 2021 Güz Dönemi
SBP 245,Şehirsel Ulaşım,Hüseyin Murat Çelik,Çarşamba,1230/1529,,65,65,SBP,13269,2020 - 2021 Güz Dönemi
SBP 245E,Urban Tranportation,Eda Beyazıt,Çarşamba,1230/1529,,72,70,SBPE SBPM,13271,2020 - 2021 Güz Dönemi
SBP 252,Konut ve Yöre Planlaması,Funda Yirmibeşoğlu,Perşembe,0930/1229,,68,70,SBP,13273,2020 - 2021 Güz Dönemi
SBP 252E,Housing and Site Planning,Fatih Terzi,Perşembe,0930/1229,,71,70,SBPE SBPM,13275,2020 - 2021 Güz Dönemi
SBP 262,Peyzaj Planlaması ve Tasarım,Gülşen Aytaç,Cuma,0830/1229,,77,80,SBP,13289,2020 - 2021 Güz Dönemi
SBP 262E,Landscape Planning and Design,Fatma Ayçim Türer Başkaya,Cuma,0830/1229,,72,75,SBPE,13290,2020 - 2021 Güz Dönemi
SBP 311,Proje V,Mehmet Ali Yüzer,Salı Cuma,1330/1729 1330/1729,,16,16,SBP,13331,2020 - 2021 Güz Dönemi
SBP 311,Proje V,Seda Kundak,Salı Cuma,1330/1729 1330/1729,,16,16,SBP,13329,2020 - 2021 Güz Dönemi
SBP 311,Proje V,Emine Ferhan Gezici Korten,Salı Cuma,1330/1729 1330/1729,,17,16,SBP,13313,2020 - 2021 Güz Dönemi
SBP 311E,Project V,Aliye Ahu Akgün,Salı Cuma,1330/1729 1330/1729,,10,10,SBPE SBPM,13312,2020 - 2021 Güz Dönemi
SBP 311E,Project V,Elif Alkay,Salı Cuma,1330/1729 1330/1729,,12,13,SBPE SBPM,13300,2020 - 2021 Güz Dönemi
SBP 311E,Project V,Azime Tezer,Salı Cuma,1330/1729 1330/1729,,13,13,SBPE SBPM,13299,2020 - 2021 Güz Dönemi
SBP 312,Proje VI,Özhan Ertekin,Salı Cuma,1330/1729 1330/1729,,9,10,SBP,13333,2020 - 2021 Güz Dönemi
SBP 312E,Project VI,Özhan Ertekin,Salı Cuma,1330/1729 1330/1729,,10,10,SBPE SBPM,13336,2020 - 2021 Güz Dönemi
SBP 323,Şehirsel Tasarım,Hatice Ayataç,Pazartesi,1330/1629,,53,65,SBP SBPM,13338,2020 - 2021 Güz Dönemi
SBP 323E,Urban Design,Gülden Demet Oruç,Cuma,0930/1229,,41,65,SBPE SBPM,13339,2020 - 2021 Güz Dönemi
SBP 327,Şehir Hukuku ve Şehir Yönetimi,Şevkiye Şence Türk,Cuma,0930/1229,,48,65,SBP,14935,2020 - 2021 Güz Dönemi
SBP 327E,Urban Law and Management,Şevkiye Şence Türk,Pazartesi,1330/1629,,39,65,SBPE SBPM,14940,2020 - 2021 Güz Dönemi
SBP 331,Sit Koruma,Engin Eyüp Eyuboğlu,Çarşamba,1030/1329,,52,65,SBP SBPM,13340,2020 - 2021 Güz Dönemi
SBP 331E,Site Conservation,Turgay Kerem Koramaz,Çarşamba,1030/1329,,41,65,SBPE SBPM,13341,2020 - 2021 Güz Dönemi
SBP 343,Şehir Hukuku ve Şehir Yönetimi,Şevkiye Şence Türk,Pazartesi,1330/1629,,0,65,SBP,13342,2020 - 2021 Güz Dönemi
SBP 343E,Urban Law and Management,Şevkiye Şence Türk,Cuma,1330/1629,,0,65,SBPE,13343,2020 - 2021 Güz Dönemi
SBP 349E,Urban Economic Geography,Elif Alkay,Perşembe,0930/1229,,17,30,SBP SBPE SBPM,13448,2020 - 2021 Güz Dönemi
