Kod,Ders,Eğitmen,Gün,Saat,Bina,Kayıtlı,Kontenjan,Bölüm Sınırlaması,CRN,Dönem
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,"İbrahim Akduman, Serkan Şimşek",Pazartesi,1830/2029,,7,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15307,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Gaye Karaçay Aydın,Pazartesi,1830/2029,,8,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15306,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Melek Mümine Erol Taygun,Pazartesi,1830/2029,,7,7,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15305,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,"Osman Bülent Özipek, Canan Sarıçam",Pazartesi,1830/2029,,8,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15304,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Cevza Candan,Pazartesi,1830/2029,,8,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15299,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Tanzer Satır,Pazartesi,1830/2029,,9,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15301,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Ata Bilgili,Pazartesi,1830/2029,,8,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15303,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Esra Ece Bayat,Pazartesi,1830/2029,,8,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15302,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Şerif Bahtiyar,Pazartesi,1830/2029,,8,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15300,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Yılmaz Akkaya,Pazartesi,1830/2029,,8,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15295,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Hatice Camgöz Akdağ,Pazartesi,1830/2029,,9,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15297,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Esra Özkan Zayim,Pazartesi,1830/2029,,8,8,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,15296,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,--,Pazartesi,1830/2029,,0,0,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,10254,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,--,Çarşamba,0830/1029,,0,10,MBI MCB SBL SCE SDU SEK SEN SGM SIN SIS SMT STP,13811,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Ata Bilgili,Pazartesi,1830/2029,,0,10,SDU SGM,13912,2020 - 2021 Güz Dönemi
ULP 101,NewBeg.Fresh.Sem.&Serv to L. I,Cevza Candan,Pazartesi Çarşamba,1630/1729 0830/0929,,0,30,SMT,14147,2020 - 2021 Güz Dönemi
